"Respnum","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","fftax_support_v1","gastax_support_v1","electrictax_support_v1","carbontax_revuse_v1","carbontax_revuseimpact","nuclear_support","worldviews_useconomy","worldviews_econimprove","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
130,3,30,2,"NEW YORK",1,1,1,1,1,1,"WHAT I WAS TAUGHT",4,1,3,3,1,4,4,1,1,,,4,3,3,4,2,4,3,3,1,1,3,3,1,10,1,2,4,1,4,4,6,2,1.24
131,4,3,2,"INDIANA",3,2,,,,,,,,,,,,,,,"WEATHER IS IN A CYCLE THAT REALLY HAS NOT CHANGED",2,1,1,2,1,1,4,4,4,2,2,4,4,98,1,1,1,3,3,4,2,3,2,1.34
132,3,20,4,"INDIANA",3,1,1,1,1,1,"SCIENTIFIC STUDIES",4,1,1,1,2,3,1,1,2,,,4,4,4,3,98,4,4,4,1,3,3,4,3,1,1,2,4,1,1,5,5,1,0.335
133,3,25,2,"LOUISIANA",2,1,2,98,2,2,"WARMER TEMPERATURES",2,1,1,2,1,4,4,2,3,,,2,3,2,1,2,4,4,2,2,98,4,4,2,1,1,1,3,1,2,1,3,2,1.34
134,4,1,2,"IOWA",3,1,1,3,2,2,"WEATHER",3,1,1,1,2,4,1,1,2,,,4,4,3,4,4,4,4,4,1,3,98,3,3,,,,,1,,98,,2,0.91
135,3,18,4,"IOWA",3,1,1,1,2,1,"NEWS ARTICLES",6,2,1,2,2,4,4,3,3,,,4,3,3,3,4,4,4,4,1,3,4,4,2,1,1,2,2,1,4,1,,2,0.72
136,4,4,2,"MINNESOTA",3,1,2,3,1,1,"SCUBA DIVING IN CORAL REEFS",10,1,4,2,2,4,4,1,2,,,3,3,3,3,3,2,2,3,1,1,98,3,3,1,1,1,3,5,2,3,6,2,0.79
137,3,23,3,"MINNESOTA",3,1,2,1,2,1,"TELEVISION AND NEWSPAPERS",6,2,4,4,2,3,4,1,2,,,4,4,4,4,4,1,2,2,98,,2,4,1,1,2,,3,1,4,4,5,1,1.035
138,3,25,3,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,3,3,98,2,98,4,4,4,2,3,4,4,2,1,1,98,2,1,4,3,1,2,1.11
139,4,5,3,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"NOT SURE",9,2,3,3,2,3,3,3,3,1,3,3,3,1,1,2,,3,5,4,2,4,1,1.065
140,3,25,1,"CALIFORNIA",4,1,1,1,1,1,"SPACE EXPLORATION",8,1,1,1,2,98,3,1,1,,,4,4,1,4,4,4,4,4,1,1,1,4,3,9,2,,2,1,1,3,,1,3.685
141,3,31,3,"CALIFORNIA",4,1,1,3,1,1,"WINTERS ARE GETTING HOT",2,1,2,98,2,1,1,1,1,,,4,4,4,3,98,1,1,98,1,1,98,4,98,1,6,,5,1,1,4,,2,0.37
142,3,22,4,"OHIO",3,1,1,1,2,2,"READING",6,3,4,4,4,4,2,4,4,,,3,2,2,2,1,4,4,4,1,3,1,3,3,1,2,,4,2,4,1,5,1,0.335
143,4,1,3,"OHIO",3,2,,,,,,,,,,,,,,,"NO REASON",8,2,2,3,2,2,3,3,2,3,3,3,4,3,2,6,,2,2,1,2,2,1,2.015
144,3,31,4,"OHIO",3,1,1,1,1,1,"MELTING POLAR ICE CAPS",1,1,2,2,1,2,4,2,2,,,4,3,98,4,98,98,4,3,1,1,98,4,98,1,1,2,4,2,1,3,2,2,0.11
145,3,21,3,"OHIO",3,98,,,,,,,,,,,,,,,,,2,2,2,2,2,3,4,3,6,,3,3,3,1,2,,3,1,4,3,,2,0.77
146,4,5,3,"OHIO",3,1,2,2,1,1,"WEATHER PATTERNS ARE BECOMING HOTTER IN THE SUMMER MONTHS",3,2,2,4,1,4,4,2,2,,,2,2,1,4,4,4,4,4,4,1,4,4,2,2,6,,2,1,1,3,1,2,1.73
147,3,18,3,"OHIO",3,2,,,,,,,,,,,,,,,"EARTHS NATURAL CYCLE",2,2,1,2,2,1,3,4,3,3,98,4,4,2,1,1,1,4,5,2,3,,2,0.42
148,3,24,4,"OHIO",3,2,,,,,,,,,,,,,,,"I HAVE SEEN THE NATURAL CYCLES THROUGH MY LIFE",2,1,1,1,1,1,2,4,2,2,1,2,4,2,1,6,,2,1,2,1,1,1,1.025
149,4,4,4,"ALABAMA",2,98,,,,,,,,,,,,,,,,,98,2,98,2,98,3,4,4,98,,4,4,3,1,1,1,3,1,2,2,98,2,0.42
150,4,5,3,"ALABAMA",2,2,,,,,,,,,,,,,,,"GOD MAKES THE EARTH, WEATHER AND ALL CREATURES",6,1,1,1,1,1,4,4,4,2,3,4,4,2,2,1,1,1,2,1,1,1,2,1.98
151,3,25,3,"ALABAMA",2,1,2,2,2,2,"TEMPERATURE CHANGES",2,2,2,2,1,4,2,4,1,,,4,98,3,2,2,98,4,4,2,1,1,4,1,1,6,,2,1,2,1,6,2,1.08
152,3,28,3,"ALABAMA",2,98,,,,,,,,,,,,,,,,,1,3,3,2,1,4,4,4,6,,4,4,3,1,1,1,4,5,2,1,4,2,0.45
153,3,30,3,"NORTH CAROLINA",2,98,,,,,,,,,,,,,,,,,1,1,1,1,1,4,4,4,4,3,1,4,2,1,2,,4,1,2,3,,2,0.42
154,3,21,4,"NORTH CAROLINA",2,1,1,1,1,1,"THE OVER-WHELMING EVIDENCE FROM THE SCIENTISTS",4,1,3,1,2,2,3,2,2,,,4,4,4,4,4,1,1,1,1,3,1,3,3,1,3,,5,1,1,4,5,1,0.275
155,4,4,4,"LOUISIANA",2,1,2,1,2,2,"WEATHER",3,1,3,2,2,98,4,1,1,,,1,4,4,4,4,4,4,4,6,,4,3,3,1,1,1,3,1,1,98,,2,0.42
156,3,30,1,"NEW YORK",1,2,,,,,,,,,,,,,,,"NO EVIDENCE",3,1,1,1,4,1,4,4,4,1,3,4,4,2,10,6,,3,1,1,4,4,2,1.63
157,3,31,4,"FLORIDA",2,1,2,3,2,1,"TOO MANY HURRICANES",3,2,1,1,1,4,4,2,2,,,3,3,3,3,3,2,3,2,2,3,2,3,3,1,2,,3,2,2,1,3,1,1.255
158,4,3,4,"FLORIDA",2,1,1,1,1,1,"PERSONAL OBSERVATIONS",2,1,1,3,2,4,2,1,3,,,4,4,4,4,4,2,4,4,1,3,4,3,2,1,1,1,2,2,2,1,3,1,1.555
159,3,24,4,"FLORIDA",2,1,1,2,2,2,"WEATHER CHANGES",3,2,1,3,2,4,1,2,3,,,3,3,3,2,3,3,3,3,98,,98,4,98,1,1,1,3,2,2,3,,2,0.42
160,4,1,3,"NEW YORK",1,1,2,2,3,2,"THE MEDIA",6,3,2,2,3,2,4,4,4,,,3,2,1,2,2,3,3,3,6,,2,3,1,1,2,,5,5,2,3,6,1,0.645
161,3,24,5,"FLORIDA",2,98,,,,,,,,,,,,,,,,,1,3,98,1,1,4,4,4,2,3,4,4,3,1,1,2,3,1,4,3,2,2,0.81
162,3,22,4,"WASHINGTON",4,1,1,3,1,1,"BURNING OF FOSSIL FUELS",8,1,1,1,4,2,4,1,2,,,4,4,4,3,1,2,2,2,1,1,1,4,3,1,6,,3,6,1,2,1,2,0.45
163,4,5,1,"WASHINGTON",4,1,1,3,1,1,"NEWS",6,1,3,2,3,98,3,1,4,,,4,4,4,4,4,3,3,4,6,,4,4,3,2,,,2,6,4,5,,1,2.785
164,3,31,4,"WASHINGTON",4,1,1,1,1,1,"SCIENCE",4,1,98,1,2,4,4,1,1,,,4,4,4,4,4,4,4,4,6,,4,4,3,,7,,5,5,,,,2,0.14
165,3,25,3,"WASHINGTON",4,1,2,3,2,2,"SCIENTIFIC EVIDENCE",4,2,98,2,2,4,98,3,2,,,3,98,3,98,2,3,3,3,1,1,98,3,1,1,2,,3,1,4,2,,2,0.78
166,3,22,4,"WASHINGTON",4,98,,,,,,,,,,,,,,,,,98,2,2,3,3,4,3,4,6,,98,3,98,1,1,2,2,1,,,,2,0.72
167,3,31,4,"WASHINGTON",4,2,,,,,,,,,,,,,,,"THE EARTHS NATURAL PATTERNS",2,2,2,98,1,1,3,3,3,98,,4,4,2,1,1,1,5,5,4,3,5,1,0.275
168,3,24,3,"WASHINGTON",4,1,1,1,2,1,"RESEARCH",4,1,4,4,2,2,4,2,2,,,3,3,3,3,3,2,2,2,1,1,3,4,1,1,,,5,1,4,3,5,1,0.625
169,3,31,4,"WASHINGTON",4,98,,,,,,,,,,,,,,,,,2,2,98,2,2,3,4,4,6,,2,4,2,1,1,1,2,5,2,1,3,1,1.555
170,3,22,4,"WASHINGTON",4,2,,,,,,,,,,,,,,,"CYCLES",2,1,1,1,1,1,4,4,4,6,,1,4,3,1,2,,3,1,2,2,4,2,0.44
171,3,23,3,"TEXAS",2,2,,,,,,,,,,,,,,,"NOT ENOUGHT MOVEMENT IN THE SUN",9,1,3,3,3,2,4,2,3,2,3,4,3,2,1,6,,4,5,4,3,2,2,0.46
172,3,23,2,"TEXAS",2,98,,,,,,,,,,,,,,,,,98,2,2,2,2,4,4,4,3,3,4,4,2,2,1,2,3,1,1,4,5,2,2.2
173,3,18,3,"FLORIDA",2,1,2,1,1,1,"OZONE BEING DEPLETED BY POLLUTION",8,2,3,4,1,2,4,1,1,,,3,3,4,4,3,2,2,2,1,1,4,3,3,1,2,,5,5,1,3,2,2,0.4
174,3,18,3,"RHODE ISLAND",1,2,,,,,,,,,,,,,,,"WEATHER",1,1,1,2,3,1,4,4,4,4,2,2,4,2,1,2,,2,1,98,1,1,2,1.1
175,3,27,3,"RHODE ISLAND",1,1,2,1,1,2,"MELTING",1,1,1,2,2,1,2,1,2,,,4,4,4,4,4,3,3,2,1,1,4,2,1,1,,,3,5,4,4,6,1,1.055
176,3,18,3,"RHODE ISLAND",1,1,2,3,2,2,"TOO HOT",2,2,3,4,2,4,3,1,2,,,3,3,3,3,3,3,3,3,6,,3,2,1,1,1,2,3,3,2,3,3,1,1.615
177,3,28,3,"RHODE ISLAND",1,2,,,,,,,,,,,,,,,"SNOWING",1,1,1,98,1,1,4,4,4,6,,4,4,2,1,2,,2,5,4,3,4,2,1.1
178,4,4,3,"GEORGIA",2,1,1,3,1,1,"TEMPERATURE HAS BEEN WARMER IN THE SUMMER AND MORE SEVERE WINTERS",2,1,1,1,1,4,4,1,1,,,4,4,4,4,4,2,3,2,1,3,4,2,1,2,1,2,4,1,1,3,4,1,1.355
179,3,27,4,"GEORGIA",2,1,2,2,4,2,"OBSERVATION AND WHAT I HAVE READ",2,2,2,2,2,4,2,2,2,,,2,98,3,2,1,4,4,4,1,2,98,4,2,1,1,1,5,1,2,3,5,1,0.275
180,3,30,4,"GEORGIA",2,1,2,2,4,2,"NEWSPAPER",6,3,2,2,2,4,1,4,2,,,1,1,1,1,1,3,3,3,98,,98,4,3,1,6,,3,2,4,2,3,1,1.255
181,4,5,4,"OKLAHOMA",2,2,,,,,,,,,,,,,,,"NO EVIDENCE",3,1,2,3,3,2,3,3,2,3,98,3,3,2,1,1,2,3,1,4,2,3,2,0.98
182,3,25,3,"MONTANA",4,98,,,,,,,,,,,,,,,,,2,3,3,98,2,4,3,4,98,,3,4,3,1,6,,2,2,4,98,,2,1.07
183,3,31,2,"MONTANA",4,1,1,3,1,1,"CLIMATE",2,1,1,1,1,1,1,1,1,,,4,4,4,4,4,1,1,1,1,3,3,4,3,1,6,,2,5,2,4,2,1,1.395
184,3,25,3,"MONTANA",4,1,98,2,3,2,"NOT SURE",10,98,4,4,4,4,4,4,4,,,1,1,1,4,1,4,4,4,1,2,4,4,2,1,1,2,2,1,2,3,5,2,1.06
185,3,24,4,"MONTANA",4,1,2,3,1,1,"THE SUMMERS ARE HOTTER",2,4,2,2,3,98,2,2,2,,,3,2,3,3,2,3,3,4,6,,3,4,2,1,1,1,3,1,4,3,,2,0.42
186,4,3,3,"CALIFORNIA",4,1,2,3,1,1,"SEVERE WEATHER CHANGES",3,1,1,1,1,3,4,2,1,,,4,4,4,3,3,2,4,2,1,3,2,3,1,9,2,,4,5,1,4,6,1,3.245
187,3,28,3,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"PEOPLE LIE",9,2,2,3,3,2,3,4,3,6,,3,2,1,1,1,2,2,1,2,3,2,1,1.395
188,3,22,3,"CALIFORNIA",4,1,1,1,1,1,"MELTING",1,1,3,2,1,2,3,2,3,,,4,4,4,3,4,1,1,1,1,1,2,4,1,1,1,2,5,2,1,4,,1,0.635
189,4,4,2,"TENNESSEE",2,1,2,3,2,2,"COMBINATION OF NATURAL TRENDS AND MANS NEGLECT",9,2,2,3,2,4,3,2,2,,,3,2,3,3,2,2,4,2,2,3,2,3,3,1,1,1,2,1,2,3,2,1,1.395
190,3,20,2,"TEXAS",2,2,,,,,,,,,,,,,,,"GOD'S NATURAL WAY",6,2,2,2,1,1,4,4,4,2,2,4,4,2,1,2,,3,1,2,1,,2,0.78
191,3,24,4,"MARYLAND",2,1,1,1,3,1,"THE TEMPERATURE",2,1,1,2,1,4,4,1,2,,,3,3,3,3,3,2,3,3,3,3,3,4,1,1,2,,2,1,1,3,2,1,1.035
192,3,22,3,"MARYLAND",2,1,2,1,2,1,"STATE OF CLIMATE AROUND THE WORLD",3,2,2,2,2,1,2,1,1,,,4,4,2,4,2,4,1,4,1,1,4,4,3,2,1,2,3,5,1,3,4,2,1.42
193,3,28,3,"MARYLAND",2,1,2,2,2,2,"EARTH CYCLES AND PATTERNS",9,1,2,3,3,4,3,1,3,,,3,3,4,1,3,3,4,4,1,3,4,3,3,1,1,1,3,1,2,1,3,1,1.615
194,4,5,3,"MARYLAND",2,1,1,1,2,1,"LESS SNOW AND LESS COLD TEMPERATURES",2,2,2,1,2,1,1,2,1,,,4,4,3,3,3,2,2,2,1,3,4,3,1,1,3,,4,1,1,4,5,2,0.41
195,3,30,4,"MARYLAND",2,1,1,3,3,2,"WHAT I HEAR AND READ",6,2,1,4,4,4,2,4,4,,,2,3,4,3,3,3,3,3,2,3,98,4,2,1,6,,5,2,4,2,2,1,0.325
196,3,31,2,"MASSACHUSETTS",1,1,2,1,2,1,"MELTING ICEBERGS",1,1,3,2,2,2,3,1,2,,,3,3,4,4,3,2,2,2,1,3,1,3,1,1,2,,4,5,1,3,6,1,0.715
197,3,27,5,"MASSACHUSETTS",1,98,,,,,,,,,,,,,,,,,4,4,2,2,3,4,4,4,6,,4,3,3,1,2,,4,1,2,2,,1,0.695
198,3,25,2,"WISCONSIN",3,2,,,,,,,,,,,,,,,"NATURAL CYCLES",2,1,1,3,2,1,4,4,4,6,,1,4,1,1,2,,3,1,4,2,,1,1.055
199,3,18,4,"MISSOURI",3,1,2,3,2,98,"CHANGE IN WEATER",3,2,2,2,2,4,2,2,2,,,2,98,98,2,3,3,4,4,6,,3,3,3,1,1,2,2,1,2,2,3,2,1.28
200,3,22,3,"MISSOURRI",3,2,,,,,,,,,,,,,,,"EARTH CYCLES",2,2,2,98,1,2,4,4,4,2,3,98,4,2,1,6,,5,2,4,2,2,2,0.4
201,3,18,4,"MISSOURI",3,2,,,,,,,,,,,,,,,"GOD MADE THE DIFFERENT WEATHER PATTERNS",6,2,2,2,1,1,4,4,4,2,98,4,4,2,1,1,1,2,1,2,1,,2,0.72
202,3,25,2,"MISSOURI",3,1,1,1,1,1,"WINTER IS SHORTER",3,2,2,2,2,2,1,1,1,,,4,4,2,2,3,4,4,4,1,1,2,4,2,1,6,,2,1,4,4,3,2,1.64
203,3,23,4,"OHIO",3,1,4,2,4,2,"NOT SURE",10,4,4,4,4,4,4,4,4,,,1,1,1,1,1,4,4,4,6,,1,4,3,1,1,2,2,1,2,1,2,1,1.035
204,3,23,3,"OHIO",3,1,1,1,1,1,"REASERCH",4,1,1,2,1,3,2,2,2,,,4,4,4,4,4,2,2,2,1,1,3,4,1,1,1,2,4,1,1,3,5,2,0.41
205,4,1,4,"OHIO",3,98,,,,,,,,,,,,,,,,,2,1,3,3,1,2,3,3,1,3,1,3,1,1,1,2,3,2,4,3,98,1,0.695
206,4,1,3,"TENNESSEE",2,98,,,,,,,,,,,,,,,,,2,3,4,2,2,4,4,4,6,,2,4,3,1,1,98,2,2,4,2,4,2,1.09
207,4,1,1,"TENNESSEE",2,98,,,,,,,,,,,,,,,,,3,2,2,2,2,4,4,4,1,3,2,2,3,1,1,1,3,1,1,3,2,2,1.62
208,4,1,3,"TENNESSEE",2,1,2,2,2,2,"RESEARCH ON THE NET",4,4,1,1,1,4,4,1,1,,,3,1,1,1,1,4,4,4,3,3,4,4,2,1,1,2,3,5,4,2,1,2,0.81
209,4,5,3,"TENNESSEE",2,1,1,1,1,1,"PLAYED WITH MOTHER NATURE",8,1,1,4,1,1,1,1,3,,,1,4,1,1,1,4,4,4,6,,4,4,2,5,5,,5,2,,4,2,1,1.205
210,3,23,3,"CALIFORNIA",4,1,1,1,1,1,"INCREASING DROUGHTS AND WILDFIRES",3,2,1,2,2,2,2,2,1,,,4,4,4,4,4,1,2,2,1,1,1,4,2,5,2,,3,5,4,3,,2,1.3
211,3,23,4,"WASHINGTON",4,1,1,3,1,2,"SCIENTIFIC EVIDENCE",4,1,4,2,2,2,4,2,2,,,4,4,4,4,4,1,1,3,1,1,2,3,1,1,,,4,4,1,5,,2,0.07
212,3,27,1,"WASHINGTON",4,1,2,1,1,1,"FLOODING",3,2,1,4,3,98,1,1,3,,,4,4,4,4,4,4,4,4,98,,4,4,3,1,6,,,5,3,5,2,1,1.895
213,3,30,3,"TEXAS",2,1,2,3,2,2,"THE NEWS",6,2,2,2,1,4,2,3,2,,,2,3,98,98,2,3,3,3,6,,3,4,2,2,1,2,5,1,1,98,,2,0.99
214,3,20,3,"VIRGINIA",2,1,1,3,2,2,"RESEARCH",4,1,4,1,3,4,3,3,3,,,3,98,98,2,1,3,3,3,6,,1,2,1,1,2,,3,1,2,2,6,1,1.055
215,3,31,4,"UTAH",4,1,1,3,1,2,"ICECAPS ARE MELTING",1,1,1,2,2,3,2,2,3,,,4,3,4,4,4,2,3,2,1,1,1,4,2,1,2,,2,2,1,3,3,2,1.28
216,3,29,2,"UTAH",4,2,,,,,,,,,,,,,,,"CLIMATE",8,4,1,2,2,1,4,4,4,6,,98,3,1,1,2,,3,3,2,2,6,1,1.865
217,3,29,3,"OHIO",3,2,,,,,,,,,,,,,,,"WEATHER",1,2,3,4,2,2,4,4,2,6,,2,2,3,1,1,,3,1,4,1,,1,1.045
218,4,3,3,"OHIO",3,2,,,,,,,,,,,,,,,"WEATHER",1,1,1,3,3,1,4,4,4,6,,4,4,3,1,1,2,4,1,1,4,3,1,1.255
219,3,23,3,"GEORGIA",2,1,1,3,1,1,"WHAT PEOPLE SAY",6,1,1,1,98,2,1,1,1,,,4,4,4,3,3,4,3,3,1,2,2,3,1,2,1,2,5,1,1,5,,1,1.265
220,3,29,1,"GEORGIA",2,2,,,,,,,,,,,,,,,"GOVERNMENT PROPAGANDA",7,1,3,3,1,2,4,4,4,6,,3,4,2,2,1,1,2,1,1,3,1,2,2.54
221,3,22,1,"ARKANSAS",2,1,2,3,2,1,"LISTENING",6,1,2,1,1,1,4,1,2,,,3,3,4,3,3,3,2,2,1,1,4,3,1,,,,,,,,,1,1.985
222,3,18,3,"ARIZONA",4,1,1,2,4,1,"COMBINATION OF THINGS",10,1,4,1,1,4,4,1,1,,,2,1,2,2,3,2,4,1,6,,2,4,2,1,1,2,4,4,1,4,6,2,0.43
223,3,29,4,"WISCONSIN",3,1,2,1,1,1,"MELTING OF THE ICE CAPS",1,1,2,2,2,3,3,1,1,,,4,4,4,3,3,2,2,2,1,1,2,3,2,1,1,2,5,2,4,3,6,2,0.02
224,3,25,2,"PENNSYLVANIA",1,1,2,2,2,1,"IT IS WARMER",2,1,2,2,3,3,3,1,2,,,3,3,4,3,3,2,2,3,1,3,98,4,3,1,6,,3,5,1,3,,2,0.78
225,3,18,1,"KENTUCKY",2,98,,,,,,,,,,,,,,,,,3,3,4,2,2,4,4,4,6,,2,3,3,1,1,1,3,5,,3,2,2,1.62
226,4,3,3,"KENTUCKY",2,1,1,1,1,1,"SCIENTIFIC REPORTS",4,1,2,1,4,1,4,2,4,,,4,4,4,4,4,1,1,1,1,1,4,2,3,1,1,2,2,5,1,5,,2,1.07
227,4,3,3,"KENTTUCKY",2,1,1,1,1,1,"HISTORY",9,1,1,2,1,1,4,2,1,,,4,4,4,4,4,2,4,4,1,1,1,4,2,1,2,,5,2,,3,,1,0.635
228,4,5,1,"OREGON",4,2,,,,,,,,,,,,,,,"COLDER WINTERS",1,98,2,4,4,98,98,98,98,1,3,4,4,1,1,6,,2,1,4,3,3,2,2.44
229,3,22,3,"OREGON",4,98,,,,,,,,,,,,,,,,,2,2,3,3,3,4,4,4,6,,4,4,2,1,2,,2,1,1,2,2,1,1.385
230,3,21,4,"OREGON",4,1,1,1,1,1,"TEMPERATURE CHANGES  ALL OVER THE COUNTRY",2,1,3,2,1,4,4,1,2,,,4,4,4,4,4,2,2,4,1,1,4,3,2,1,1,1,2,1,4,2,1,2,0.75
231,3,27,4,"OREGON",4,2,,,,,,,,,,,,,,,"STILL COLD",1,2,2,3,2,2,4,3,3,6,,4,2,1,1,2,,2,3,1,3,2,2,0.76
232,3,18,2,"OREGON",4,1,1,1,1,1,"INCREASED CONCENTRATION CARBON DIOXIDE",10,1,3,1,3,3,2,2,2,,,4,4,4,4,4,2,1,2,1,1,1,3,1,1,,,5,3,1,4,6,1,0.655
233,3,25,3,"LOUISIANA",2,1,1,3,1,1,"COMMON SENSE",10,1,2,2,1,1,4,2,1,,,4,4,4,4,4,1,1,3,1,3,98,3,1,1,2,,5,2,1,5,,1,0.635
234,3,20,,"MEXICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,3,21,2,"NEW MEXICO",4,1,2,1,1,1,"EXTREMELY HOT WEATHER",2,3,1,3,2,3,3,2,1,,,4,3,3,4,4,1,2,98,1,1,1,4,2,10,3,,2,1,,,,1,2.155
236,3,30,4,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,2,4,4,4,3,4,4,4,4,3,98,3,3,1,98,,98,1,,98,,1,0.695
237,4,4,4,"MINNESOTA",3,1,3,2,3,2,"I DO NOT KNOW",10,3,4,4,4,4,4,4,4,,,3,1,3,2,1,4,4,4,6,,2,3,3,1,2,,2,1,,3,,2,0.72
238,3,30,3,"MINNESOTA",3,1,3,2,3,2,"MEDIA",6,2,4,4,3,4,4,2,4,,,2,2,2,2,2,4,4,4,6,,1,3,3,1,1,2,3,4,2,3,6,1,1.055
239,3,30,4,"MINNESOTA",3,1,3,3,2,2,"THINGS THAT I HAVE SEEN ON TV",6,1,4,4,3,4,4,1,4,,,4,2,4,2,2,4,4,4,6,,98,4,3,1,1,2,3,1,2,2,3,1,1.255
240,4,1,2,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,4,4,98,4,4,4,4,4,1,1,4,4,3,1,1,1,3,1,,3,,2,0.78
241,3,22,3,"MINNESOTA",3,2,,,,,,,,,,,,,,,"COLD IN WINTER",1,3,2,2,2,2,3,3,3,6,,3,4,2,1,98,,3,1,4,3,2,1,1.085
242,4,1,3,"MINNESOTA",3,1,1,3,1,98,"POLAR ICE MELT",1,1,3,4,2,98,4,1,2,,,3,3,3,2,98,3,3,3,1,1,3,3,1,1,98,,3,1,1,4,2,2,0.81
243,3,25,3,"MINNESOTA",3,2,,,,,,,,,,,,,,,"JUST DO NOT THINK SO",8,2,3,3,2,2,3,3,4,3,3,4,4,3,1,,,3,5,1,2,2,2,0.82
244,4,4,4,"MASSACHUSETTS",1,2,,,,,,,,,,,,,,,"BECAUSE ITS STILL COLD",1,1,1,4,1,1,4,4,4,6,,4,4,3,1,2,,2,1,4,3,,2,0.72
245,4,5,4,"MASSACHUSETTS",1,2,,,,,,,,,,,,,,,"COLDER WINTERS",1,2,98,4,1,2,4,4,4,6,,2,3,1,1,2,,4,1,1,4,3,1,0.905
246,4,5,3,"MASSACHUSETTS",1,98,,,,,,,,,,,,,,,,,98,3,3,3,4,98,4,2,1,1,2,3,1,1,2,,4,1,4,4,6,2,0.44
247,3,25,3,"WASHINGTON",4,98,,,,,,,,,,,,,,,,,1,1,4,4,2,4,4,4,2,98,4,98,3,1,,,3,1,,,,1,1.045
248,4,4,3,"WASHINGTON",4,1,1,3,1,2,"SCIENCE AND NEWS",4,1,1,1,1,1,2,1,3,,,1,4,4,4,4,4,4,4,1,3,4,3,3,1,,,3,2,1,5,6,2,0.78
249,3,22,4,"WASHINGTON",4,1,1,1,1,1,"PERSONAL OBSERVATIONS",2,1,1,2,2,4,4,3,2,,,4,4,4,2,3,4,4,4,1,3,4,4,2,1,1,2,3,1,1,1,4,1,0.715
250,3,23,4,"WASHINGTON",4,2,,,,,,,,,,,,,,,"HAVE SEEN WEATHER CHANGES MY WHOLE LIFE",1,1,1,98,1,1,4,4,4,6,,4,3,3,1,2,,2,1,2,1,3,2,1.28
251,4,4,4,"WASHINGTON",4,98,,,,,,,,,,,,,,,,,2,2,3,2,2,3,4,4,6,,2,3,3,1,1,2,5,1,4,2,3,1,0.845
252,3,29,3,"CALIFORNIA",4,1,2,1,1,1,"OBSERVATIONS",2,1,1,,1,4,1,98,3,,,4,4,4,4,4,1,1,2,1,98,1,4,3,1,2,,5,6,1,98,6,1,0.645
253,3,30,1,"CALIFORNIA",4,1,2,1,2,1,"MAN'S MISUSE OF THE EARTH",8,1,1,2,1,4,4,2,1,,,3,3,4,3,3,3,3,2,1,3,2,3,2,9,2,,3,5,3,5,2,2,3.15
254,3,28,2,"CALIFORNIA",4,1,1,3,1,1,"CHANGES IN WILDLIFE BEHAVIOR",7,1,1,1,2,4,4,1,2,,,4,4,4,4,4,3,2,2,1,3,2,3,3,1,6,,4,5,1,5,6,1,0.715
255,3,23,4,"TEXAS",2,98,,,,,,,,,,,,,,,,,2,98,98,3,3,3,3,2,6,,98,3,1,1,2,,3,3,1,3,2,2,0.46
256,3,24,3,"TEXAS",2,1,1,3,1,98,"DATA",4,1,4,1,2,2,3,2,1,,,4,4,4,3,4,1,1,4,3,1,1,4,2,1,6,,5,5,4,3,4,1,0.655
257,4,5,2,"OHIO",3,1,1,2,3,1,"NOT SURE",10,2,4,1,2,4,2,3,3,,,1,1,2,2,2,1,2,3,1,1,1,4,2,1,1,1,4,2,2,3,6,1,0.715
258,3,29,3,"KENTUCKY",2,2,,,,,,,,,,,,,,,"TOO MUCH SPACE JUNK GOING UP",9,4,4,4,1,2,4,4,4,1,3,4,3,3,1,1,2,2,2,2,1,,1,1.345
259,4,1,4,"OHIO",3,2,,,,,,,,,,,,,,,"COLD WINTERS",1,1,1,1,1,1,4,4,4,6,,4,3,1,1,1,2,2,5,2,2,98,2,0.72
260,3,23,4,"OHIO",3,98,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,6,,1,4,2,1,98,,3,1,98,1,4,1,0.715
261,3,20,1,"OHIO",3,1,2,3,1,1,"ALTERED SEASONS",3,1,3,3,4,98,1,4,1,,,4,4,4,1,1,4,4,4,1,1,1,3,3,1,98,,2,5,4,3,3,1,2.715
262,3,24,4,"IOWA",3,1,1,1,1,1,"DESTROYING OF OZONE LAYER",10,3,3,1,1,4,1,1,2,,,4,1,1,4,4,4,4,4,1,3,4,3,1,1,6,,2,2,1,5,1,1,1.025
