"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","govt_fed","govt_state","govt_local","rps_25x25_nocost","rps_25x25_cost10pct","vehicle_54mpg_nocost","vehicle_54mpg_cost10pct","fftax_support_v2","fftax_support_v2_cost10pct","carbontax_revuse_v2","gastax_knowldg_cost","gastax_knowldg_chng","gastax_knowldg_chnghow","excisetax_revuse","willing2pay_list","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","weight"
398,"L","10/4/2012 8:50:08",3,"WISCONSIN",3,1,1,2,2,2,"NEWS MEDIA",6,2,1,2,2,3,3,2,3,2,,,,,,,4,2,1,1,3,2,1,1,2,2,2,2,2,2,4,98,2,,2,3,3,1,,,5,1,2,2,6,1,0.48
406,"L","10/4/2012 8:59:25",3,"PENNSYLVANIA",1,1,2,3,2,2,"STUDIES THAT HAVE BEEN REPORTED ON",4,1,4,2,4,1,4,2,4,4,,,,,,,4,3,3,2,98,1,2,2,1,1,1,1,3,3,3,3,1,98,3,4,3,1,2,,5,4,2,2,,1,0.48
437,"C","10/8/2012 5:23:48",3,"PENNSYLVANIA",1,1,1,3,1,1,"WEATHER PATTERNS, HOT SUMMER RECORDS",3,2,1,2,2,2,2,2,2,2,,,,,,,4,4,3,3,3,1,1,2,2,2,2,2,4,4,2,2,2,,1,4,2,1,2,,5,1,1,4,6,1,0.48
457,"C","10/8/2012 5:41:53",3,"RHODE ISLAND",1,1,1,2,4,4,"NO IDEA",10,1,4,4,4,4,4,4,4,4,,,,,,,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,98,98,,2,1,2,1,6,,5,2,2,2,6,1,0.48
471,"L","10/8/2012 6:07:36",3,"MARYLAND",2,1,3,3,3,2,"EARTHS PATTERNS",9,3,3,3,3,4,3,3,3,3,,,,,,,98,2,1,1,98,2,2,2,4,4,4,4,4,4,3,98,98,,3,1,2,1,1,1,5,1,2,1,6,1,0.48
483,"L","10/8/2012 6:26:00",3,"OHIO",3,1,1,1,1,1,"GREEN HOUSE GASES",8,1,4,2,4,2,3,2,2,4,,,,,,,4,4,4,4,4,1,1,1,1,1,2,2,1,1,5,4,2,,5,3,1,1,2,,5,5,1,3,6,1,0.48
498,"L","10/8/2012 6:42:24",3,"MINNESOTA",3,1,2,3,1,1,"SCIENTIFIC EVIDENCE",4,1,1,4,1,1,1,1,1,1,,,,,,,4,4,3,4,4,1,1,2,1,1,1,1,1,1,3,98,98,,3,5,3,1,98,,5,4,1,5,3,1,0.48
499,"L","10/8/2012 6:44:18",3,"MICHIGAN",3,2,,,,,,,,,,,,,,,,98,,,,,,3,4,3,4,4,2,2,2,4,4,1,2,2,2,3,98,98,,3,3,3,1,2,,5,1,4,4,,1,0.48
538,"L","10/8/2012 7:37:40",3,"CONNECTICUT",1,1,2,2,4,4,"NORMAL CYCLE",9,3,3,3,2,3,2,3,3,3,,,,,,,2,2,1,1,3,3,3,3,3,4,2,2,3,3,2,3,1,1,4,6,1,1,1,2,5,2,4,2,,1,0.48
540,"L","10/8/2012 7:39:19",3,"MICHIGAN",3,1,1,2,2,3,"RESEARCH",4,2,1,4,4,4,4,4,2,4,,,,,,,1,1,2,1,2,2,3,3,4,4,4,4,3,3,2,98,98,,2,4,2,1,1,,5,1,4,2,6,1,0.48
548,"L","10/8/2012 7:46:01",3,"CALIFORNIA",4,98,,,,,,,,,,,,,,,,,,,,,,98,98,3,3,4,1,1,1,1,1,1,1,4,4,1,5,98,,5,1,1,1,2,,5,2,1,2,6,1,0.48
597,"L","10/8/2012 8:45:17",3,"PENNSYLVANIA",1,1,1,2,1,2,"RESEARCH",4,1,2,1,2,98,2,2,2,2,,,,,,,4,4,4,4,4,1,2,2,1,2,1,3,4,4,1,3,2,,1,4,3,1,98,,5,2,1,4,6,1,0.48
611,"L","10/8/2012 8:58:44",3,"LOUISIANA",2,2,,,,,,,,,,,,,,,,2,"NATURAL",2,4,4,2,1,1,1,1,2,2,2,2,3,3,2,3,4,4,2,1,2,,2,1,1,1,1,98,5,1,2,2,6,1,0.48
627,"C","10/8/2012 9:33:02",3,"TEXAS",2,1,1,3,1,1,"GREEN HOUSE GASES",8,2,4,3,3,3,3,2,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1,98,1,98,1,4,1,1,2,,5,2,1,4,,1,0.48
632,"C","10/8/2012 9:39:59",3,"CALIFORNIA",4,1,2,2,4,3,"DATA",4,4,4,3,3,3,3,3,3,3,,,,,,,4,1,1,1,1,2,3,3,4,4,4,4,4,4,2,98,98,,2,1,2,1,2,,5,3,2,2,6,1,0.48
642,"C","10/9/2012 5:07:41",3,"NEW YORK",1,2,,,,,,,,,,,,,,,,2,"JUST DO NOT BELIEVE IT",8,2,3,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,3,98,1,98,3,1,2,1,2,,5,2,2,1,,1,0.48
655,"C","10/9/2012 5:24:05",3,"FLORIDA",2,1,1,1,1,1,"FOLLOW THE SCIENCE AND SAW THE GLACIERS",4,1,4,1,4,1,3,1,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,4,3,1,1,2,5,5,4,4,6,1,0.48
748,"L","10/9/2012 9:05:50",3,"HAWAII",4,1,1,3,1,2,"STUDIES I HAVE SEEN",4,1,1,2,1,2,3,1,3,3,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,3,2,98,98,,2,3,1,1,6,,5,1,1,3,,1,0.48
794,"C","10/10/2012 9:20:20",3,"CALIFORNIA",4,1,1,1,1,1,"ICE CAPS MELTING",1,1,4,3,2,3,3,2,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,2,1,1,98,98,98,,98,4,3,1,2,,5,5,1,5,,1,0.48
805,"C","10/11/2012 6:35:05",3,"NEW YORK",1,2,,,,,,,,,,,,,,,,1,"WEATHER PATTERNS",2,4,4,4,3,2,1,1,3,3,3,3,4,4,4,4,4,4,2,1,2,,2,1,1,1,6,,5,5,4,3,6,1,0.48
864,"L","10/11/2012 7:59:11",3,"NEW YORK",1,1,2,1,1,1,"ICE MELTING",1,1,4,1,4,2,4,3,1,1,,,,,,,4,4,3,,4,1,1,1,1,1,1,1,1,1,1,2,2,,1,6,1,1,,,5,4,1,,6,1,0.48
869,"L","10/11/2012 8:05:36",3,"MICHIGAN",3,1,1,3,1,1,"IT IS GETTING HOTTER",2,1,1,1,4,98,1,4,1,4,,,,,,,4,4,98,4,1,1,2,2,2,1,1,1,1,1,1,1,2,,1,4,1,1,2,,5,4,1,5,3,1,0.48
1,"L","9/26/2012 8:43:01",4,"MISSOURI",3,1,1,3,1,1,"WAY OF MANUFACTURING THINGS.",8,1,2,1,2,3,2,2,2,2,,,,,,,4,4,3,3,4,1,1,1,1,1,1,2,1,2,1,4,1,98,1,4,2,1,2,,5,4,4,3,98,2,0.49
30,"L","9/26/2012 9:47:50",4,"TEXAS",2,1,1,1,1,1,"READINGS FROM SCIENTIST",6,1,1,1,1,1,98,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,98,98,98,98,98,,98,,3,1,1,1,5,1,4,4,,2,0.49
102,"L","9/27/2012 7:37:30",4,"NEW JERSEY",1,98,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,4,2,4,4,4,,5,1,1,1,1,2,1,1,2,5,2,4,3,,2,0.49
304,"L","10/2/2012 8:59:26",4,"NEW JERSEY",1,1,1,1,1,1,"MELTING OF POLAR ICE",1,1,1,2,2,1,1,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,2,1,2,1,2,1,98,2,,1,4,3,1,,,5,2,1,5,,2,0.49
356,"L","10/3/2012 8:37:24",4,"FLORIDA",2,1,1,3,1,1,"WARMER TEMPERATURES",2,1,1,1,2,4,1,1,1,1,,,,,,,4,4,4,3,1,1,1,2,1,1,1,1,1,1,3,98,98,,3,98,3,1,1,2,5,2,1,3,6,2,0.49
546,"L","10/8/2012 7:43:54",4,"NEW YORK",1,1,1,1,1,1,"RELIANCE ON ARAB OIL AND SAUDI OIL AND OUR RELUCTANCE TO ACKNOWLEDGE PRESEN",8,1,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,98,98,,1,5,2,1,1,2,5,6,1,5,6,2,0.49
604,"L","10/8/2012 8:51:35",4,"MICHIGAN",3,1,1,2,2,2,"DATA",4,1,1,4,4,4,1,1,2,2,,,,,,,4,4,1,1,1,2,2,2,4,4,4,4,4,4,5,98,98,,5,4,3,1,2,,5,4,4,3,,2,0.49
688,"C","10/9/2012 7:35:56",4,"OHIO",3,1,1,3,1,1,"PEOPLE AND NATURAL PHENOMENON",8,1,1,2,2,2,1,1,1,1,,,,,,,4,4,2,4,4,1,1,2,2,2,1,1,2,2,1,98,98,,1,5,3,1,7,,5,2,1,4,,2,0.49
695,"C","10/9/2012 7:46:12",4,"FLORIDA",2,1,1,98,1,1,"NOT SURE",10,2,1,2,1,4,1,3,1,1,,,,,,,4,4,4,4,4,3,1,2,1,1,1,1,1,1,3,98,2,,3,1,2,1,2,,5,2,1,3,3,2,0.49
751,"L","10/9/2012 9:08:02",4,"MASSACHUSETTS",1,1,1,1,1,1,"PERSONAL EXPERIENCE",2,2,1,3,1,3,1,3,1,1,,,,,,,3,3,3,3,4,1,1,2,1,1,1,1,1,1,1,98,2,,1,5,1,1,1,2,5,2,1,4,,2,0.49
760,"L","10/9/2012 9:25:38",4,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,,,,,,2,98,2,98,2,2,2,2,2,2,2,2,2,2,98,98,98,,6,2,3,1,1,2,5,1,2,3,,2,0.49
887,"L","10/11/2012 8:39:44",4,"CALIFORNIA",4,1,1,3,2,1,"OVER POPULATION",13,1,2,1,2,1,3,1,2,2,,,,,,,4,4,3,3,4,1,1,1,1,2,1,2,1,2,98,3,2,,5,4,3,1,6,,5,98,1,3,3,2,0.49
85,"C","9/27/2012 6:54:45",3,"CALIFORNIA",4,1,1,1,1,1,"FEEL WARMER TEMPS EVERY YEAR",2,1,1,2,2,4,1,2,1,1,,,,,,,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,98,3,1,98,,4,5,1,5,,1,0.51
104,"L","9/27/2012 7:39:45",3,"MAINE",1,1,1,3,1,1,"WEATHER CHANGES",3,1,2,2,2,2,2,2,1,1,,,,,,,4,4,3,3,4,1,1,2,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,,4,1,1,4,,1,0.51
128,"L","9/27/2012 8:05:38",3,"PENNSYLVANIA",1,2,,,,,,,,,,,,,,,,2,"DATA",5,4,3,1,1,1,1,1,2,2,2,2,3,1,2,2,4,4,2,5,98,,5,2,2,1,,,4,4,3,1,,1,0.51
143,"L","9/27/2012 8:24:34",3,"MASSACHUSETTS",1,1,1,3,1,2,"MELTING OF POLAR ICE CAPS",1,1,1,1,4,2,4,2,4,4,,,,,,,4,4,3,3,3,1,1,1,1,2,1,1,1,1,1,3,2,,2,3,1,1,1,2,4,2,4,4,6,1,0.51
146,"L","9/27/2012 8:31:32",3,"MINESOTA",3,2,,,,,,,,,,,,,,,,1,"THERE IS NOT ENOUGH SCIENTIFIC EVIDENCE. BASED ON AN INDUSTRY DESIRE TO MAK",3,4,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,2,2,2,,2,1,1,1,6,,4,5,2,2,6,1,0.51
154,"L","9/27/2012 8:40:44",3,"OHIO",3,2,,,,,,,,,,,,,,,,1,"DATA",5,4,4,4,1,1,1,1,4,3,3,3,1,1,4,4,4,4,2,2,2,,2,1,1,1,1,1,4,5,1,1,5,1,0.51
174,"L","9/27/2012 9:10:49",3,"CALIFORNIA",4,1,1,1,2,2,"INFORMATION THAT I READ",6,1,3,1,2,1,4,3,4,4,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,98,98,,5,5,3,1,6,,4,1,1,3,6,1,0.51
182,"L","9/27/2012 9:28:06",3,"OREGON",4,1,2,2,2,4,"THAT IS WHAT THE EARTH AND THE UNIVERSE HAVE GOT GOING",10,4,4,4,4,4,4,4,4,4,,,,,,,3,2,1,1,2,3,3,3,2,3,1,2,3,4,6,98,98,,3,98,1,1,1,2,4,1,2,2,3,1,0.51
197,"C","10/1/2012 7:59:29",3,"CALIFORNIA",4,1,1,1,1,1,"POLLUTION AND OVER POPULATION",8,1,3,2,2,2,4,2,2,2,,,,,,,4,4,4,4,4,1,1,2,1,2,1,2,1,2,1,4,1,1,1,3,1,1,1,2,4,5,1,5,,1,0.51
214,"C","10/1/2012 8:22:25",3,"PENNSYLVANIA",1,1,2,3,2,2,"READING MATERIAL",6,1,2,2,1,2,2,98,1,1,,,,,,,1,4,3,4,1,2,2,2,1,2,2,2,1,2,3,2,98,,1,2,3,1,2,,4,98,4,3,,1,0.51
221,"C","10/1/2012 8:30:57",3,"WISCONSIN",3,2,,,,,,,,,,,,,,,,1,"NOT ENOUGH INFORMATION",3,4,4,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,5,2,1,1,5,1,2,1,2,,4,1,2,1,6,1,0.51
223,"C","10/1/2012 8:32:38",3,"NEW JERSEY",1,2,,,,,,,,,,,,,,,,1,"GOD CREATES SEASONS",6,2,98,2,1,2,1,1,1,3,3,3,3,4,3,4,3,4,4,98,1,98,3,1,3,1,2,,4,1,2,1,,1,0.51
224,"C","10/1/2012 8:32:57",3,"ILLINOIS",3,1,1,1,1,1,"PERSONAL OPINION",2,1,3,2,3,3,4,1,3,3,,,,,,,4,4,4,4,4,1,1,1,1,2,1,1,4,4,1,98,98,,1,3,3,1,1,2,4,4,4,2,4,1,0.51
253,"L","10/1/2012 9:24:14",3,"IOWA",3,1,2,1,2,1,"RISING TEMP OF OCEAN",2,2,2,3,4,2,2,2,2,4,,,,,,,4,4,4,98,3,2,2,2,1,2,1,1,2,2,1,3,2,,1,6,2,1,2,,4,5,2,2,6,1,0.51
271,"L","10/1/2012 9:47:50",3,"SOUTH DAKOTA",3,1,1,1,1,1,"SCIENTIFIC EVIDENCE",4,1,1,1,3,1,1,1,1,3,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,6,3,1,7,,4,4,4,4,4,1,0.51
301,"L","10/2/2012 8:55:11",3,"OHIO",3,1,2,3,2,2,"WARMER TEMPERATURES",2,1,4,1,4,4,2,3,4,4,,,,,,,2,2,2,2,4,2,2,3,1,1,1,1,1,1,1,4,2,,1,4,2,1,2,,4,5,4,98,6,1,0.51
314,"L","10/2/2012 9:10:37",3,"KANSAS",3,2,,,,,,,,,,,,,,,,1,"SCIENTIFIC DATA",5,1,4,1,1,1,1,1,1,3,2,2,3,3,3,3,4,4,1,2,98,,1,1,2,1,1,2,4,5,2,1,5,1,0.51
364,"L","10/3/2012 8:48:58",3,"FLORIDA",2,1,1,1,1,1,"TEMPERATURE MEASURMENTS ARE RISING",2,1,1,3,3,2,3,3,3,3,,,,,,,4,4,4,4,4,1,2,2,1,1,1,1,1,1,1,98,98,,1,6,3,1,7,,4,6,3,5,4,1,0.51
368,"L","10/3/2012 8:54:52",3,"NEW JERSEY",1,1,2,1,1,1,"GLACIERS MELTING",1,1,4,98,2,98,98,4,2,2,,,,,,,4,2,4,1,4,1,2,2,1,1,1,2,2,2,3,98,2,,3,4,98,1,1,2,4,2,3,98,6,1,0.51
379,"L","10/4/2012 8:19:30",3,"ILLINOIS",3,1,1,1,1,1,"WE ARE RESPONSIBLE",8,1,4,1,4,1,2,2,2,2,,,,,,,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,2,2,,1,4,3,1,7,,4,5,98,4,,1,0.51
409,"C","10/4/2012 9:11:48",3,"KANSAS",3,2,,,,,,,,,,,,,,,,1,"PATTERNS",2,1,4,4,2,1,1,1,1,2,3,3,4,4,4,4,4,4,2,98,98,,2,2,1,1,1,2,4,5,2,1,,1,0.51
430,"C","10/8/2012 5:09:12",3,"NEW YORK",1,1,1,3,1,1,"POLLUTION",8,2,2,2,2,2,2,2,2,2,,,,,,,4,3,3,2,4,1,1,2,1,2,1,2,1,2,1,1,1,1,1,3,3,1,1,2,4,2,,,,1,0.51
431,"C","10/8/2012 5:09:43",3,"VIRGINIA",2,1,2,3,2,3,"WARMER SUMMERS AND WINTERS",2,1,1,3,2,3,1,1,3,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,4,1,98,98,,1,3,2,1,1,2,4,1,4,3,3,1,0.51
464,"C","10/8/2012 5:49:15",3,"TEXAS",2,98,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,3,3,3,4,4,4,4,4,4,2,2,2,,5,1,1,1,1,2,4,5,2,1,4,1,0.51
511,"L","10/8/2012 6:54:34",3,"UTAH",4,2,,,,,,,,,,,,,,,,2,"NATURAL CYCLES",2,3,4,2,1,3,1,1,4,2,2,1,4,4,1,1,3,4,5,3,98,,2,1,2,1,6,,4,5,3,2,98,1,0.51
516,"L","10/8/2012 6:58:25",3,"INDIANA",3,1,1,3,1,2,"PERSONAL EXPERIENCE",2,1,1,4,1,3,1,1,1,1,,,,,,,4,3,3,3,4,2,2,2,1,1,3,3,2,2,1,98,98,,1,2,1,1,6,,4,1,1,3,4,1,0.51
543,"L","10/8/2012 7:41:04",3,"PENNSYLVANIA",1,1,1,1,1,1,"WE HAVE NO WINTERS",3,2,2,2,2,2,1,2,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,98,1,98,3,2,1,1,1,1,4,5,4,,,1,0.51
555,"L","10/8/2012 7:54:49",3,"INDIANA",3,1,1,3,2,2,"MILDER WINTERS",2,1,1,2,3,3,1,2,2,2,,,,,,,3,2,98,1,3,98,3,3,1,1,1,1,1,1,98,98,98,,5,98,2,1,1,2,4,2,,,,1,0.51
566,"L","10/8/2012 8:03:13",3,"CALIFORNIA",4,1,1,3,2,2,"READING NEWS",6,2,4,4,3,3,3,98,98,98,,,,,,,3,4,4,1,3,2,2,2,3,2,2,2,2,2,98,98,98,,98,98,1,1,6,,4,2,4,3,,1,0.51
606,"L","10/8/2012 8:54:53",3,"MICHIGAN",3,2,,,,,,,,,,,,,,,,1,"POLITICAL ISSUE",7,2,2,2,2,1,1,1,98,2,3,3,4,4,4,4,4,4,3,1,2,,3,1,2,1,1,1,4,5,2,1,,1,0.51
622,"C","10/8/2012 9:24:15",3,"CALIFORNIA",4,1,1,98,2,2,"ICE CAPS",1,1,3,4,3,4,2,3,2,2,,,,,,,2,3,3,2,3,1,1,1,1,2,1,1,4,4,1,98,98,,1,6,2,1,6,,4,1,1,3,5,1,0.51
635,"C","10/8/2012 9:48:55",3,"CALIFORNIA",4,1,1,1,1,1,"DATA",4,1,4,1,2,2,3,2,2,2,,,,,,,4,4,3,4,4,1,1,2,1,1,1,1,1,1,1,3,2,,1,4,1,1,6,,4,4,3,5,6,1,0.51
636,"C","10/8/2012 9:52:29",3,"UTAH",4,2,,,,,,,,,,,,,,,,2,"ITS A CROCK",9,2,3,2,1,1,1,1,3,2,2,2,1,3,98,98,3,3,1,2,98,,5,1,2,1,6,,4,1,4,2,4,1,0.51
652,"C","10/9/2012 5:21:52",3,"FLORIDA",2,1,1,1,2,1,"TOO MUCH CARBON EMISSIONS",8,1,1,1,1,4,4,1,1,1,,,,,,,4,4,4,3,4,2,1,2,1,1,1,1,2,2,98,3,2,,1,6,2,1,1,2,4,5,4,2,3,1,0.51
679,"C","10/9/2012 7:22:21",3,"FLORIDA",2,1,2,1,2,3,"NEWS",6,1,1,3,1,3,1,1,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,3,1,98,2,,3,2,3,1,1,2,4,1,4,3,3,1,0.51
697,"C","10/9/2012 7:48:08",3,"NORTH DAKOTA",3,98,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,2,2,1,1,4,1,4,4,4,4,2,3,1,2,2,1,2,1,1,98,4,1,2,3,98,1,0.51
716,"L","10/9/2012 8:29:59",3,"MICHIGAN",3,1,2,2,2,4,"NEWS RADIO",6,2,4,2,4,2,2,4,4,4,,,,,,,3,1,1,2,3,2,2,3,1,2,4,4,1,1,1,2,1,2,1,3,2,1,1,2,4,3,4,3,4,1,0.51
733,"L","10/9/2012 8:47:40",3,"NEW YORK",1,1,2,2,4,4,"NATURE",9,4,4,4,4,4,4,4,4,4,,,,,,,1,1,2,1,4,2,2,2,4,4,1,1,4,4,5,3,2,,2,1,1,1,2,,4,1,2,2,6,1,0.51
768,"L","10/10/2012 8:28:48",3,"NEW YORK",1,2,,,,,,,,,,,,,,,,2,"NOT ENOUGH EVIDENCE",3,4,4,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,2,1,1,2,1,2,1,2,,4,1,2,2,,1,0.51
770,"L","10/10/2012 8:32:17",3,"TEXAS",2,1,1,1,1,1,"CROPS DRYING UP",14,1,1,3,2,3,1,1,1,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,2,1,2,98,,1,4,1,1,1,2,4,1,2,1,4,1,0.51
790,"L","10/10/2012 9:04:47",3,"FLORIDA",2,1,1,1,1,1,"GLACIER MELTING AND WARMER TEMPS",1,1,1,1,4,1,1,2,1,2,,,,,,,4,4,4,4,4,1,1,2,1,2,2,2,4,4,1,98,98,,1,4,1,1,2,,4,1,4,4,,1,0.51
808,"C","10/11/2012 6:37:58",3,"GEORGIA",2,2,,,,,,,,,,,,,,,,3,"SAME PATTERNS",2,3,3,3,4,1,1,1,2,98,98,98,1,2,1,2,2,2,3,98,98,,3,1,2,1,1,2,4,1,2,1,5,1,0.51
821,"C","10/11/2012 6:50:14",3,"INDIANA",3,2,,,,,,,,,,,,,,,,1,"NATURAL CYCLES",2,2,2,2,1,2,2,1,4,3,3,3,1,1,2,2,2,2,3,98,98,,3,4,1,1,1,1,4,1,2,2,6,1,0.51
838,"L","10/11/2012 7:29:36",3,"NEW YORK",1,1,2,1,1,2,"TOO MANY CARS AND OTHER POLLUTION",8,1,1,2,1,2,1,1,2,2,,,,,,,4,4,4,4,4,1,2,2,1,3,1,2,2,3,1,98,98,,3,3,3,1,6,,4,1,1,4,4,1,0.51
847,"L","10/11/2012 7:38:00",3,"NEW JERSEY",1,1,1,1,1,2,"NEWS REPORTS",6,1,2,2,1,2,1,1,1,1,,,,,,,4,4,3,3,4,3,2,2,2,2,2,2,2,2,1,5,2,,1,2,2,1,1,2,4,4,1,3,5,1,0.51
865,"L","10/11/2012 7:59:50",3,"NEW JERSEY",1,1,1,3,1,2,"DATA",4,1,2,2,3,2,3,2,2,4,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,98,,1,4,2,1,,,4,2,1,4,3,1,0.51
892,"L","10/11/2012 9:04:51",3,"SOUTH DAKOTA",3,1,1,1,1,1,"DAMAGE TO OZONE LAYER",10,1,1,3,2,3,1,1,2,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,4,1,1,1,2,4,5,1,4,4,1,0.51
899,"L","10/11/2012 9:17:35",3,"CALIFORNIA",4,2,,,,,,,,,,,,,,,,1,"YOU BELIEVE THE OPPOSITE",8,1,4,1,1,98,1,98,1,3,3,3,1,1,1,1,4,4,3,98,98,,3,1,3,1,6,,4,1,2,1,,1,0.51
906,"L","10/11/2012 9:28:41",3,"CALIFORNIA",4,1,1,1,1,1,"NO SPRING OR FALL",3,2,2,2,2,2,2,2,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,3,1,1,2,,4,5,1,5,,1,0.51
145,"L","9/27/2012 8:30:54",4,"UTAH",4,1,1,2,1,2,"WEATHER IS GETTING HOTTER",2,1,1,4,1,3,4,98,2,1,,,,,,,3,3,1,2,1,2,3,3,1,1,1,4,1,1,1,98,98,,1,3,2,1,2,,4,2,4,3,5,2,0.52
171,"L","9/27/2012 9:05:39",4,"WISCONSIN",3,2,,,,,,,,,,,,,,,,1,"GOD CREATED THE EARTH",6,2,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,98,1,98,3,1,2,1,1,1,4,1,2,2,,2,0.52
218,"C","10/1/2012 8:29:37",4,"ILLINOIS",3,98,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,4,2,2,2,1,1,1,4,98,98,5,98,98,,5,2,3,1,1,1,4,1,2,2,,2,0.52
270,"L","10/1/2012 9:46:59",4,"LOUISIANA",2,1,1,1,1,1,"THINGS SHE SAW ON TELEVISION",6,1,2,2,2,98,2,2,2,2,,,,,,,3,3,3,3,3,1,1,1,2,2,2,2,2,2,1,98,1,98,1,3,1,1,,,4,1,,,,2,0.52
331,"L","10/2/2012 9:51:17",4,"WASHINGTON",4,1,1,1,1,1,"WITNESSED SOME OF IT AND RESEARCHED IT",2,1,1,2,2,98,1,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,2,1,98,98,,1,2,2,1,6,,4,2,1,3,,2,0.52
335,"L","10/3/2012 8:09:16",4,"MISSOURI",3,2,,,,,,,,,,,,,,,,2,"EARTH'S NATURAL CHANGES",2,2,4,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,3,98,1,1,3,1,2,1,1,2,4,1,2,1,,2,0.52
352,"L","10/3/2012 8:29:59",4,"NEW JERSEY",1,1,1,1,2,1,"THE DIFFERENT SEASONS",3,1,1,1,1,2,1,1,1,1,,,,,,,2,2,3,2,1,1,2,2,1,2,1,1,2,3,6,4,2,,6,2,2,1,2,,4,5,4,3,4,2,0.52
454,"C","10/8/2012 5:38:51",4,"ILLINOIS",3,2,,,,,,,,,,,,,,,,2,"POLITICS",7,4,4,4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,3,98,1,1,3,1,2,1,1,1,4,1,2,1,4,2,0.52
562,"L","10/8/2012 8:00:22",4,"KENTUCKY",2,1,2,2,3,4,"WARMER FALL",2,4,2,4,4,4,2,4,4,4,,,,,,,2,1,1,1,1,3,3,3,4,4,4,4,4,4,2,1,98,,2,1,1,1,1,2,4,5,2,2,,2,0.52
593,"L","10/8/2012 8:38:12",4,"MARYLAND",2,1,1,1,1,1,"DAMAGE TO OZONE LAYER",10,1,1,4,2,4,1,1,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,3,4,3,98,98,,3,3,3,1,2,,4,1,2,1,3,2,0.52
772,"L","10/10/2012 8:33:22",4,"MISSOURI",3,98,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,3,98,3,98,3,4,98,98,,4,1,2,1,1,2,4,1,,,,2,0.52
781,"L","10/10/2012 8:49:03",4,"WISCONSIN",3,1,1,1,1,1,"EVERYONE CAN SEE IT HAPPENING",2,1,1,3,2,4,1,1,1,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,2,1,98,98,,1,4,3,1,3,,4,1,1,3,3,2,0.52
784,"L","10/10/2012 8:55:35",4,"TENNESSEE",2,2,,,,,,,,,,,,,,,,1,"NO PROOF",3,3,3,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,98,1,98,2,1,3,1,1,1,4,1,2,3,,2,0.52
