"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_concern","ccvsgw_concern","intl_support_v2","intl_support_china_v2","intl_kyotoknowldg","state_fftax_nocost","state_fftax_cost10pct","state_captrade","state_captrade_cost10pct","state_rps_v2","state_rps_v2_cost100","state_gastax_nocost","state_gastax_cost25cpg","captrade_knowldg","captrade_support_v1","captrade_cost15dol","carbontax_support","carbontax_cost15dol","carbontax_rev4research_v2","carbontax_revneutral_v2","coalfpp_support","coalfpp_support_Obama","carbontax_partisan1","carbontax_partisan2","carbontax_partisan3","carbontax_partisan4","carbontax_partisan5","carbontax_partisan_support","carbontax_partisan_oppose","willing2pay_list","willing2pay_open","willing2pay_open_coded","govt_nostateaction","state_rps_economy","state_neighborsact","state_impactsfelt","fed_moralobligation","pipelines_support","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","demog_gender","weight"
421,"l","10/10/2013 8:47:54",3,"CA",4,98,,,,,,,,,,,,,,,,,,,,2,,98,98,2,,2,,,1,,2,1,2,2,3,3,1,,2,,,,1,,,98,,,"$300",5,3,98,3,98,3,4,1,3,,4,2,4,5,1,4,2,0.817
422,"l","10/10/2013 8:48:26",3,"CO",4,2,,,,,,,,,,,,,2,"NOT ENOUGH EVIDENCE",3,3,2,1,,4,,5,98,4,,4,,,4,,4,3,4,4,4,4,4,,4,,,,3,,,,,,"0",1,4,3,1,4,4,2,1,2,,5,2,4,3,2,,1,0.51
423,"l","10/10/2013 8:52:20",3,"NY",1,1,3,3,"ICE MELTING",1,1,3,2,1,3,1,3,1,,,,,,,,2,,98,98,3,,98,,,98,,98,98,98,98,98,98,98,,98,,,,98,,,,,,"0",1,4,4,3,2,3,1,1,,,5,1,1,3,3,4,2,0.787
424,"l","10/10/2013 8:53:21",4,"CO",4,98,,,,,,,,,,,,,,,,,,,,3,,3,98,3,,98,,,4,,4,3,98,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,4,4,98,3,1,1,2,1,1,4,1,3,1,1,0.94
425,"l","10/10/2013 8:57:51",4,"CA",4,1,1,1,"HURRICANES AND TORNADOES",3,1,3,2,1,3,3,2,1,,,,,,,,1,,1,2,2,,1,,,2,,4,1,1,2,1,1,1,,2,,,,98,,,,,,"$200",4,2,1,1,2,2,2,1,1,2,5,2,1,5,1,,1,0.29
426,"l","10/10/2013 9:02:31",1,"CA",4,1,2,2,"CENTURIES OF CHARTS SHOWING SAME WEATHER PATTERNS AS NOW",3,2,2,1,2,3,2,2,2,,,,,,,,3,,2,1,4,,4,,,2,,4,2,3,3,4,4,2,,3,,,,1,,,3,,,"$25",2,98,1,3,3,3,1,1,2,,2,1,1,4,2,2,1,1.4
427,"l","10/10/2013 9:04:05",3,"MN",3,2,,,,,,,,,,,,,1,"DATA",5,1,1,1,,3,,5,2,4,,4,,,3,,4,1,4,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,3,98,4,3,1,1,1,1,4,3,4,1,2,,2,0.817
428,"l","10/10/2013 9:04:07",4,"CA",4,1,2,1,"MELTING ICE AT POLES",1,1,3,4,3,3,1,2,3,,,,,,,,1,,2,2,2,,2,,,2,,3,2,2,2,2,2,1,,2,,,,1,,,1,,,"$300",5,1,2,1,1,1,3,1,1,2,2,2,4,3,3,2,2,0.777
429,"l","10/10/2013 9:10:45",3,"HI",4,1,1,3,"ICE",1,1,4,3,1,4,2,2,2,,,,,,,,1,,2,98,3,,2,,,2,,3,2,2,2,2,2,1,,98,,,,98,,,,,,"$50",2,2,2,3,3,2,98,10,2,,4,1,,,1,6,1,0.75
430,"l","10/10/2013 9:12:52",4,"CA",4,2,,,,,,,,,,,,,3,"THINGS ARE GOING IN GOD PLANNED WAY",6,3,4,1,,4,,3,98,4,,98,,,98,,4,98,98,3,3,3,2,,2,,,,1,,,2,,,"0",1,98,98,98,4,3,2,9,2,,1,1,1,3,2,1,1,1.99
431,"l","10/10/2013 9:21:07",2,"MO",3,2,,,,,,,,,,,,,1,"PERSONAL OBSERVATION",1,1,4,2,,4,,5,98,1,,4,,,4,,4,2,4,4,1,4,2,,4,,,,3,,,,,,"0",1,4,4,4,4,4,1,1,1,1,3,5,4,1,2,,2,1.347
432,"l","10/10/2013 9:27:22",3,"TX",2,1,1,2,"WEATHER CHANGING",3,1,1,2,1,2,3,1,2,,,,,,,,1,,1,98,3,,2,,,2,,4,3,98,4,4,4,4,,2,,,,3,,,,,,"0",1,1,2,2,2,98,1,9,,,3,1,3,2,2,4,1,1.74
433,"l","10/10/2013 9:31:09",4,"IL",3,1,2,1,"LESS SNOW IN WINTER AND LESS RAINS ALSO",3,2,2,4,1,1,3,1,1,,,,,,,,2,,3,98,4,,4,,,4,,4,2,4,4,4,4,4,,2,,,,2,,,,1,,"0",1,2,3,98,2,2,98,1,1,2,2,1,,1,3,,2,0.777
434,"l","10/10/2013 9:33:56",4,"CA",4,2,,,,,,,,,,,,,1,"MY HUSBAND AND I BOTH BELIEVE IN GOD",6,1,4,4,,4,,3,2,4,,4,,,4,,4,3,4,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,4,4,4,2,3,1,1,2,2,2,1,3,3,2,2,0.777
435,"l","10/10/2013 9:37:49",4,"TX",2,98,,,,,,,,,,,,,,,,,,,,4,,3,2,4,,4,,,4,,4,3,4,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,4,2,4,3,4,1,1,2,3,1,2,1,3,2,1,0.47
436,"l","10/10/2013 9:38:36",3,"NE",3,1,1,1,"ERODING SHORE LINES",11,1,2,4,2,4,3,2,2,,,,,,,,1,,1,2,2,,1,,,1,,3,1,1,2,3,2,1,,98,,,,98,,,,,,"NOT SURE",98,2,1,3,2,2,98,5,2,,2,1,1,4,2,,1,0.87
437,"l","10/10/2013 9:42:13",3,"OK",2,1,2,1,"WEATHER AND POLLUTION",3,2,2,3,2,2,4,2,2,,,,,,,,2,,1,2,4,,2,,,3,,4,3,2,4,4,4,2,,2,,,,2,,,,2,,"$100",3,2,1,4,2,4,1,1,1,2,3,1,1,1,3,3,2,0.967
438,"l","10/10/2013 9:43:22",3,"CA",4,1,2,1,"TOO MUCH DUMPING GARBAGE IN THE OCEAN, RISING THE TIDES AND ERODING THE BEACHES",8,2,2,3,3,2,2,2,1,,,,,,,,2,,2,98,4,,4,,,2,,4,2,3,4,4,4,4,,4,,,,1,,,1,,,"$50",2,4,4,4,4,2,1,1,1,2,2,1,1,2,2,,1,0.72
439,"l","10/10/2013 9:44:43",4,"TX",2,1,1,3,"PERSONAL EXPERIENCE",2,2,1,2,3,2,2,2,2,,,,,,,,2,,3,98,98,,2,,,1,,3,3,2,3,3,3,3,,3,,,,3,,,,,,"0",1,3,3,3,2,,,,,,,,,,,,2,0.897
440,"l","10/10/2013 9:50:34",4,"OK",2,98,,,,,,,,,,,,,,,,,,,,4,,5,98,4,,3,,,4,,3,3,3,4,3,4,3,,3,,,,2,,,,2,,"0",1,3,2,2,3,2,1,1,1,1,3,3,2,1,3,2,1,0.47
441,"l","10/10/2013 9:50:45",4,"IA",3,98,,,,,,,,,,,,,,,,,,,,4,,2,2,4,,2,,,2,,4,3,4,2,2,2,1,,3,,,,3,,,,,,"$15",2,2,2,3,2,2,2,1,2,,4,1,2,2,3,2,1,0.32
442,"l","10/13/2013 4:59:24",3,"FL",2,1,1,1,"CLIMATE CHANGES",10,1,3,2,2,3,2,2,2,,,,,,,,2,2,,98,,3,2,,,3,3,,2,2,3,98,3,,2,98,,,,,98,,,,,"$50",2,2,2,2,2,2,2,1,2,,4,1,1,3,3,,2,0.817
443,"l","10/13/2013 5:02:26",4,"FL",2,1,2,2,"TEMPERATURES GETTING HOTTER EVERY YEAR",2,3,1,2,1,3,3,1,1,,,,,,,,2,2,,98,,4,4,,,2,4,,2,3,4,4,4,,2,2,,,,,1,,1,,,"$50",2,3,2,2,2,2,2,1,3,,4,2,2,1,3,2,2,0.597
444,"l","10/13/2013 5:03:49",2,"MA",1,2,,,,,,,,,,,,,2,"NOT ENOUGH FACTUAL EVIDENCE",3,2,2,1,,3,4,,2,,4,3,,,3,3,,2,3,3,3,3,,98,3,,,,,2,,,2,,"0",1,4,3,4,3,3,1,1,1,2,2,1,4,2,2,,1,1.1
445,"l","10/13/2013 5:08:35",2,"PA",1,1,2,3,"NATURAL PATTERNS AND MANS USE OF NUCLEAR CRAFTS IN THE ATMOSPHERE",9,2,3,3,2,2,3,1,1,,,,,,,,2,2,,98,,4,2,,,2,4,,2,2,2,3,3,,3,2,,,,,1,,1,,,"$25",2,3,1,3,2,2,1,10,6,,4,5,2,1,3,3,1,1.07
446,"l","10/13/2013 5:09:40",4,"MD",2,98,,,,,,,,,,,,,,,,,,,,4,98,,98,,4,98,,,2,3,,3,98,4,98,3,,1,98,,,,,3,,,,,"0",1,3,2,2,2,98,2,9,2,,3,1,2,2,3,,2,1.797
447,"l","10/13/2013 5:10:23",3,"MI",3,1,1,3,"NATURAL DISASTERS AND WARMER WINTERS IN SOME AREAS",3,1,1,4,1,1,1,1,1,,,,,,,,1,1,,1,,2,1,,,2,2,,2,1,2,2,2,,2,2,,,,,1,,1,,,"$100",3,1,2,3,1,1,98,1,1,2,4,1,1,3,2,3,1,0.54
448,"l","10/13/2013 5:12:48",4,"PA",1,2,,,,,,,,,,,,,2,"RESEARCH",5,1,3,3,,2,1,,98,,2,98,,,2,4,,3,98,2,2,98,,1,2,,,,,1,,98,,,"0",1,2,2,4,98,1,2,1,2,,3,1,2,3,3,3,2,0.747
449,"l","10/13/2013 5:13:38",3,"PA",1,2,,,,,,,,,,,,,2,"CENTURY OLD CHARTS READ THE SAME AS TODAY",5,2,4,4,,4,3,,2,,4,4,,,4,4,,3,98,98,3,3,,4,2,,,,,1,,2,,,"0",1,98,4,4,4,4,98,1,1,1,2,1,1,3,2,1,1,0.64
450,"l","10/13/2013 5:14:45",1,"OH",3,1,1,3,"ICE MELTING IN ANTARCTICA",1,1,2,2,2,2,2,2,2,,,,,,,,2,2,,98,,2,2,,,2,3,,2,2,3,2,3,,2,98,,,,,98,,,,,"NOT SURE",98,2,2,2,2,2,2,5,2,,4,5,4,4,2,98,1,1.37
451,"l","10/13/2013 5:17:15",4,"NJ",1,2,,,,,,,,,,,,,2,"THINK IT WILL CHANGE BACK",9,1,4,4,,4,3,,98,,4,98,,,4,4,,3,3,4,4,4,,98,4,,,,,2,,,1,,"0",1,4,98,1,4,3,2,1,1,2,3,1,4,2,3,1,2,0.667
452,"l","10/13/2013 5:19:53",2,"CT",1,1,2,2,"MELTING ICE CAPS AND SEVERE WINTERS",1,2,3,3,2,3,1,2,1,,,,,,,,1,2,,1,,4,4,,,4,4,,2,98,2,4,4,,2,2,,,,,3,,,,,"$100",3,3,98,2,2,2,2,1,2,,4,2,1,4,3,,2,1.197
453,"l","10/13/2013 5:22:29",2,"NJ",1,98,,,,,,,,,,,,,,,,,,,,3,3,,2,,4,98,,,4,4,,3,98,4,4,4,,4,4,,,,,2,,,2,,"0",1,3,98,2,4,2,2,1,6,,3,1,4,3,2,2,1,1.07
454,"l","10/13/2013 5:23:57",3,"SC",2,2,,,,,,,,,,,,,2,"EARTHS NATURAL PATTERNS",2,3,2,1,,3,4,,98,,4,98,,,4,4,,2,3,3,4,4,,4,3,,,,,3,,,,,"0",1,3,3,3,3,3,2,2,1,2,3,2,4,3,2,1,2,1.357
455,"l","10/13/2013 5:25:22",3,"MD",2,1,1,1,"WEATHER",3,2,2,2,3,2,2,1,2,,,,,,,,1,1,,98,,1,2,,,2,2,,1,1,1,1,1,,1,1,,,,,1,,1,,,"$200",4,1,2,4,2,2,2,1,1,2,5,4,4,3,1,6,1,0.57
456,"l","10/13/2013 5:25:31",3,"OH",3,1,2,1,"MAN IS DESTROYING THE RAIN FORESTS AND ALSO TOO MUCH DIESEL FUEL USE",8,2,3,3,2,3,2,1,1,,,,,,,,2,2,,2,,4,2,,,2,4,,2,2,2,4,4,,3,3,,,,,2,,,2,,"$50",2,3,1,3,2,2,2,1,1,2,3,2,2,2,3,4,1,0.69
457,"l","10/13/2013 5:29:19",2,"PA",1,1,1,1,"OVERCROWDED AND POLLUTION",13,1,2,2,2,1,2,2,2,,,,,,,,1,1,,2,,2,2,,,2,2,,1,1,2,2,2,,2,2,,,,,2,,,2,,"$50",2,2,2,3,2,2,2,1,6,,4,1,1,5,3,,1,0.92
458,"l","10/13/2013 5:31:24",3,"FL",2,2,,,,,,,,,,,,,2,"FOR YEARS I HAVE SEEN THE SAME TYPES OF CLIMATE",1,2,4,4,,4,3,,2,,4,4,,,4,4,,3,98,98,4,4,,4,3,,,,,1,,1,,,"0",1,4,4,4,4,4,98,9,2,,3,2,1,4,,,2,2.017
459,"l","10/13/2013 5:33:42",4,"PA",1,1,2,1,"ALL THE STRANGE WEATHER AND DISASTERS",3,1,2,3,2,2,1,2,2,,,,,,,,2,2,,2,,3,2,,,3,4,,2,2,3,3,4,,2,3,,,,,3,,,,,"$50",2,3,98,2,2,2,2,1,2,,4,2,2,1,2,2,1,0.32
460,"l","10/13/2013 5:37:50",2,"CT",1,1,2,98,"ERODING BEACHES AND MANS MISUSE OF ROCKET POWERED VEHICHLES",11,2,2,4,2,2,2,1,1,,,,,,,,3,2,,98,,4,4,,,2,4,,2,3,3,4,4,,3,98,,,,,1,,2,,,"$50",2,3,2,2,2,2,2,1,1,2,4,2,2,1,3,,1,0.92
461,"l","10/13/2013 5:41:34",4,"MI",3,2,,,,,,,,,,,,,2,"IT COSTS MORE MONEY",7,2,2,1,,4,5,,98,,3,98,,,4,4,,98,98,4,98,4,,1,98,,,,,98,,,,,"0",1,98,2,98,2,98,98,1,2,,1,1,2,2,3,1,2,1.217
462,"l","10/13/2013 5:46:54",3,"FL",2,98,,,,,,,,,,,,,,,,,,,,2,98,,98,,3,98,,,4,3,,3,98,3,3,3,,2,98,,,,,98,,,,,"NOT SURE",98,3,2,98,3,98,2,9,2,,2,1,4,3,2,,2,2.047
463,"l","10/13/2013 5:50:30",3,"NY",1,2,,,,,,,,,,,,,1,"GOD",6,2,4,4,,4,5,,98,,4,4,,,4,4,,3,3,4,4,4,,98,4,,,,,2,,,2,,"0",1,4,98,2,4,3,2,1,1,2,2,1,4,3,2,2,2,0.997
464,"l","10/13/2013 5:56:24",4,"MD",2,1,2,1,"WINTER IS WARMER",2,2,2,1,4,1,1,1,1,,,,,,,,2,1,,1,,1,4,,,1,4,,2,1,1,4,1,,1,1,,,,,98,,,,,"$25",2,2,1,2,1,1,2,1,,,3,1,2,2,3,,2,0.747
465,"l","10/13/2013 5:59:48",4,"NJ",1,1,2,1,"ENTIRE WEATHER PATTERN IS CRAZY, HAS TO DO WITH FRACKING AND SUCH",3,2,3,4,1,4,3,2,2,,,,,,,,3,1,,98,,2,3,,,2,3,,3,98,3,4,3,,3,2,,,,,1,,1,,,"$100",3,2,2,3,2,2,2,1,2,,,2,1,4,2,,2,0.747
466,"l","10/13/2013 6:04:53",3,"NY",1,2,,,,,,,,,,,,,2,"STEADY CHARTS SHOWING CENTURY OLD PATTERS",5,1,1,4,,4,2,,2,,4,4,,,2,4,,2,3,3,4,4,,2,3,,,,,3,,,,,"0",1,4,4,4,4,4,3,1,1,2,5,5,2,1,3,5,1,0.51
467,"l","10/13/2013 6:05:42",4,"NY",1,98,,,,,,,,,,,,,,,,,,,,3,3,,98,,4,98,,,4,4,,3,2,4,4,4,,2,4,,,,,3,,,,,"0",1,3,98,2,3,3,3,1,6,,3,2,1,3,3,2,2,0.747
468,"l","10/13/2013 6:11:10",3,"OH",3,1,2,3,"HOTTER",2,1,1,98,1,1,1,1,1,,,,,,,,2,1,,98,,4,1,,,1,4,,3,1,1,4,4,,3,98,,,,,2,,,1,,"$50",2,4,98,,98,1,1,1,2,,3,1,1,3,2,5,2,0.967
469,"l","10/13/2013 6:11:26",2,"MA",1,1,1,1,"OVER CROWDING POPULATION",13,2,2,2,2,3,2,1,1,,,,,,,,2,2,,1,,2,2,,,2,4,,2,2,2,3,3,,2,2,,,,,1,,2,,,"$110",4,2,2,2,2,2,1,1,1,2,4,2,2,1,,,1,0.92
470,"l","10/13/2013 6:19:53",4,"NJ",1,98,,,,,,,,,,,,,,,,,,,,4,4,,98,,4,4,,,4,4,,3,4,4,4,4,,2,98,,,,,3,,,,,"0",1,4,4,1,98,4,1,1,2,,2,1,1,4,2,,2,0.777
471,"l","10/13/2013 6:20:52",3,"TN",2,2,,,,,,,,,,,,,2,"ALWAYS CHANGING",8,4,4,1,,4,3,,98,,4,4,,,4,4,,1,4,4,4,4,,4,4,,,,,2,,,1,,"0",1,4,4,1,4,4,1,1,6,,5,5,4,2,2,,1,0.51
472,"l","10/13/2013 6:21:25",1,"FL",2,1,2,2,"GOD MAKES THE WEATHER",12,3,1,4,2,3,3,2,2,,,,,,,,3,3,,98,,4,4,,,4,4,,98,98,3,3,3,,3,2,,,,,1,,98,,,"0",1,98,98,98,4,4,4,9,2,,2,5,1,4,98,,1,2.45
473,"l","10/13/2013 6:24:34",3,"NY",1,98,,,,,,,,,,,,,,,,,,,,3,5,,1,,4,4,,,4,4,,1,4,4,4,4,,4,4,,,,,2,,,1,,"0",1,1,4,1,1,4,1,1,2,,5,1,2,1,2,6,2,0.847
474,"l","10/13/2013 6:28:10",4,"PA",1,98,,,,,,,,,,,,,,,,,,,,4,3,,98,,4,98,,,4,4,,3,3,4,4,4,,4,4,,,,,2,,,2,,"0",1,4,4,2,4,2,2,1,1,2,2,1,1,3,3,1,2,0.697
475,"l","10/13/2013 6:29:54",4,"NH",1,1,1,3,"ALASKA  ICE IS MELTING",1,1,2,4,2,2,2,2,2,,,,,,,,2,1,,98,,4,98,,,4,4,,3,98,4,4,4,,1,4,,,,,1,,1,,,"0",1,2,98,98,2,98,1,1,2,,1,1,4,4,2,1,1,0.94
476,"l","10/13/2013 6:29:59",1,"PA",1,1,2,3,"EXPERIENCE",2,1,2,4,2,1,4,2,2,,,,,,,,2,1,,1,,4,1,,,2,4,,3,4,4,4,4,,2,2,,,,,3,,,,,"$50",2,4,3,1,1,2,3,1,6,,4,5,1,5,2,1,2,1.417
477,"l","10/13/2013 6:37:28",2,"WI",3,1,2,1,"NEWS REPORTS",6,1,3,3,3,3,1,2,3,,,,,,,,3,2,,2,,3,2,,,4,4,,2,2,4,4,4,,4,4,,,,,3,,,,,"$100",3,2,2,2,2,2,3,1,1,2,3,1,4,2,2,3,2,1.347
478,"l","10/13/2013 6:38:03",3,"NJ",1,1,2,98,"MELTING OF THE POLAR ICE CAPS",1,1,2,4,3,2,1,2,3,,,,,,,,2,1,,98,,4,2,,,1,4,,3,2,1,3,4,,2,1,,,,,3,,,,,"$1200",6,2,98,4,98,3,2,1,2,,3,6,4,2,2,2,2,0.967
479,"l","10/13/2013 6:39:50",4,"TX",2,2,,,,,,,,,,,,,2,"MADE UP POLITICAL TRASH",7,3,4,4,,4,5,,98,,4,4,,,4,4,,1,4,4,4,4,,4,4,,,,,2,,,1,,"0",1,4,4,1,4,4,1,1,2,,4,1,2,1,3,3,1,0.32
480,"l","10/13/2013 6:42:31",4,"OH",3,1,1,1,"FOSSIL FUELS",8,1,1,1,1,1,4,2,3,,,,,,,,1,1,,98,,2,98,,,1,98,,2,98,98,98,98,,98,2,,,,,98,,,,,"NOT SURE",98,1,1,1,1,1,98,1,1,2,5,98,4,4,3,4,1,0.29
481,"l","10/13/2013 6:50:44",3,"NM",4,1,1,3,"NOT SURE",10,2,2,98,4,98,98,2,98,,,,,,,,2,1,,98,,3,4,,,4,4,,3,3,3,4,4,,4,98,,,,,3,,,,,"$25",2,98,1,4,3,98,98,1,6,,4,1,1,3,2,4,1,0.54
482,"l","10/13/2013 6:52:10",4,"LA",2,1,2,98,"ICE IS MELTING",1,1,3,4,3,3,2,3,2,,,,,,,,1,2,,1,,3,98,,,2,4,,3,3,3,2,4,,2,2,,,,,2,,,2,,"0",1,2,98,98,2,2,1,1,1,1,2,1,2,2,3,3,1,0.5
483,"l","10/13/2013 7:14:59",3,"PA",1,2,,,,,,,,,,,,,2,"SCIENTIFIC DATA",5,3,1,1,,4,4,,2,,4,4,,,4,4,,2,4,4,4,4,,4,4,,,,,2,,,2,,"0",1,3,3,2,3,2,1,1,6,,2,1,4,3,2,2,1,0.72
484,"l","10/13/2013 7:20:18",2,"CA",4,2,,,,,,,,,,,,,2,"COMPUTER MODELS SHOW TRENDS FROM YEARS AGO THE SAME AS TODAY",5,2,1,4,,3,3,,98,,4,4,,,2,4,,2,3,3,3,3,,3,2,,,,,1,,1,,,"$500",5,4,1,4,4,3,2,1,6,,4,2,1,5,2,,1,0.92
485,"l","10/13/2013 7:24:56",2,"MD",2,98,,,,,,,,,,,,,,,,,,,,3,2,,2,,4,2,,,4,4,,2,2,4,4,4,,2,3,,,,,3,,,,,"0",1,2,98,2,3,2,2,1,1,2,3,2,1,3,2,2,1,1.07
486,"l","10/13/2013 7:25:47",3,"NY",1,1,1,3,"CARS THROWING OFF FUMES",8,1,1,4,1,1,98,1,1,,,,,,,,2,1,,98,,4,98,,,3,4,,3,2,3,4,3,,1,4,,,,,98,,,,,"0",1,2,2,3,1,1,98,9,6,,3,1,1,2,98,1,2,1.937
487,"l","10/13/2013 7:28:03",3,"IL",3,1,2,3,"USE OF FOSSIL FUELS AND SHIFTING GLACIERS",8,2,3,4,2,3,2,2,2,,,,,,,,2,2,,98,,4,4,,,3,4,,2,2,2,4,4,,2,2,,,,,2,,,2,,"$10",2,3,2,3,2,2,2,2,1,2,2,1,1,4,2,1,1,1.11
488,"l","10/13/2013 7:29:47",3,"WI",3,98,,,,,,,,,,,,,,,,,,,,2,1,,98,,2,4,,,1,98,,2,3,2,98,2,,1,1,,,,,1,,3,,,"$50",2,1,1,4,98,1,2,1,1,2,4,1,4,3,3,4,2,0.817
489,"l","10/13/2013 7:32:42",1,"LA",2,1,2,98,"EARTH GETTING CLOSE TO THE SUN",10,1,2,4,2,3,2,98,1,,,,,,,,2,98,,98,,98,98,,,4,4,,98,98,3,3,3,,1,3,,,,,98,,,,,"0",1,2,2,98,3,98,2,2,1,2,4,1,4,2,2,,2,1.967
490,"l","10/13/2013 7:35:37",4,"MO",3,1,2,1,"THEY HAVE BEEN TALKING ABOUT IT FOR YEARS",10,1,2,4,3,3,1,2,3,,,,,,,,1,3,,98,,3,98,,,3,4,,3,2,3,3,3,,2,3,,,,,3,,,,,"$50",2,2,98,2,2,1,3,1,2,,3,1,2,1,3,1,2,0.667
491,"l","10/13/2013 7:39:43",4,"KS",3,1,98,2,"NOT SURE",10,98,2,98,3,3,3,3,3,,,,,,,,3,98,,98,,4,4,,,4,4,,3,4,4,4,4,,4,4,,,,,3,,,,,"NOT SURE",98,98,98,98,98,98,98,1,1,2,2,1,98,1,3,,2,0.777
492,"l","10/13/2013 7:41:54",4,"TX",2,1,1,2,"GLACIERS ARE MELTING",1,1,3,1,2,2,2,1,2,,,,,,,,3,3,,98,,4,2,,,2,4,,2,3,3,3,3,,3,98,,,,,3,,,,,"$15",2,2,2,2,98,4,1,1,1,2,4,1,2,2,2,4,2,0.597
493,"l","10/13/2013 7:46:26",4,"GA",2,1,1,1,"SCIENCE",4,1,2,1,4,2,2,2,2,,,,,,,,1,1,,2,,1,2,,,1,1,,2,1,1,1,1,,1,1,,,,,1,,1,,,"NOT SURE",98,1,98,4,2,1,4,1,3,,5,4,4,4,1,5,1,0.29
494,"l","10/13/2013 7:47:17",4,"LA",2,98,,,,,,,,,,,,,,,,,,,,4,98,,98,,4,98,,,2,4,,3,2,3,4,4,,2,98,,,,,3,,,,,"0",1,2,98,2,4,2,98,2,1,2,1,1,1,1,3,1,2,1.687
495,"l","10/13/2013 7:52:39",3,"OH",3,2,,,,,,,,,,,,,2,"POLITICIANS LIE",7,2,2,1,,3,5,,2,,4,4,,,4,4,,1,4,4,4,4,,2,4,,,,,3,,,,,"0",1,4,4,4,3,4,1,1,1,1,4,1,2,2,3,,2,0.817
496,"l","10/13/2013 7:54:46",4,"FL",2,2,,,,,,,,,,,,,4,"NOT SURE",9,4,3,4,,4,98,,2,,3,3,,,4,4,,3,4,4,98,4,,2,98,,,,,98,,,,,"NOT SURE",98,4,4,4,4,4,1,1,1,98,3,1,1,3,2,98,2,0.747
497,"l","10/13/2013 7:57:42",4,"CA",4,1,1,3,"WEATHER PATTERNS, HISTORY OF EARTH TEMPERATURES",9,1,3,2,2,3,1,2,2,,,,,,,,1,1,,1,,2,2,,,2,3,,2,2,2,3,2,,2,2,,,,,1,,2,,,"$100",3,1,2,3,1,1,4,1,1,2,4,1,1,3,3,2,2,0.597
498,"l","10/13/2013 7:58:16",2,"NJ",1,1,1,3,"PATTERNS",9,1,1,1,1,1,98,1,1,,,,,,,,1,1,,1,,1,3,,,4,1,,1,1,1,4,2,,1,1,,,,,1,,1,,,"NOT SURE",98,1,1,4,1,2,4,10,4,,5,5,3,5,98,,1,1.04
499,"l","10/13/2013 7:58:26",4,"CA",4,2,,,,,,,,,,,,,2,"EARTH ROUTINELY CHANGES ON ITS OWN",2,2,4,4,,4,2,,98,,98,4,,,4,4,,2,3,3,3,3,,4,98,,,,,3,,,,,"0",1,2,2,98,4,4,2,1,1,2,4,6,2,1,3,6,2,0.657
500,"l","10/13/2013 7:58:29",3,"CA",4,1,1,1,"GLACIERS ARE MELTING IN ALASKA",1,1,4,2,2,3,2,2,2,,,,,,,,1,1,,2,,3,2,,,2,3,,1,1,3,3,3,,3,98,,,,,98,,,,,"$100",3,2,2,3,2,2,3,1,2,,5,5,4,4,3,,1,0.51
501,"l","10/13/2013 8:02:59",4,"NV",4,2,,,,,,,,,,,,,2,"READING AND RESEARCH",5,3,1,1,,3,5,,98,,4,4,,,4,4,,2,3,3,4,3,,2,3,,,,,1,,1,,,"0",1,3,3,98,3,3,1,10,6,,2,1,2,1,2,,1,0.65
502,"l","10/13/2013 8:04:26",2,"PA",1,2,,,,,,,,,,,,,2,"OBSERVATION",1,2,2,1,,2,5,,2,,4,4,,,3,4,,1,4,4,4,4,,4,4,,,,,3,,,,,"0",1,4,4,4,4,3,3,2,6,,5,3,3,5,3,,1,1.36
503,"l","10/13/2013 8:22:56",2,"NM",4,1,2,98,"MANY FACTORS FROM MAN TO LIFE CYCLES",8,2,2,2,3,2,3,1,1,,,,,,,,2,2,,1,,3,2,,,2,4,,2,2,2,3,3,,3,3,,,,,3,,,,,"$200",4,2,2,3,2,2,1,10,6,,4,5,4,5,,,1,1.07
504,"l","10/13/2013 8:27:46",2,"CA",4,1,1,1,"RESEARCH",4,1,3,1,2,2,3,2,2,,,,,,,,2,1,,2,,1,1,,,1,4,,2,2,1,1,1,,1,2,,,,,1,,2,,,"$200",4,4,1,4,1,1,3,9,1,2,5,5,1,4,1,6,1,2
505,"l","10/13/2013 8:30:42",3,"CO",4,98,,,,,,,,,,,,,,,,,,,,2,3,,98,,98,98,,,3,4,,3,98,3,98,3,,2,98,,,,,3,,,,,"NOT SURE",98,3,98,98,2,2,2,1,,,2,1,,,2,,2,0.997
506,"l","10/13/2013 8:31:11",3,"KY",2,2,,,,,,,,,,,,,2,"YEARS OF TRENDS OF WEATHER",1,2,4,4,,3,2,,98,,4,4,,,4,4,,2,3,3,3,4,,4,98,,,,,1,,1,,,"0",1,4,3,4,4,3,2,1,1,2,3,2,2,2,2,2,2,0.967
