"Survey_Iteration","Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","gwimpacts_storms","gwimpacts_droughts","gwimpacts_disease","gwimpacts_species","gwimpacts_areas","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","gw_adapt","govt_fed","govt_state","govt_local","govt_fedvsstate","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","state_gastax","captrade_govt_v1","fftax_govt","nuclear_govt","gastax_govt","rps_govt","ethanol_govt","vehicle_govt","captrade_support_v1","captrade_cost15dol","captrade_cost50","carbontax_support","carbontax_cost15dol","carbontax_cost50dol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","Weight"
"FALL 2009",967,10,2,2009,"NC",2,2,1,2,3,3,3,2,2,98,2,2,3,98,3,98,98,98,98,98,98,98,98,98,98,98,4,,98,98,98,98,98,4,98,98,98,98,98,98,98,3,3,3,98,98,3,98,5,6,,5,5,4,4,2,0.22
"FALL 2009",1002,10,4,2009,"CA",4,1,1,1,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,2,3,4,,1,1,2,1,1,1,3,1,1,1,3,3,1,1,2,2,1,2,2,5,5,7,,4,5,1,4,2,0.22
"FALL 2009",1064,10,5,2009,"NJ",1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,3,4,2,2,1,1,4,2,1,2,3,4,,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,5,5,2,,4,1,1,4,2,0.22
"FALL 2009",1285,10,9,2009,"NC",2,1,1,3,3,3,3,2,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,98,,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,2,5,5,,4,5,4,,2,0.22
"FALL 2009",1463,10,15,2009,"TX",2,1,2,,,,,,,,,,1,2,98,1,2,3,3,2,98,3,2,2,3,98,2,2,4,4,4,4,4,2,98,2,3,2,4,4,4,2,2,4,4,4,4,2,5,2,,5,4,4,5,2,0.22
"FALL 2009",1464,10,15,2009,"NC",2,2,98,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,,5,5,4,3,2,0.22
"FALL 2009",1466,10,15,2009,"IL",3,1,98,,,,,,,,,,2,2,1,1,4,1,1,1,1,4,1,1,98,98,4,,1,3,2,1,1,3,2,1,1,3,2,3,1,2,2,4,2,2,4,2,10,7,,5,5,4,3,2,0.22
"FALL 2009",616,9,21,2009,"NY",1,2,1,2,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,3,98,98,98,98,4,,1,1,2,2,2,98,98,98,98,98,98,98,2,2,2,2,4,2,2,3,1,,,4,1,1,3,2,0.25
"FALL 2009",633,9,22,2009,"KS",3,2,1,2,2,2,2,3,1,4,1,3,3,3,2,2,3,2,2,2,2,3,3,2,4,4,4,,1,2,98,98,1,4,98,3,98,4,3,3,3,2,3,4,3,3,4,2,1,2,,5,1,1,5,2,0.25
"FALL 2009",641,9,22,2009,"NJ",1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,2,2,1,3,1,1,1,4,4,,1,1,3,4,1,1,4,3,4,3,3,3,3,4,4,4,2,2,2,4,1,3,,4,5,1,6,2,0.25
"FALL 2009",659,9,22,2009,"NY",1,2,1,2,1,2,2,2,1,2,2,1,3,4,3,4,4,1,2,2,2,4,2,2,98,3,4,,1,98,1,2,1,98,3,98,3,98,3,3,3,1,2,4,98,2,4,4,1,7,,5,1,1,2,2,0.25
"FALL 2009",663,9,23,2009,"MT",4,3,1,1,1,1,1,2,1,2,2,1,4,4,4,4,3,2,2,2,1,4,1,1,1,3,98,,1,1,3,98,1,1,2,2,3,3,2,2,1,98,98,98,98,98,98,3,1,1,1,4,1,1,3,2,0.25
"FALL 2009",678,9,23,2009,"NY",1,3,1,2,3,1,1,1,1,1,1,1,4,4,4,4,4,1,2,2,2,98,2,1,2,98,4,,1,1,1,1,1,2,3,3,3,1,3,3,3,1,98,3,2,98,4,98,1,3,,5,1,1,4,2,0.25
"FALL 2009",682,9,23,2009,"OR",4,2,1,2,3,1,2,3,3,2,2,2,4,4,3,3,3,1,1,1,2,4,2,2,98,98,4,,2,2,3,2,2,3,3,3,4,4,3,3,3,1,2,4,3,2,4,2,1,6,,4,5,1,2,2,0.25
"FALL 2009",691,9,23,2009,"NY",1,3,1,2,1,1,1,2,1,1,1,1,4,4,4,4,4,1,1,1,2,2,2,1,3,2,4,,1,2,3,2,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,1,1,2,5,1,1,6,2,0.25
"FALL 2009",701,9,23,2009,"NY",1,3,1,2,3,1,1,2,2,1,1,2,3,3,3,3,3,1,2,2,1,1,2,2,3,3,3,,1,2,4,3,1,2,3,3,3,3,3,3,3,98,98,98,98,3,4,98,1,1,2,4,1,1,2,2,0.25
"FALL 2009",719,9,24,2009,"CA",4,2,2,,,,,,,,,,2,2,3,1,2,2,2,3,2,2,1,3,3,1,4,,2,4,4,2,3,3,2,4,1,4,2,3,2,3,3,4,4,3,4,1,1,1,1,5,2,2,3,2,0.25
"FALL 2009",728,9,24,2009,"ME",1,2,98,,,,,,,,,,2,98,98,2,98,3,3,3,2,98,98,2,98,3,3,,2,3,3,3,2,3,4,4,4,4,2,2,4,3,3,3,3,3,3,3,1,1,1,5,5,4,5,2,0.25
"FALL 2009",731,9,24,2009,"KS",3,3,2,,,,,,,,,,3,1,1,1,4,2,2,2,3,4,4,3,3,2,4,,4,4,2,98,3,4,4,4,98,4,4,98,4,3,4,4,4,3,4,1,1,1,1,4,4,2,3,2,0.25
"FALL 2009",743,9,25,2009,"NY",1,3,2,,,,,,,,,,1,1,1,1,3,3,3,3,4,1,4,1,4,4,4,,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,2,,4,6,2,,2,0.25
"FALL 2009",786,9,28,2009,"IL",3,2,2,,,,,,,,,,3,3,2,2,4,1,2,2,2,4,2,2,3,3,3,,2,3,2,3,1,4,2,3,3,4,3,3,3,98,3,4,4,3,4,2,1,2,,4,5,2,5,2,0.25
"FALL 2009",815,9,29,2009,"NY",1,2,98,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,98,2,2,1,1,1,2,98,3,3,2,1,2,2,1,2,2,2,1,1,98,1,2,,4,1,2,4,2,0.25
"FALL 2009",821,9,29,2009,"OH",3,2,98,,,,,,,,,,1,3,2,2,3,1,1,1,1,3,1,1,98,98,4,,1,4,4,98,1,4,98,4,4,4,2,98,1,4,4,4,4,4,4,1,1,7,,4,1,2,5,2,0.25
"FALL 2009",827,9,29,2009,"TX",2,2,1,2,3,2,2,2,2,2,2,2,4,3,3,2,3,1,1,1,2,4,4,2,98,98,4,,2,3,3,98,2,4,98,3,4,4,3,3,1,4,3,4,3,3,4,2,1,6,,4,3,2,6,2,0.25
"FALL 2009",845,9,29,2009,"WA",4,2,1,2,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,2,4,4,,1,2,3,3,1,3,1,1,1,3,3,3,3,2,2,2,1,1,1,4,1,1,1,4,5,4,5,2,0.25
"FALL 2009",851,9,29,2009,"VA",2,2,98,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,6,,4,1,4,3,2,0.25
"FALL 2009",852,9,29,2009,"NC",2,2,1,2,3,1,2,2,2,1,1,2,3,3,4,3,4,2,2,2,2,3,2,2,2,2,2,3,1,1,1,1,1,4,3,3,3,98,3,3,3,2,2,4,3,2,4,2,1,2,,4,1,4,3,2,0.25
"FALL 2009",911,9,30,2009,"AZ",4,3,2,,,,,,,,,,3,2,1,1,2,2,2,2,1,1,3,2,3,3,4,,2,3,2,2,1,3,98,98,98,98,98,98,98,2,3,4,3,3,4,2,1,7,,4,3,2,5,2,0.25
"FALL 2009",917,9,30,2009,"PA",1,2,1,1,1,1,1,2,1,1,1,2,4,4,3,4,4,1,1,2,1,4,2,98,2,98,4,,2,2,2,1,1,2,3,1,2,1,3,3,3,2,1,2,2,1,2,4,1,7,,4,5,4,4,2,0.25
"FALL 2009",919,9,30,2009,"PA",1,2,2,,,,,,,,,,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,5,1,4,2,0.25
"FALL 2009",923,9,30,2009,"NY",1,2,1,1,3,2,2,1,1,1,1,1,4,4,4,4,4,1,2,2,1,4,2,2,3,3,4,,2,1,1,1,1,1,3,3,3,3,3,3,1,2,2,3,2,2,3,5,1,3,,4,2,4,6,2,0.25
"FALL 2009",930,10,1,2009,"OH",3,2,98,,,,,,,,,,98,98,98,98,98,1,1,1,2,4,2,98,98,98,4,,2,98,98,98,2,98,98,98,98,98,98,98,98,98,2,98,2,2,3,2,1,7,,4,2,4,3,2,0.25
"FALL 2009",933,10,1,2009,"NE",3,2,2,,,,,,,,,,1,1,1,1,3,2,2,2,3,3,2,2,3,3,2,3,2,4,1,3,2,3,4,4,3,4,3,3,3,4,4,4,3,3,4,2,1,1,1,5,5,2,4,2,0.25
"FALL 2009",940,10,1,2009,"TX",2,2,1,1,1,1,1,2,1,3,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,2,2,2,2,3,4,3,3,98,3,1,1,1,1,1,1,6,1,6,,4,4,4,5,2,0.25
"FALL 2009",943,10,1,2009,"IL",3,2,98,,,,,,,,,,3,3,2,2,3,2,2,1,2,3,3,3,3,3,2,98,2,3,2,2,1,3,3,4,3,4,98,3,1,2,2,3,2,2,2,2,1,6,,4,5,4,4,2,0.25
"FALL 2009",949,10,1,2009,"SC",2,2,1,2,3,1,2,1,1,2,1,1,4,4,3,3,2,2,2,2,2,4,3,2,1,1,2,1,1,1,1,2,1,1,3,4,4,4,4,4,4,2,1,1,2,2,2,3,1,1,1,4,5,4,3,2,0.25
"FALL 2009",952,10,1,2009,"FL",2,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,98,1,98,4,,2,4,2,2,1,4,3,4,3,4,3,3,4,2,2,4,4,2,4,2,1,2,,4,1,1,6,2,0.25
"FALL 2009",963,10,1,2009,"VA",2,2,1,2,3,1,1,1,1,1,1,1,4,2,2,2,3,1,1,1,1,4,2,98,98,98,4,,1,2,2,98,2,2,3,3,3,3,3,3,1,3,2,4,98,2,4,3,1,1,2,5,5,2,6,2,0.25
"FALL 2009",966,10,1,2009,"AL",2,2,2,,,,,,,,,,2,1,2,1,2,3,2,2,3,3,2,2,3,2,2,3,3,4,2,3,3,4,2,4,2,4,4,4,4,2,3,4,3,3,4,2,1,2,,4,5,2,3,2,0.25
"FALL 2009",992,10,2,2009,"MI",3,3,2,,,,,,,,,,1,1,1,1,1,98,98,98,4,1,2,1,4,4,4,,4,4,4,4,98,4,4,4,4,4,98,4,4,4,4,4,4,4,4,1,1,2,,4,5,4,3,2,0.25
"FALL 2009",1001,10,4,2009,"CA",4,2,2,,,,,,,,,,2,2,1,2,3,1,2,2,3,2,2,2,3,3,4,,2,4,3,2,2,4,2,4,3,4,3,3,1,2,2,3,3,2,3,3,1,6,,5,5,1,6,2,0.25
"FALL 2009",1017,10,4,2009,"NY",1,3,1,2,3,2,1,1,1,1,2,1,3,4,4,4,4,1,2,98,3,4,2,2,98,98,4,,2,2,98,98,98,2,98,98,98,98,98,98,98,98,2,2,2,2,2,5,1,3,,5,6,1,,2,0.25
"FALL 2009",1025,10,4,2009,"CA",4,3,1,1,1,1,2,2,1,3,1,1,4,4,4,4,4,1,2,2,1,4,2,1,1,3,4,,1,1,1,1,1,1,3,3,3,3,1,3,1,2,1,4,1,1,4,4,1,2,,4,5,1,4,2,0.25
"FALL 2009",1041,10,5,2009,"CO",4,2,1,1,3,1,1,2,2,1,1,2,4,4,4,4,4,1,1,1,1,3,2,1,1,4,4,,1,1,3,1,1,1,3,3,3,3,3,3,3,1,1,2,1,1,2,5,1,6,,4,5,1,3,2,0.25
"FALL 2009",1054,10,5,2009,"VA",2,3,1,2,1,1,1,2,1,2,1,1,4,4,4,4,4,1,1,1,2,4,2,2,1,2,1,1,2,2,3,3,2,2,3,3,3,3,3,3,3,98,3,3,2,3,3,2,1,1,1,5,5,1,6,2,0.25
"FALL 2009",1062,10,5,2009,"AR",2,2,1,2,3,1,1,1,1,1,1,1,4,4,4,3,3,1,1,1,1,4,2,98,2,3,4,,2,2,1,98,2,2,98,1,3,1,1,1,1,98,2,98,1,1,2,4,1,7,,4,5,1,5,2,0.25
"FALL 2009",1070,10,5,2009,"IA",3,2,1,2,1,2,2,2,2,1,2,2,3,3,3,3,2,1,2,2,2,4,2,2,2,2,3,,2,2,3,2,1,2,3,3,3,3,3,3,3,2,2,3,2,2,3,2,1,6,,4,1,1,2,2,0.25
"FALL 2009",1074,10,5,2009,"WI",3,2,98,,,,,,,,,,4,4,4,4,4,1,1,1,1,4,2,2,2,2,4,,1,2,2,98,2,4,3,3,3,3,3,3,3,1,3,4,2,3,4,2,1,6,,4,1,1,3,2,0.25
"FALL 2009",1081,10,5,2009,"NE",3,2,1,2,1,1,1,2,2,2,2,2,4,4,3,4,4,1,1,1,2,4,2,3,3,4,4,,1,3,3,3,2,4,4,4,4,4,3,3,3,98,4,4,4,4,4,2,1,1,2,4,5,1,4,2,0.25
"FALL 2009",1099,10,6,2009,"PA",1,2,1,1,3,2,2,1,1,1,3,3,4,4,4,4,4,2,2,2,2,4,3,3,2,2,4,,2,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,2,1,1,2,4,5,1,4,2,0.25
"FALL 2009",1107,10,6,2009,"NY",1,3,1,2,2,2,2,1,1,1,2,2,3,4,4,4,4,2,2,2,2,4,2,2,2,3,4,,2,3,3,2,4,4,3,4,4,4,4,4,3,2,4,3,4,3,3,2,1,3,,5,1,2,1,2,0.25
"FALL 2009",1108,10,6,2009,"OR",4,2,1,2,3,2,3,2,2,3,3,2,3,3,3,2,98,1,2,2,2,2,3,3,98,2,2,3,3,3,2,3,2,3,4,4,3,4,3,3,4,3,3,4,3,4,4,2,1,6,,4,1,2,5,2,0.25
"FALL 2009",1109,10,6,2009,"CT",1,3,2,,,,,,,,,,2,2,4,2,4,2,2,2,2,4,2,2,98,98,3,,1,4,3,98,98,4,98,4,4,4,4,98,98,2,98,98,3,3,4,1,1,2,,4,1,2,6,2,0.25
"FALL 2009",1114,10,6,2009,"WA",4,2,98,,,,,,,,,,3,2,2,1,98,2,2,2,98,2,98,2,3,2,98,,3,2,2,98,2,3,4,4,3,4,3,3,3,2,2,3,98,2,4,2,1,1,1,4,1,2,4,2,0.25
"FALL 2009",1116,10,6,2009,"PA",1,2,1,2,3,2,2,98,2,3,3,2,3,1,2,1,3,1,2,2,98,3,3,2,3,1,4,,2,3,2,98,2,3,98,4,1,98,4,4,1,3,2,3,3,3,4,3,1,2,,5,3,2,6,2,0.25
"FALL 2009",1119,10,6,2009,"NC",2,2,1,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,4,2,4,,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,2,1,1,3,1,7,,4,5,1,3,2,0.25
"FALL 2009",1136,10,6,2009,"FL",2,2,98,,,,,,,,,,3,3,3,3,3,98,98,98,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,3,2,98,98,98,98,1,,,4,6,2,,2,0.25
"FALL 2009",1141,10,6,2009,"MO",3,2,1,1,1,2,2,1,1,1,1,1,3,3,3,3,3,1,1,1,2,3,2,2,98,98,4,,1,3,2,4,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,1,1,6,,4,1,2,4,2,0.25
"FALL 2009",1146,10,6,2009,"KY",2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,2,1,1,3,3,4,3,3,3,3,1,1,1,1,1,1,6,1,1,1,5,3,2,2,2,0.25
"FALL 2009",1149,10,6,2009,"CT",1,2,1,2,3,2,2,1,2,2,2,1,3,2,3,2,3,1,1,1,2,3,2,2,3,3,4,,2,2,2,2,1,3,2,3,1,1,1,1,1,2,2,3,3,2,3,2,1,2,,4,1,2,4,2,0.25
"FALL 2009",1155,10,7,2009,"NJ",1,3,2,,,,,,,,,,1,2,1,1,1,3,3,3,2,3,4,98,4,1,4,,2,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,1,2,6,2,0.25
"FALL 2009",1158,10,7,2009,"MN",3,3,2,,,,,,,,,,2,1,2,1,3,3,3,3,2,2,4,4,4,1,4,,4,4,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,1,2,,4,5,2,,2,0.25
"FALL 2009",1162,10,7,2009,"NJ",1,2,1,2,3,2,2,2,2,2,2,1,4,3,4,2,3,1,1,1,2,4,3,2,2,3,4,,1,3,3,3,1,4,3,4,3,4,3,3,3,2,3,4,3,3,4,2,1,3,,4,1,2,6,2,0.25
"FALL 2009",1165,10,7,2009,"PA",1,2,2,,,,,,,,,,1,1,2,1,3,2,2,2,2,98,98,3,98,3,3,,2,98,98,98,98,98,98,98,98,98,98,98,98,3,98,98,98,98,98,1,1,2,,4,1,2,6,2,0.25
"FALL 2009",1172,10,7,2009,"SC",2,2,1,2,3,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,1,3,4,4,,1,4,3,98,1,4,98,98,98,4,3,3,3,98,98,98,98,98,98,2,1,6,,5,5,2,5,2,0.25
"FALL 2009",1179,10,7,2009,"MA",1,2,1,2,3,1,1,1,1,1,1,1,3,4,4,4,4,2,2,2,1,2,1,2,1,1,1,3,2,3,2,2,2,2,3,3,3,3,3,3,3,1,2,3,2,2,3,3,1,7,,5,5,1,6,2,0.25
"FALL 2009",1185,10,7,2009,"TX",2,2,1,1,3,1,1,2,1,1,1,1,4,3,3,3,3,1,1,1,2,3,2,3,4,2,4,,2,4,3,4,98,4,4,4,98,4,3,98,4,2,2,3,4,4,4,2,1,1,2,4,5,2,6,2,0.25
"FALL 2009",1197,10,7,2009,"VA",2,2,2,,,,,,,,,,1,1,1,1,2,2,2,98,4,98,3,2,98,98,3,,1,98,98,2,2,2,98,98,3,98,3,3,1,98,3,4,4,3,4,2,1,1,1,4,1,4,4,2,0.25
"FALL 2009",1205,10,8,2009,"FL",2,2,1,2,3,1,2,2,1,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,2,3,4,1,7,,4,5,4,6,2,0.25
"FALL 2009",1214,10,8,2009,"MO",3,2,1,2,1,2,2,2,2,1,1,2,4,4,4,4,4,1,1,1,2,4,1,1,98,3,3,,1,98,3,2,1,3,3,2,1,4,3,3,3,2,2,3,3,2,4,3,1,2,,4,5,4,5,2,0.25
"FALL 2009",1227,10,8,2009,"CT",1,2,1,2,3,1,1,1,1,1,1,1,4,4,3,3,4,2,1,2,2,4,1,2,98,3,3,,2,3,1,2,1,3,3,2,2,2,2,1,1,2,3,4,2,2,3,3,1,2,,4,4,4,5,2,0.25
"FALL 2009",1230,10,8,2009,"IL",3,3,98,,,,,,,,,,3,3,3,3,3,98,98,98,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,2,2,2,2,2,2,2,1,3,,4,5,4,4,2,0.25
"FALL 2009",1234,10,8,2009,"CT",1,3,98,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,2,,4,1,4,6,2,0.25
"FALL 2009",1253,10,9,2009,"CT",1,2,1,2,3,2,3,2,2,3,3,2,4,3,3,3,3,1,2,2,3,98,2,3,3,2,4,,2,2,3,98,1,2,98,3,4,3,1,3,1,2,2,3,2,2,3,4,1,6,,4,5,4,6,2,0.25
"FALL 2009",1254,10,9,2009,"AZ",4,3,1,1,3,1,2,1,1,2,2,2,4,4,4,4,3,1,1,1,1,4,1,1,1,4,4,,1,2,4,3,1,2,3,3,4,3,3,3,3,2,1,2,1,1,2,2,1,6,,5,5,4,3,2,0.25
"FALL 2009",1256,10,9,2009,"NJ",1,2,1,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,98,3,3,2,2,3,4,,2,98,98,98,2,98,98,98,98,98,3,3,3,98,2,3,2,2,3,3,1,6,,4,5,4,4,2,0.25
"FALL 2009",1257,10,9,2009,"TX",2,2,98,,,,,,,,,,3,3,3,3,3,2,2,2,2,3,2,2,2,98,98,,2,2,98,2,2,3,3,1,3,4,2,3,3,2,2,3,2,2,3,4,1,1,2,5,5,4,5,2,0.25
"FALL 2009",1262,10,9,2009,"MD",2,2,1,2,1,1,1,1,1,1,1,1,98,98,98,98,4,1,1,1,98,98,98,98,98,98,4,,98,98,98,98,98,98,98,98,98,98,98,98,1,98,98,98,3,98,98,98,1,6,,4,1,4,5,2,0.25
"FALL 2009",1282,10,9,2009,"NC",2,2,98,,,,,,,,,,3,3,3,3,98,2,2,2,2,4,2,98,98,98,4,,2,98,98,98,2,98,3,98,98,98,3,3,3,98,98,3,98,98,3,2,1,6,,4,1,4,4,2,0.25
"FALL 2009",1287,10,9,2009,"TX",2,2,2,,,,,,,,,,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,,4,5,4,6,2,0.25
"FALL 2009",1288,10,9,2009,"VA",2,3,2,,,,,,,,,,2,2,2,2,1,3,3,3,3,1,3,2,3,2,98,,3,3,2,2,2,3,2,4,2,4,2,2,4,2,3,4,3,3,4,2,1,2,,4,2,4,6,2,0.25
"FALL 2009",1289,10,9,2009,"KY",2,2,2,,,,,,,,,,2,2,2,2,2,98,98,98,1,98,3,1,3,3,98,,3,1,4,4,1,4,3,3,3,3,3,3,3,98,98,98,1,98,98,1,1,2,,4,5,4,2,2,0.25
"FALL 2009",1303,10,10,2009,"PA",1,3,1,2,3,2,2,2,3,1,1,2,4,3,3,3,4,2,2,2,1,4,2,2,2,4,4,,2,2,1,2,1,3,3,2,98,4,3,3,1,98,3,4,3,3,4,2,1,6,,4,1,4,6,2,0.25
"FALL 2009",1326,10,10,2009,"TN",2,2,98,,,,,,,,,,2,2,2,2,3,1,2,2,2,3,2,2,2,3,3,,1,2,2,2,1,4,3,4,3,4,3,3,3,2,4,4,4,4,4,2,1,1,1,4,1,4,4,2,0.25
"FALL 2009",1336,10,11,2009,"PA",1,3,1,2,3,1,1,2,1,1,1,1,4,4,3,4,4,1,2,2,2,4,1,2,2,3,4,,1,1,1,2,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,6,1,6,,5,5,1,6,2,0.25
"FALL 2009",1339,10,11,2009,"WI",3,2,1,2,1,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,2,4,1,2,2,2,4,,1,2,1,2,1,4,3,3,3,4,3,3,3,1,1,4,4,1,4,3,1,6,,4,3,1,2,2,0.25
"FALL 2009",1340,10,11,2009,"PA",1,3,1,2,3,2,2,2,2,2,2,2,3,3,4,3,4,1,1,1,2,4,2,2,2,2,4,,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,3,4,1,6,,4,1,1,3,2,0.25
"FALL 2009",1344,10,11,2009,"MN",3,2,1,1,1,2,2,2,1,2,2,1,4,3,3,3,4,1,2,2,1,4,1,2,2,3,2,1,2,98,98,2,1,2,3,2,1,2,1,98,3,2,1,2,2,1,2,3,1,1,1,5,1,1,5,2,0.25
"FALL 2009",1356,10,11,2009,"IL",3,2,1,1,3,1,1,2,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,4,4,,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,2,1,1,2,5,1,6,,4,5,1,5,2,0.25
"FALL 2009",1362,10,11,2009,"OH",3,2,1,2,1,1,1,1,1,1,1,1,3,98,98,98,98,1,1,1,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,2,98,98,98,98,98,98,1,6,,5,5,1,,2,0.25
"FALL 2009",1364,10,11,2009,"NJ",1,2,1,2,1,1,1,2,1,1,1,1,3,3,4,3,3,1,1,1,1,4,1,1,2,3,4,,1,2,2,2,1,2,3,3,3,3,3,3,3,1,1,3,1,1,3,4,1,2,,4,5,1,6,2,0.25
"FALL 2009",1371,10,11,2009,"WA",4,2,1,3,3,2,2,2,1,2,2,2,2,1,98,2,3,1,1,1,1,4,1,1,98,3,4,,1,3,98,98,1,98,98,3,98,98,3,3,3,4,4,4,4,4,4,1,1,1,2,5,6,2,5,2,0.25
"FALL 2009",1372,10,12,2009,"PA",1,2,98,,,,,,,,,,2,2,98,1,2,2,2,2,2,98,98,98,4,1,98,,3,4,3,98,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,1,2,3,2,0.25
"FALL 2009",1389,10,12,2009,"TN",2,2,1,2,2,2,2,2,2,1,1,2,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,4,5,2,2,2,0.25
"FALL 2009",1413,10,13,2009,"AL",2,2,98,,,,,,,,,,2,2,3,2,3,1,2,2,2,2,2,2,3,3,3,,2,2,3,2,2,4,2,2,2,3,2,2,3,2,2,3,2,1,2,2,1,2,,5,1,2,2,2,0.25
"FALL 2009",1415,10,13,2009,"TX",2,3,1,2,3,3,3,3,2,2,4,3,98,2,3,2,4,98,98,98,1,4,3,1,98,98,98,,1,2,2,1,3,98,3,3,3,3,3,3,3,98,98,4,98,4,4,1,1,1,1,5,1,2,3,2,0.25
"FALL 2009",1420,10,13,2009,"WI",3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,98,4,1,1,98,98,4,,4,4,98,98,1,4,98,4,3,4,1,1,1,98,3,4,3,3,4,3,1,6,,5,1,1,4,2,0.25
"FALL 2009",1432,10,14,2009,"MN",3,2,98,,,,,,,,,,2,3,4,3,3,1,1,1,1,3,1,1,98,3,3,,98,3,2,2,2,2,3,3,3,3,3,3,3,98,1,1,98,2,3,2,1,6,,4,5,4,3,2,0.25
"FALL 2009",1433,10,14,2009,"MI",3,2,1,2,3,2,2,2,2,2,1,1,3,3,3,3,3,2,2,2,2,3,2,2,2,3,4,,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,2,3,4,1,7,,5,5,4,6,2,0.25
"FALL 2009",1447,10,15,2009,"IN",3,2,1,2,3,2,2,3,2,2,1,2,3,2,2,2,3,2,1,1,1,3,1,2,3,2,4,,2,4,3,2,2,4,2,98,3,98,98,3,1,2,3,3,4,3,4,98,1,6,,4,1,4,3,2,0.25
"FALL 2009",1465,10,15,2009,"OH",3,2,1,1,1,2,2,2,2,4,2,1,1,4,4,4,3,1,2,2,1,4,2,2,98,3,4,,2,2,98,98,2,2,3,3,3,3,3,3,3,2,2,3,1,2,3,4,1,6,,4,5,4,4,2,0.25
