"Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","govt_fed","govt_state","govt_local","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_rps_knowledge","state_cleancoal","state_vehicles_v1","state_hybrids","state_fftax","state_nuclear","state_captrade","state_rps_v1","state_sprawl","state_ee","state_gastax","state_vehicles_v2","state_ethanol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","GenWeight","RaceWeight","EdWeight","AgeWeight","Weight"
89,9,10,2008,,2,3,1,1,3,1,1,"OBSERVING AND LEARNING",2,1,3,3,2,1,4,2,1,,,4,4,4,4,4,1,1,1,4,1,1,2,4,4,,98,1,1,2,1,1,4,1,4,1,1,1,1,6,1,2,,4,1,1,6,2,0.07,0.06,0.13,0.12,0.38
90,9,10,2008,,1,1,1,1,3,1,1,"MEDIA AND EXPERIENCING HOTTER TEMPERATURES",6,2,2,3,2,2,3,2,2,,,4,4,4,3,3,1,2,2,4,1,1,2,3,2,3,98,2,2,3,3,3,1,1,3,2,2,2,3,5,1,6,,1,6,1,,1,0.58,0.06,1,0.45,2.085
91,9,10,2008,,2,3,1,1,1,1,1,"GLACIARS",1,1,4,4,2,2,3,3,3,,,4,4,4,4,4,2,2,2,4,1,2,1,2,4,,2,1,2,2,1,1,1,1,3,3,4,3,1,98,1,1,1,4,1,1,3,2,0.07,0.06,0.13,0.12,0.38
92,9,10,2008,,2,3,1,1,1,1,1,"SCIENTIFIC STUDIES",4,1,1,2,2,98,1,2,1,,,4,4,4,4,4,1,1,2,3,1,98,1,4,4,,98,2,2,2,4,3,98,1,3,1,4,1,98,4,1,2,,3,2,1,,2,0.07,0.06,0.3,0.12,0.55
93,9,10,2008,,1,3,1,1,2,98,2,"NEWS",6,3,3,1,3,4,3,3,3,,,4,1,1,1,1,3,3,3,4,4,1,98,1,1,98,98,1,1,3,4,1,3,1,4,4,4,4,4,5,1,1,1,5,4,2,,2,0.07,0.06,0.06,0.12,0.31
94,9,10,2008,,3,4,98,,,,,,,,,,,,,,,,,98,98,98,4,98,2,2,2,2,2,1,98,98,4,,98,2,2,2,4,2,98,3,3,1,4,3,3,2,1,1,2,5,2,1,,1,0.58,0.06,0.06,0.1,0.795
95,9,10,2008,,3,3,1,98,1,2,1,"NEWSPAPER ARTICLES",6,2,4,4,2,2,4,1,4,,,3,3,3,4,3,1,1,2,1,2,2,2,3,4,,2,1,1,1,3,3,2,1,2,2,3,2,2,3,1,7,,2,2,4,3,2,0.07,0.06,0.75,0.12,1
96,9,10,2008,,2,3,1,1,3,1,1,"LOSING LAND",10,1,1,2,3,1,2,1,1,,,2,3,98,98,3,2,2,2,1,1,98,2,2,3,,98,2,2,1,3,2,2,3,3,2,4,3,2,1,2,6,,4,1,1,2,2,0.07,1,0.13,0.12,1.32
97,9,10,2008,,3,3,1,1,1,1,1,"CHANGE IN WEATHER",3,2,2,98,1,98,4,98,98,,,1,1,4,4,4,3,2,3,1,2,2,98,2,2,1,98,3,3,3,2,3,2,2,2,2,2,2,2,1,2,1,2,1,1,3,1,2,0.07,1,1,0.12,2.19
98,9,10,2008,,1,3,1,2,2,2,98,"THE TEMPERATURES ARE  INCREASING AND DECREASING",3,98,2,4,1,4,4,4,2,,,2,2,2,2,3,98,98,98,3,2,2,98,2,2,3,98,2,2,2,3,3,3,2,4,3,4,3,98,1,1,1,1,3,1,1,,2,0.07,0.06,0.3,0.35,0.78
99,9,10,2008,,2,3,1,2,1,1,1,"THE CLIMATE",3,98,1,1,1,98,2,98,1,,,1,1,1,3,1,3,2,2,1,1,1,3,4,4,,2,1,1,1,3,1,1,1,1,3,4,1,1,98,9,2,,2,1,98,3,1,0.58,3.2,0.75,0.12,4.645
100,9,10,2008,,1,2,1,1,2,1,1,"WARMER WEATHER",2,1,1,1,2,4,1,1,1,,,4,4,4,4,1,2,2,3,4,4,2,3,3,1,3,98,,1,2,1,1,4,1,1,98,4,98,4,2,10,6,,4,5,4,1,1,0.58,0.25,0.13,0.35,1.305
101,9,10,2008,,2,4,98,,,,,,,,,,,,,,,,,98,3,4,98,2,1,2,3,3,4,4,2,1,4,,98,98,98,2,3,3,2,2,3,1,4,2,2,3,1,1,1,2,2,2,98,2,0.07,0.06,0.75,0.1,0.98
102,9,10,2008,,1,4,1,2,3,2,1,"ICE MELTLING",1,2,4,98,2,2,3,2,4,,,4,3,4,3,1,2,2,2,98,1,2,98,98,4,,98,1,1,98,4,1,2,98,98,1,4,98,4,1,1,2,,2,2,1,1,2,0.07,0.06,0.75,0.1,0.98
103,9,10,2008,,2,3,98,,,,,,,,,,,,,,,,,2,2,98,2,2,2,2,3,3,2,2,2,2,4,,2,1,3,2,3,1,4,2,98,2,4,3,2,3,1,1,1,4,6,4,6,2,0.07,0.06,0.13,0.12,0.38
104,9,10,2008,,2,5,1,1,2,2,98,"CHANGE IN SEASONS",3,2,1,2,2,4,2,3,98,,,2,3,2,2,3,98,98,98,3,3,98,2,98,2,2,98,98,2,3,4,98,98,2,98,2,4,98,3,1,2,6,,3,1,,2,2,0.07,1,0.3,0.25,1.62
105,9,10,2008,,2,3,1,2,3,2,1,"DATA",4,2,3,2,2,98,2,98,2,,,2,3,2,3,2,2,2,1,3,2,2,98,98,4,,,2,1,1,2,2,2,1,2,1,3,2,2,3,1,1,2,5,1,2,,2,0.07,0.06,0.06,0.12,0.31
106,9,10,2008,,1,2,1,1,3,1,1,"NO SNOW ANYMORE",2,1,1,98,1,98,1,98,1,,,4,4,4,3,4,1,1,1,4,1,1,1,4,4,,98,98,1,1,4,4,4,1,4,1,4,4,1,1,1,6,,2,1,1,,2,0.07,0.06,0.75,0.35,1.23
107,9,10,2008,,3,4,1,1,3,2,1,"HOTTER LONGER",2,1,1,1,2,,1,1,1,,,4,4,2,4,2,1,1,1,4,1,2,98,3,4,,98,1,1,1,4,1,4,1,1,1,4,4,1,1,1,2,,2,1,2,3,2,0.07,0.06,0.75,0.1,0.98
108,9,10,2008,,1,3,2,,,,,,,,,,,,,,,"IT IS ALL PROPAGANDA",9,1,2,1,1,2,3,3,3,3,4,4,4,4,4,,2,2,1,2,4,4,4,4,2,4,4,4,4,1,1,1,98,3,2,2,,1,0.58,0.06,0.3,0.35,1.285
109,9,10,2008,,3,3,1,1,3,1,1,"COMBINATION OF THINGS",10,1,98,4,2,4,2,1,3,,,2,4,4,4,4,2,2,2,3,4,2,2,3,4,,2,1,2,1,1,1,1,2,3,1,4,3,2,6,1,2,,1,2,1,6,1,0.58,0.06,1,0.12,1.755
110,9,10,2008,,2,3,1,2,1,1,1,"RESEARCH",4,1,2,2,2,2,1,2,1,,,3,3,3,3,3,2,2,2,3,2,2,98,3,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,6,1,6,,5,5,4,5,2,0.07,0.06,0.06,0.12,0.31
111,9,10,2008,,1,4,1,1,3,1,1,"SUMMERS HOTTER",2,1,4,1,1,1,1,1,1,,,2,1,4,3,4,2,2,2,1,1,2,1,98,4,,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,,3,1,1,4,2,0.07,0.06,0.3,0.1,0.53
112,9,10,2008,,3,4,1,2,3,1,1,"THE ICE MELTING",1,1,4,2,3,2,4,2,3,,,4,2,4,4,4,1,1,2,4,1,2,2,3,4,,1,98,4,2,3,1,4,1,4,2,4,2,2,4,1,1,2,5,1,1,,1,0.58,0.06,0.06,0.1,0.795
113,9,10,2008,,3,3,1,1,2,2,2,"RESEARCH",4,1,1,3,3,,2,2,3,,,2,2,4,3,1,2,2,2,2,98,1,2,2,4,,1,98,1,2,3,2,2,1,4,1,4,1,3,5,1,6,,3,1,2,98,1,0.58,0.06,0.3,0.12,1.055
114,9,10,2008,,1,4,1,2,3,1,1,"SEEING TEMPERATURES INCREASE",2,1,1,1,1,98,2,2,98,,,4,4,3,2,3,2,2,2,1,1,1,3,4,4,,98,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,,2,3,4,3,1,0.58,0.06,0.75,0.1,1.485
115,9,10,2008,,2,3,1,2,2,1,1,"OVER THE YEARS IT IS GETTING HOTTER",2,2,1,2,2,4,1,2,2,,,4,3,2,2,3,1,2,2,3,1,2,2,3,4,,98,2,2,2,4,2,2,1,2,2,4,2,2,2,1,1,2,3,1,4,4,2,0.07,0.06,0.3,0.12,0.55
116,9,10,2008,,1,3,1,1,3,1,1,"ICE CAPS",1,1,2,2,2,1,2,1,1,,,4,4,4,4,2,1,1,1,4,1,1,1,4,4,,98,1,1,1,98,98,4,1,1,1,4,98,98,5,1,6,,5,5,1,6,2,0.07,0.06,0.06,0.12,0.31
117,9,10,2008,,1,3,1,1,3,3,2,"TEMPERATURES",2,2,4,2,4,4,4,3,4,,,1,1,3,2,1,1,2,2,1,3,2,4,4,4,,2,1,1,2,1,1,1,2,2,1,1,1,2,6,1,1,2,5,1,2,6,1,0.58,0.06,0.06,0.12,0.815
118,9,10,2008,,1,5,2,,,,,,,,,,,,,,,"WINTERS ARE FREEZING",1,1,1,1,1,1,1,2,2,1,1,1,4,1,4,,2,3,1,1,4,4,4,1,1,1,4,1,1,3,1,2,,4,5,3,4,1,0.58,0.06,0.13,0.25,1.015
119,9,10,2008,,1,4,1,1,1,1,1,"AL GORES WORK",5,1,2,98,1,1,2,2,3,,,3,3,4,4,4,1,2,2,3,1,1,98,98,98,,98,98,1,2,2,3,2,1,3,1,3,2,1,4,1,2,,5,1,1,4,2,0.07,0.06,0.06,0.1,0.29
120,9,10,2008,,3,1,98,,,,,,,,,,,,,,,,,1,4,1,1,1,3,3,3,1,4,4,4,4,1,,98,4,4,4,4,4,4,4,4,4,4,4,4,1,1,6,,3,1,1,98,2,0.07,0.06,0.3,0.45,0.88
121,9,10,2008,,1,5,98,,,,,,,,,,,,,,,,,2,98,4,4,2,1,2,2,4,1,1,1,4,4,,98,1,1,1,4,1,98,1,1,1,4,1,1,4,1,1,1,3,5,2,2,2,0.07,0.06,0.3,0.25,0.68
122,9,10,2008,,2,3,1,2,2,2,2,"WHAT I READ AND HEAR",2,98,1,2,2,4,1,1,1,,,4,1,4,4,1,1,3,3,1,4,3,2,1,4,,2,1,1,1,4,1,1,1,4,1,4,4,1,1,1,6,,4,1,2,3,1,0.58,0.06,0.13,0.12,0.885
123,9,10,2008,,2,2,2,,,,,,,,,,,,,,,"TV PROGRAM",4,1,1,1,1,1,2,2,2,1,2,1,4,2,1,1,2,1,3,3,4,2,2,1,4,1,4,4,2,4,1,2,,3,1,2,4,2,0.07,0.06,0.3,0.45,0.88
124,9,10,2008,,3,1,1,1,3,1,1,"WEATHER",3,98,2,4,2,98,3,2,98,,,4,98,2,2,98,98,2,2,4,2,2,1,3,4,,98,1,3,2,2,1,2,1,4,1,3,2,1,3,1,1,98,3,1,1,98,2,0.07,0.06,0.3,0.45,0.88
125,9,10,2008,,2,2,2,,,,,,,,,,,,,,,"NOTHING SPECIFIC",8,1,1,1,1,1,2,2,2,1,1,2,4,1,2,3,2,1,1,1,1,2,1,1,1,1,4,1,1,6,1,6,,4,1,2,6,2,0.07,0.06,0.13,0.35,0.61
126,9,10,2008,,1,3,98,,,,,,,,,,,,,,,,,98,2,2,4,2,2,2,2,2,2,2,3,2,4,,98,2,2,2,4,3,2,2,2,2,4,2,3,98,1,1,2,2,2,,,2,0.07,0.06,0.75,0.12,1
127,9,10,2008,,3,3,1,1,98,2,98,"WINTERS ARE GETTING WARMER",2,1,1,1,1,98,1,1,1,,,1,4,3,3,3,2,2,2,3,3,1,3,4,4,,1,2,1,1,4,1,1,1,2,1,4,3,1,98,1,1,1,2,1,98,3,2,0.07,0.06,0.75,0.12,1
128,9,10,2008,,2,1,1,2,3,1,1,"MEDIA",6,2,2,3,2,3,2,3,2,,,4,4,4,2,4,1,2,2,4,1,2,2,2,4,,2,98,1,1,1,2,2,2,2,4,2,2,2,4,1,1,2,4,1,1,6,2,0.07,0.06,0.13,0.45,0.71
129,9,10,2008,,3,3,1,1,3,1,1,"LESS SNOW IN KANSAS",2,1,2,98,2,1,2,98,2,,,4,4,4,4,4,1,1,1,4,1,1,98,1,4,,2,1,1,4,4,98,98,1,98,1,4,1,1,3,1,1,2,3,1,1,6,2,0.07,0.06,0.3,0.12,0.55
130,9,11,2008,,1,4,2,,,,,,,,,,,,,,,"ITS A CYCLE",2,2,3,2,1,2,3,3,3,1,4,2,4,2,4,,98,4,4,4,4,4,2,3,3,4,4,3,3,3,1,2,,5,2,1,,1,0.58,0.06,0.06,0.1,0.795
131,9,11,2008,,1,3,1,2,3,1,98,"REPORTS AND POLLS",4,1,4,4,4,98,1,1,1,,,4,4,4,98,4,1,1,1,4,1,1,98,4,4,,2,1,1,1,4,4,4,1,4,1,4,1,1,5,1,1,2,4,1,4,2,2,0.07,0.06,0.13,0.12,0.38
132,9,11,2008,,3,4,98,,,,,,,,,,,,,,,,,3,98,3,1,1,2,2,2,2,2,2,3,2,1,3,98,2,1,2,98,4,,1,2,1,4,2,98,98,1,6,,3,1,2,3,2,0.07,0.06,0.3,0.1,0.53
133,9,11,2008,,2,2,98,,,,,,,,,,,,,,,,,4,4,98,4,4,1,1,1,4,2,2,2,3,2,3,2,1,1,1,4,2,1,2,3,1,4,1,1,5,1,2,,4,5,4,,2,0.07,0.06,0.13,0.35,0.61
134,9,11,2008,,1,2,1,1,1,1,1,"THE SEVERITY OF STORMS AND MELTING OF POLAR ICE CAPS",3,1,1,2,1,4,1,4,1,,,4,4,4,4,4,1,1,1,4,1,2,98,3,4,,98,1,1,1,1,2,4,1,1,1,1,1,1,4,1,1,2,3,5,2,3,2,0.07,0.06,0.3,0.35,0.78
135,9,11,2008,,3,3,2,,,,,,,,,,,,,,,"RESEARCH",5,1,1,98,1,1,2,2,2,1,4,1,3,98,98,,2,4,4,1,4,1,98,4,4,4,4,4,2,1,1,1,1,4,4,2,3,1,0.58,0.06,0.13,0.35,1.115
136,9,11,2008,,1,2,1,2,1,1,1,"WEATHER PATTERNS ARE CHANGING",3,1,1,2,1,1,1,1,1,,,4,4,4,4,3,1,1,2,4,1,1,1,3,4,,98,1,1,1,2,2,98,1,2,1,4,1,98,5,1,6,,5,5,4,6,2,0.07,0.06,0.06,0.35,0.54
137,9,11,2008,,3,2,1,2,2,2,1,"WEATHER CHANGES",3,1,2,2,2,98,3,2,2,,,1,2,2,3,2,1,1,1,1,2,1,2,1,2,1,98,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,,2,4,3,1,1,0.58,0.06,0.75,0.35,1.735
138,9,11,2008,,2,3,1,1,3,2,1,"TEMPERATURES ARE INCREASING IN WINTER",3,1,1,2,1,4,1,2,2,,,98,3,3,3,2,1,2,2,3,2,98,1,3,4,,98,1,2,2,4,3,3,2,2,2,4,2,2,98,1,1,98,3,2,,,2,0.07,0.06,0.3,0.12,0.55
139,9,11,2008,,2,4,1,1,1,1,1,"WHAT SHE HAS READ",6,1,3,1,1,1,4,1,1,,,4,4,4,4,4,3,3,2,4,1,1,1,4,4,,2,1,1,4,2,1,98,1,4,1,4,1,1,4,1,6,,4,2,1,2,2,0.07,0.06,0.13,0.1,0.36
140,9,11,2008,,2,3,98,,,,,,,,,,,,,,,,,2,2,3,2,1,3,3,3,1,4,3,3,2,2,2,98,1,3,3,4,1,4,4,3,3,4,3,2,6,1,1,1,5,1,2,4,1,0.58,0.06,0.06,0.35,1.045
141,9,11,2008,,1,3,1,1,3,1,1,"GREENHOUSE GAS",10,1,1,2,1,1,1,1,1,,,4,4,4,3,3,2,2,3,98,1,1,1,1,4,,98,3,3,1,2,3,2,1,2,1,2,1,3,3,1,6,,3,,,,1,0.58,0.06,0.3,0.12,1.055
142,9,11,2008,,2,4,1,1,3,1,1,"THE WEATHER",3,98,1,1,1,1,4,1,1,,,4,4,4,98,4,1,1,1,4,1,1,1,1,4,,98,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,,5,1,4,1,2,0.07,0.06,0.06,0.1,0.29
143,9,11,2008,,1,3,1,1,2,1,2,"WINTERS APPEAR TO BE WARMER",2,2,1,4,1,2,1,4,1,,,4,4,4,3,3,1,1,2,4,1,1,1,4,4,,98,1,1,1,4,4,4,1,4,1,4,1,1,2,1,2,,3,1,4,4,2,0.07,0.06,0.3,0.12,0.55
144,9,11,2008,,1,4,1,2,3,2,2,"WEATHER PATTERNS",3,2,3,3,98,98,2,2,2,,,98,3,3,1,98,2,2,2,3,3,1,1,4,4,,1,1,4,1,4,1,4,1,4,1,4,1,4,3,1,1,2,4,1,1,3,1,0.58,0.06,0.13,0.1,0.865
145,9,11,2008,,1,2,1,1,1,1,1,"THE AL GORE MOVIE",5,2,1,2,2,1,1,2,1,,,1,3,4,4,3,2,2,2,1,1,1,2,2,3,,1,1,1,2,1,2,4,1,2,2,3,3,3,98,2,6,,4,1,1,2,2,0.07,1,0.13,0.35,1.55
146,9,11,2008,,1,3,98,,,,,,,,,,,,,,,,,1,1,3,1,1,2,3,3,4,4,2,4,4,4,,98,2,4,4,4,1,2,4,4,4,4,4,4,2,1,6,,2,3,,98,1,0.58,0.06,0.75,0.35,1.735
147,9,11,2008,,2,4,1,1,1,1,1,"SCIENCE ARTICLES",4,1,2,2,3,4,1,1,3,,,4,4,4,4,4,1,1,2,4,1,1,1,98,2,1,2,1,2,1,4,4,98,1,2,1,2,1,4,98,1,6,,5,2,1,6,1,0.58,0.06,0.06,0.1,0.795
148,9,11,2008,,1,3,2,,,,,,,,,,,,,,,"IT IS TOO COLD",1,1,98,3,2,2,1,2,2,2,2,2,2,3,3,,98,2,1,1,4,2,98,1,2,2,4,2,1,3,1,1,1,5,5,4,,2,0.07,0.06,0.06,0.12,0.31
149,9,11,2008,,1,4,2,,,,,,,,,,,,,,,"NO CHANGE",9,1,1,1,1,1,3,3,3,1,4,1,4,98,4,,2,98,2,3,4,2,98,1,3,2,4,4,4,1,1,1,2,2,3,2,98,2,0.07,0.06,0.75,0.1,0.98
150,9,11,2008,,1,3,1,1,2,2,1,"WEATHER",3,1,2,4,2,4,2,4,2,,,4,4,4,4,4,2,2,2,4,1,1,1,1,4,,2,2,1,1,1,4,1,1,1,1,4,1,1,3,1,2,,3,2,2,5,2,0.07,0.06,0.3,0.35,0.78
151,9,11,2008,,2,5,2,,,,,,,,,,,,,,,"A METEOROLOGIST THAT SAYS THEY ARE NOT INCREA",9,1,1,2,1,1,1,2,2,4,2,1,4,4,4,,98,2,4,1,4,1,1,1,98,1,4,2,98,1,,6,,2,5,2,,2,0.07,0.25,0.75,0.25,1.32
152,9,11,2008,,3,3,1,1,1,1,1,"THE WEATHER AROUND THE WORLD",3,1,1,1,1,1,1,1,1,,,4,4,4,4,4,1,1,1,4,1,1,1,4,4,,98,1,1,2,2,98,4,1,4,1,4,1,1,5,1,1,2,4,5,1,,2,0.07,0.06,0.13,0.12,0.38
153,9,11,2008,,2,2,2,,,,,,,,,,,,,,,"NO CLUE",8,1,1,1,1,1,3,3,3,4,4,1,4,4,4,,2,1,1,4,4,1,1,1,4,1,4,1,4,1,1,6,,2,4,4,4,2,0.07,0.06,0.75,0.45,1.33
154,9,11,2008,,2,3,1,1,1,1,1,"MELTING GLACIERS",1,1,1,2,1,2,2,1,1,,,4,4,4,4,4,1,1,1,4,1,1,1,4,1,1,2,1,1,2,4,2,2,1,1,1,4,1,1,2,2,1,2,3,1,1,1,2,0.07,1,0.3,0.12,1.49
155,9,11,2008,,3,4,1,2,3,3,2,"EVERYTHING",10,2,3,3,2,98,4,98,3,,,2,2,3,98,1,2,2,2,1,1,2,98,2,4,,98,2,1,3,4,1,1,98,2,2,4,98,4,2,1,98,,4,1,,,2,0.07,0.06,0.13,0.1,0.36
156,9,11,2008,,2,2,98,,,,,,,,,,,,,,,,,1,4,1,1,4,1,1,1,4,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,,4,1,4,6,2,0.07,0.06,0.13,0.35,0.61
157,9,11,2008,,2,1,98,,,,,,,,,,,,,,,,,1,1,98,1,1,2,2,2,1,4,4,4,1,1,1,98,1,4,1,4,1,1,1,4,1,4,1,1,1,1,1,1,2,1,,,2,0.07,0.06,0.75,0.45,1.33
158,9,11,2008,,3,4,2,,,,,,,,,,,,,,,"ITS THE NATURAL TREND OF THINGS",2,1,2,1,1,1,3,3,3,3,4,1,4,2,4,,2,2,1,1,4,4,2,1,2,4,4,1,3,1,1,1,1,1,1,2,,2,0.07,0.06,1,0.1,1.23
159,9,11,2008,,3,3,1,2,3,2,98,"CHANGE IN WEATHER PATTERNS",3,1,1,4,1,4,1,4,1,,,4,3,98,4,2,1,1,1,3,2,2,2,2,2,1,2,1,2,98,2,2,2,2,2,1,4,2,2,4,1,98,,4,1,4,,2,0.07,0.06,0.13,0.12,0.38
160,9,11,2008,,1,1,1,1,3,1,1,"SCIENTIFIC PROOF",4,1,3,1,3,2,2,1,1,,,4,4,4,4,4,1,1,2,4,1,1,98,4,4,,98,1,1,1,1,1,98,1,1,1,2,1,3,98,1,3,,4,1,4,,1,0.58,0.06,0.13,0.45,1.215
161,9,11,2008,,1,3,1,3,2,3,2,"WEATHER",3,2,3,3,3,2,4,3,4,,,1,1,98,1,1,2,2,3,2,4,4,4,2,4,,98,2,4,3,4,1,1,1,4,4,4,4,1,1,1,1,98,5,3,4,6,2,0.07,0.06,0.06,0.35,0.54
162,9,11,2008,,1,3,1,2,3,1,1,"AL GORES FILM",5,1,2,1,2,1,2,2,1,,,4,4,3,3,3,1,2,2,4,2,2,2,3,4,,98,98,2,2,4,3,2,1,98,2,4,2,2,98,1,6,,5,4,1,2,2,0.07,0.06,0.06,0.12,0.31
163,9,12,2008,,1,4,1,1,1,2,1,"GETTING WARMER",2,1,1,98,4,98,2,98,1,,,4,4,4,2,2,1,2,2,3,4,1,1,98,4,,2,1,1,4,4,1,4,1,4,1,4,1,1,98,1,1,1,2,1,2,3,1,0.58,0.06,0.75,0.1,1.485
164,9,12,2008,,3,3,2,,,,,,,,,,,,,,,"SEE NO EVIDENCE THERE OF",3,1,1,98,2,1,2,2,2,3,3,1,4,2,1,3,98,1,98,2,1,1,98,3,1,4,4,4,1,1,1,1,1,5,1,2,4,2,0.07,0.06,0.06,0.12,0.31
165,9,12,2008,,3,4,1,1,3,1,98,"TOO MANY AUTO EMMISIONS",8,1,2,4,1,2,1,98,1,,,1,2,4,2,4,2,2,2,1,4,1,,2,,,2,1,1,1,4,1,4,1,1,1,4,2,1,3,1,2,,2,1,4,2,1,0.58,0.06,0.75,0.1,1.485
166,9,12,2008,,3,4,98,,,,,,,,,,,,,,,,,4,4,4,4,4,3,2,2,3,3,2,2,4,4,,1,1,1,1,1,1,2,1,2,1,3,1,1,98,1,1,1,3,1,2,3,2,0.07,0.06,0.3,0.1,0.53
167,9,12,2008,,1,1,2,,,,,,,,,,,,,,,"FROM WHAT I HAVE HEARD",9,1,1,4,4,1,1,3,3,98,3,4,4,4,2,2,98,98,4,4,4,1,4,1,4,4,4,4,1,1,,3,,3,2,2,1,1,0.58,0.25,0.3,0.45,1.575
168,9,12,2008,,2,2,2,,,,,,,,,,,,,,,"NOTHING SPECIFIC",8,2,1,1,1,1,2,2,1,98,98,2,3,98,2,3,2,2,2,98,3,1,2,3,3,2,3,3,3,3,,,,4,3,,4,2,0.07,0.25,0.13,0.45,0.9
169,9,12,2008,,2,3,1,1,3,2,1,"THE MELTING ICE",1,1,1,2,1,2,1,1,1,,,3,3,3,3,3,1,1,2,3,2,2,2,2,3,,2,2,98,3,2,2,2,2,2,2,3,3,2,3,1,6,,5,1,,6,2,0.07,0.06,0.06,0.35,0.54
170,9,12,2008,,1,5,2,,,,,,,,,,,,,,,"NOTHING SPECIFIC",8,98,4,4,3,4,1,1,1,1,1,2,3,2,4,,98,1,4,1,4,98,2,1,1,1,4,3,98,1,,,,3,1,,,2,0.07,0.25,0.3,0.25,0.87
171,9,12,2008,,2,2,1,1,1,1,1,"WEATHER PATTERN WE ARE SEEING RIGHT NOW",3,1,2,1,2,4,2,2,2,,,4,4,4,4,4,1,2,2,4,4,1,1,4,4,,2,1,1,1,2,3,2,1,2,1,3,2,1,6,1,2,,4,5,1,,2,0.07,0.06,0.13,0.35,0.61
172,9,12,2008,,1,3,1,2,1,2,1,"NEWS",6,2,2,2,4,2,4,4,4,,,1,2,3,2,3,1,1,1,4,2,4,2,3,4,,2,2,2,2,3,1,3,1,3,2,4,2,2,5,1,6,,4,2,4,5,1,0.58,0.06,0.13,0.12,0.885
173,9,12,2008,,3,2,98,,,,,,,,,,,,,,,,,2,2,3,2,2,2,2,2,3,3,3,1,1,98,,98,1,2,1,4,1,4,3,4,4,4,4,4,98,1,2,,4,1,4,,2,0.07,0.06,0.13,0.35,0.61
174,9,12,2008,,3,4,1,2,2,2,98,"GLACIERS MELTING",1,1,2,2,4,98,2,4,2,,,3,2,2,2,98,2,2,2,2,2,2,2,2,4,,1,1,1,2,2,2,2,2,2,1,4,2,2,98,1,3,,4,2,1,,2,0.07,0.06,0.13,0.1,0.36
175,9,12,2008,,2,3,1,1,1,1,1,"SCIENTIFIC INFORMATION",4,1,2,1,1,1,2,1,1,,,4,4,4,4,4,1,1,1,4,1,98,1,4,4,,2,1,1,1,2,4,4,1,1,1,2,1,1,1,1,2,,5,1,1,6,2,0.07,0.06,0.06,0.12,0.31
176,9,12,2008,,2,5,98,,,,,,,,,,,,,,,,,2,98,3,3,2,2,2,2,3,2,98,98,98,3,,98,98,98,98,98,4,2,2,3,2,3,3,98,3,1,1,98,2,2,98,2,2,0.07,0.06,0.75,0.25,1.13
177,9,12,2008,,2,2,1,2,3,2,1,"WEATHER PATTERNS",3,2,1,2,2,4,3,3,2,,,3,1,3,2,1,1,1,1,4,1,2,2,2,4,,2,1,1,1,4,2,2,1,1,1,4,1,2,3,1,1,1,3,1,2,3,2,0.07,0.06,0.3,0.35,0.78
178,9,12,2008,,1,4,1,2,3,1,1,"EXPERTS SHE HAS HEARD FROM SHE TRUSTS THE SCIENTISTS",10,1,3,4,98,1,4,1,4,,,4,4,4,3,4,1,1,1,4,1,1,1,3,98,,2,1,1,1,4,98,98,1,4,98,4,1,98,98,1,3,,4,1,1,6,2,0.07,0.06,0.13,0.1,0.36
179,9,12,2008,,2,1,1,2,98,1,1,"NEWS",6,1,1,4,1,1,4,1,1,,,4,4,4,4,1,2,2,2,2,1,1,1,4,4,,2,1,1,1,4,1,1,1,1,1,4,1,1,5,1,1,1,3,5,3,5,2,0.07,0.06,0.3,0.45,0.88
180,9,12,2008,,1,3,1,1,1,1,1,"READING MATERIAL AND THE GORE DOCUMENTARY",6,1,1,2,1,1,1,1,1,,,4,4,4,2,4,1,1,2,1,1,1,1,1,4,,2,2,1,3,3,3,2,1,1,1,4,1,4,4,1,6,,5,1,1,6,2,0.07,0.06,0.06,0.12,0.31
181,9,12,2008,,2,2,1,1,1,1,1,"WEATHER",3,1,1,1,1,4,3,1,1,,,1,3,3,3,3,1,1,1,4,1,1,1,3,4,,98,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,98,3,1,2,3,2,0.07,0.06,0.3,0.35,0.78
