"RespNum","Sample","Call_Date_Time","version_willing2pay","demog_age_open_coded","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_mediaoverstate","state_neighborsact","govt_nostateaction","state_impactsfelt","religion_govtaction","state_fftax","state_captrade","state_rps_v1","state_gastax","captrade_support_calif","enrgysecfund_support","industrial_caa_action","willing2pay_list","willing2pay_open","willing2pay_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","totalweight"
97,"l","4/1/2013 8:29:35 P","B",3,"PENNSYLVANIA","1",98,,,,,"",,,,,,,,,,,,,,,,98,2,2,3,3,2,98,4,98,2,4,98,98,98,,"$0",1,1,1,2,3,5,3,3,2,1,0.84
98,"l","4/1/2013 8:29:43 P","B",3,"NORTH CAROLINA","2",98,,,,,"",,,,,,,,,,,,,,,,2,2,1,3,3,3,4,4,2,3,4,4,2,98,,"$0",1,1,1,1,3,5,2,1,6,1,0.84
99,"l","4/1/2013 8:30:18 P","B",4,"ALABAMA","2",98,,,,,"",,,,,,,,,,,,,,,,2,3,3,98,3,2,1,98,98,2,4,4,98,98,,"$0",1,1,1,98,2,1,1,98,,2,0.725
100,"l","4/1/2013 8:31:19 P","B",2,"FLORIDA","2",1,2,1,2,1,"WEATHER CHANGES",3,2,2,4,4,4,98,2,2,,,,,,,3,4,4,4,4,1,4,4,4,1,4,2,98,1,,"REFUSED",,1,1,1,3,5,4,1,,1,1.18
101,"l","4/1/2013 8:32:11 P","B",4,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,1,"WEATHER PATTERNS",2,2,4,4,2,98,98,2,4,98,4,4,4,2,4,4,2,1,,"$0",1,9,2,,2,1,1,1,1,2,1.22
102,"l","4/1/2013 8:33:51 P","B",3,"TENNESSEE","2",1,2,1,1,1,"MELTING ICE CAPS",1,1,3,2,3,3,2,3,3,,,,,,,4,4,3,3,1,2,98,2,2,1,3,2,2,1,,"$50",2,1,1,2,4,5,1,4,6,1,0.84
103,"l","4/1/2013 8:34:25 P","B",2,"MARYLAND","2",1,1,3,3,2,"RISING TIDES WEARING BEACHES",11,2,2,3,2,2,2,2,2,,,,,,,3,2,2,3,3,2,3,4,2,2,4,2,2,1,,"$50",2,1,1,2,4,2,2,2,4,2,1.18
104,"l","4/1/2013 8:35:20 P","B",1,"CALIFORNIA","4",1,1,3,1,1,"SCIENTIFIC RESEARCH",4,2,3,1,3,3,2,2,3,,,,,,,4,4,4,4,1,1,4,1,1,1,3,1,1,1,,"$75",3,1,6,,4,1,1,4,3,1,1.555
105,"l","4/1/2013 8:36:37 P","B",4,"PENNSYLVANIA","1",2,,,,,"",,,,,,,,,,1,"NOT WARM",1,1,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,1,,"$0",1,1,,,3,2,2,3,,2,0.725
106,"l","4/1/2013 8:39:11 P","B",4,"PENNSYLVANIA","1",1,1,1,1,1,"WARMER SUMMERS AND WARMER WINTERS",2,1,1,3,1,1,1,1,1,,,,,,,4,4,4,4,1,1,4,2,1,1,3,1,1,1,,"$20",2,1,1,2,2,1,1,3,2,2,0.725
107,"l","4/1/2013 8:40:40 P","B",3,"OREGON","4",2,,,,,"",,,,,,,,,,2,"GOD HANDLES THE WEATHER",6,4,4,4,1,1,1,4,4,4,1,4,4,4,4,4,4,2,,"$0",1,1,1,1,3,1,2,1,,2,0.84
108,"l","4/1/2013 8:42:15 P","B",3,"WYOMING","4",2,,,,,"",,,,,,,,,,2,"CYCLES",2,4,98,4,2,1,2,4,4,4,4,4,4,4,4,4,4,2,,"$0",1,10,1,1,5,1,2,3,2,1,0.91
109,"l","4/1/2013 8:43:01 P","B",3,"TEXAS","2",1,1,3,1,1,"EXTREME WEATHER",3,1,1,98,1,1,2,1,1,,,,,,,4,4,4,4,1,1,4,2,3,2,98,2,1,1,,"$4",2,2,1,2,3,1,1,3,3,2,1.35
110,"l","4/1/2013 8:43:45 P","B",3,"ILLINOIS","3",1,2,3,2,2,"SEVERE WEATHER WITH LOTS OF HEAT LIGHTNING",3,2,2,3,2,2,2,2,1,,,,,,,2,2,2,2,2,2,98,4,2,2,4,2,2,1,,"$125",4,1,1,1,3,2,2,2,4,1,0.84
111,"l","4/1/2013 8:49:14 P","B",4,"MARYLAND","2",1,2,1,2,1,"READING ABOUT IT",6,1,3,98,4,2,4,2,4,,,,,,,4,3,3,4,4,2,4,2,2,2,3,2,4,1,,"DO NOT K",98,1,1,2,4,2,1,5,,1,0.725
112,"l","4/1/2013 8:52:55 P","B",4,"MINNESOTA","3",2,,,,,"",,,,,,,,,,2,"THIS PAST WINTER WAS VERY COLD",1,2,3,98,1,1,1,2,4,4,1,4,4,98,4,4,4,2,,"$0",1,1,2,,1,4,3,1,1,2,0.725
113,"l","4/1/2013 8:55:11 P","B",4,"VIRGINIA","2",2,,,,,"",,,,,,,,,,1,"IT IS ALL IN GODS HANDS",6,1,1,1,1,1,1,1,4,4,1,4,4,4,4,4,4,2,,"$0",1,1,1,1,4,1,2,1,,2,0.725
114,"l","4/1/2013 9:00:56 P","B",4,"LOUISIANA","2",1,2,3,1,1,"COMBINATION OF NATURAL THINGS THAT HAPPEN AND FOSSIL FUELS",9,1,1,2,4,4,1,1,2,,,,,,,3,4,3,4,2,3,4,2,1,1,98,98,1,1,,"DO NOT K",98,1,6,,3,2,2,2,,2,0.725
115,"l","4/1/2013 9:01:29 P","B",4,"FLORIDA","2",1,1,3,2,1,"NOT SURE",10,1,2,1,1,1,98,1,1,,,,,,,4,4,1,4,1,3,3,3,4,2,3,3,4,1,,"$10",2,1,3,,5,1,1,3,,2,0.725
116,"l","4/1/2013 9:06:45 P","A",3,"COLORADO","4",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,98,3,2,2,4,98,2,3,98,98,98,1,,,1,2,,2,1,,,,2,0.85
117,"l","4/1/2013 9:09:45 P","A",2,"TEXAS","2",1,2,1,1,1,"TOO MANY BUSINESSES EMITTING WASTE IN THE AIR",8,2,2,2,2,2,2,2,2,,,,,,,3,3,3,3,3,2,3,4,2,2,2,2,2,1,3,,,1,2,,2,2,1,4,2,2,1.18
118,"l","4/1/2013 9:12:33 P","A",4,"OKLAHOMA","2",1,1,3,1,1,"ICE MELTING IN ALASKA",1,1,3,2,3,3,2,3,3,,,,,,,3,3,3,3,2,2,3,2,2,1,2,2,2,1,2,,,10,2,,4,2,4,3,,1,0.795
119,"l","4/1/2013 9:13:05 P","A",3,"CALIFORNIA","4",1,1,3,1,1,"RECEDING SHORES AND SEA LIFE DYING",11,2,3,3,2,3,2,1,2,,,,,,,4,4,4,4,1,1,4,2,1,1,3,1,1,1,2,,,1,7,,4,5,4,5,3,2,0.85
120,"l","4/1/2013 9:13:43 P","A",4,"ARKANSAS","2",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,2,2,3,98,4,3,2,4,98,98,98,2,,,1,1,2,4,2,2,2,3,1,0.725
121,"l","4/1/2013 9:22:59 P","A",4,"ALABAMA","2",2,,,,,"",,,,,,,,,,1,"THE LORD CONTROLS EVERYTHING",6,1,1,1,1,1,1,4,4,4,1,4,4,4,4,4,4,2,1,,,1,1,1,5,1,2,1,98,1,0.725
122,"l","4/1/2013 9:23:15 P","A",3,"WASHINGTON","4",2,,,,,"",,,,,,,,,,2,"MEDIA AND GOVERNMENT HYPE",4,1,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,3,1,,,1,6,,2,1,4,2,3,2,0.84
123,"l","4/1/2013 9:23:46 P","A",4,"OKLAHOMA","2",1,2,3,2,1,"POLLUTION",8,1,2,2,2,2,2,2,2,,,,,,,3,3,3,3,2,2,4,4,2,2,4,2,2,1,3,,,1,1,2,2,1,2,2,2,2,0.725
124,"l","4/1/2013 9:27:18 P","A",4,"OKLAHOMA","2",1,1,1,1,1,"WARM WINTERS",2,2,1,2,3,1,2,3,3,,,,,,,4,4,4,1,1,1,4,1,1,1,2,1,1,1,2,,,1,2,,4,1,1,5,,1,0.725
125,"l","4/1/2013 9:27:21 P","A",4,"MISSOURI","3",98,,,,,"",,,,,,,,,,,,,,,,2,2,98,2,98,1,4,2,4,2,2,3,2,3,1,,,1,1,1,5,4,4,2,1,2,0.725
126,"l","4/1/2013 9:27:35 P","A",4,"LOUISIANA","2",2,,,,,"",,,,,,,,,,1,"BIBLE",6,1,4,4,1,1,1,1,4,4,1,4,4,4,4,4,4,1,1,,,2,1,1,1,1,1,1,1,2,1.22
127,"l","4/1/2013 9:30:43 P","A",2,"CALIFORNIA","4",1,1,3,1,1,"HIGHER TIDES, MORE RAIN AND MORE MUD SLIDES",11,2,2,2,2,1,2,2,2,,,,,,,3,3,3,3,3,1,4,4,1,1,4,1,1,1,4,,,5,6,,5,5,4,4,6,1,1.25
128,"l","4/1/2013 9:31:05 P","A",3,"HAWAII","4",2,,,,,"",,,,,,,,,,1,"NO SCIENTIFIC EVIDENCE",3,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,2,1,,,10,2,,4,5,2,1,5,2,0.91
129,"l","4/1/2013 9:32:39 P","A",3,"ALABAMA","2",1,1,3,2,2,"SELF STUDIES",2,1,1,1,98,2,98,1,2,,,,,,,2,4,4,4,2,98,4,4,1,4,4,2,2,1,4,,,1,1,2,4,1,2,3,3,2,0.85
130,"l","4/1/2013 9:36:56 P","A",2,"ALABAMA","2",2,,,,,"",,,,,,,,,,1,"CLIMATE GOES IN CYCLES",2,2,2,2,2,1,1,4,2,4,4,4,3,1,4,3,3,2,1,,,1,1,1,5,5,2,1,5,1,1.18
131,"l","4/1/2013 9:37:00 P","A",3,"NEVADA","4",1,2,1,2,2,"POLLUTION",8,3,2,3,2,3,3,2,2,,,,,,,2,2,2,2,3,2,4,4,2,2,4,2,2,1,4,,,10,6,,3,5,3,3,3,1,0.91
132,"l","4/1/2013 9:38:21 P","A",2,"IOWA","3",1,1,3,1,1,"RESEARCH",4,1,2,2,3,3,2,2,2,,,,,,,4,4,4,4,1,1,4,1,1,1,1,1,98,1,4,,,1,7,,5,1,4,4,,2,1.18
133,"l","4/1/2013 9:41:06 P","A",3,"CALIFORNIA","4",1,1,1,1,1,"LIFE IN GENERAL",10,1,1,2,3,2,1,3,3,,,,,,,4,4,4,3,1,1,4,98,2,1,98,2,2,1,4,,,1,2,,3,1,1,3,1,2,0.85
134,"l","4/1/2013 9:41:25 P","A",3,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,1,"ONE YEAR TEMPERATURES ARE ONE WAY ANOTHER YEAR THE O",2,1,4,4,1,1,1,1,4,4,4,4,2,2,4,2,3,1,1,,,1,1,2,2,1,1,2,1,2,0.85
135,"l","4/1/2013 9:43:49 P","A",3,"IDAHO","4",1,1,1,1,1,"NEWS",6,1,2,2,1,1,1,2,2,,,,,,,4,2,4,3,1,4,4,4,2,1,4,4,4,1,2,,,1,6,,5,5,2,4,2,2,0.85
136,"l","4/1/2013 9:45:37 P","A",4,"ILLINOIS","3",98,,,,,"",,,,,,,,,,,,,,,,2,98,98,2,4,3,4,4,2,2,4,2,2,1,1,,,1,1,2,2,1,4,2,2,1,0.725
137,"l","4/1/2013 9:46:38 P","A",2,"CALIFORNIA","4",1,1,1,1,1,"POLLUTION AND TRAFFIC",8,2,3,3,3,4,2,3,3,,,,,,,4,4,4,3,1,2,4,2,2,1,2,2,2,1,3,,,9,2,,4,1,1,3,,2,1.7
138,"l","4/1/2013 9:49:11 P","A",1,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,2,"SCIENTIFIC FACTS",5,1,1,4,2,98,2,3,4,4,4,4,4,2,4,2,2,1,2,,,1,6,,4,5,4,5,3,2,1.555
139,"l","4/1/2013 9:54:28 P","A",4,"CALIFORNIA","4",1,1,1,1,1,"GOING IN AND OUT OF ATMOSPHERE TOO MUCH",10,2,2,2,2,2,2,2,2,,,,,,,4,3,3,4,2,2,1,3,3,1,3,2,2,1,1,,,1,1,1,3,2,2,3,,2,0.725
140,"l","4/2/2013 8:04:06 P","A",3,"NEW YORK","1",1,1,3,1,1,"WEATHER",3,2,2,2,3,2,2,3,3,,,,,,,4,4,4,3,1,2,3,1,1,1,2,2,2,1,4,,,1,2,,4,1,1,3,,1,0.84
141,"l","4/2/2013 8:04:16 P","A",3,"CONNECTICUT","1",2,,,,,"",,,,,,,,,,1,"WORST WINTER IN YEARS",1,1,4,4,98,3,2,1,4,98,4,4,2,1,4,2,2,1,1,,,1,1,2,4,1,1,3,3,1,0.84
142,"l","4/2/2013 8:06:02 P","A",3,"MAINE","1",2,,,,,"",,,,,,,,,,2,"COLDER WINTERS AND HIGER SNOW FALLS",1,1,4,2,2,2,2,3,3,3,4,4,2,2,4,98,98,98,1,,,1,1,2,4,2,2,2,4,2,0.85
143,"l","4/2/2013 8:08:31 P","A",3,"FLORIDA","2",2,,,,,"",,,,,,,,,,1,"NOT ENOUGH EVIDENCE",3,4,2,2,1,1,1,4,4,3,3,4,4,4,4,4,4,2,1,,,2,1,2,2,5,4,3,,2,1.335
144,"l","4/2/2013 8:08:53 P","A",2,"ILLINOIS","3",1,1,3,2,98,"MEASURED THAT WAY",4,2,2,4,4,4,2,4,4,,,,,,,4,4,4,3,2,3,4,2,1,2,2,2,2,1,4,,,1,7,,4,5,1,5,6,1,1.18
145,"l","4/2/2013 8:10:59 P","A",1,"MISSOURI","3",1,3,98,1,1,"DO NOT KNOW",10,2,3,3,2,2,2,2,2,,,,,,,4,3,2,4,2,2,3,4,3,2,4,2,2,1,2,,,1,6,,2,1,,3,,2,1.555
146,"l","4/2/2013 8:12:36 P","A",3,"NEW YORK","1",1,1,1,1,98,"WE HAD NO SNOW THIS PAST WINTER",3,1,1,3,4,1,3,3,3,,,,,,,4,4,4,4,1,1,4,4,1,1,4,1,1,1,1,,,1,3,,3,1,4,3,1,1,0.84
147,"l","4/2/2013 8:13:14 P","A",2,"CALIFORNIA","4",1,1,3,1,1,"HIGHER TIDES AND MORE BEACH EROSION",11,2,1,2,2,3,2,2,2,,,,,,,3,3,3,3,3,2,98,4,1,1,4,1,1,1,4,,,1,6,,5,5,4,5,6,2,1.18
148,"l","4/2/2013 8:14:14 P","A",2,"MICHIGAN","3",2,,,,,"",,,,,,,,,,1,"STILL 15 DEGREES",1,1,1,1,1,1,1,4,1,4,4,4,1,1,4,3,2,1,2,,,1,1,98,4,3,4,4,6,1,1.18
149,"l","4/2/2013 8:14:28 P","A",4,"KANSAS","3",1,1,2,1,1,"POLLUTION",8,1,1,98,1,2,2,1,1,,,,,,,4,4,1,1,1,1,4,1,1,1,4,98,1,1,3,,,1,6,,3,1,2,2,2,1,0.725
150,"l","4/2/2013 8:16:01 P","A",4,"ARKANSAS","2",98,,,,,"",,,,,,,,,,,,,,,,98,98,98,98,98,98,98,3,98,3,4,98,4,98,98,,,1,,,2,1,,,,2,0.725
151,"l","4/2/2013 8:17:25 P","A",3,"CALIFORNIA","4",1,1,3,1,1,"MY STATE IS FALLING INTO THE OCEAN",11,3,3,4,1,4,2,1,2,,,,,,,4,4,4,4,1,1,4,2,1,1,3,1,1,1,3,,,1,6,,3,1,4,4,4,2,0.85
152,"l","4/2/2013 8:18:34 P","A",4,"MISSOURI","3",1,1,3,1,1,"DATA",4,2,2,2,2,2,1,2,2,,,,,,,2,3,3,98,2,2,98,98,98,98,3,98,98,1,98,,,2,6,,4,1,1,2,98,2,1.22
153,"l","4/2/2013 8:20:31 P","A",3,"CALIFORNIA","4",1,2,3,2,2,"CENTURIES OF FACTS THAT SHOW WARMING TRENDS",4,2,2,2,2,2,2,2,2,,,,,,,3,3,3,2,3,2,4,4,3,2,4,2,2,1,3,,,10,,,3,4,1,4,3,1,0.91
154,"l","4/2/2013 8:22:36 P","A",3,"CALIFORNIA","4",1,1,1,1,1,"ICE MELTING IN ANTARTICA",1,1,2,2,2,3,2,3,2,,,,,,,4,4,4,3,1,2,3,2,2,1,2,2,2,1,3,,,5,2,,4,2,4,4,5,1,0.91
155,"l","4/2/2013 8:23:07 P","A",4,"INDIANA","3",98,,,,,"",,,,,,,,,,,,,,,,98,3,3,1,4,98,4,4,2,2,4,2,2,1,1,,,1,1,1,2,1,1,2,1,2,0.725
156,"l","4/2/2013 8:23:22 P","A",4,"CALIFORNIA","4",1,2,3,3,2,"WARMER THAN THE PAST",2,4,2,2,4,2,3,2,3,,,,,,,98,98,98,2,98,2,4,2,4,98,4,2,98,98,98,,,1,1,2,4,2,2,3,,1,0.725
157,"l","4/2/2013 8:24:23 P","A",4,"MASSACHUSETTS","1",1,2,1,1,1,"ICE MELTING",1,1,1,1,2,2,2,2,2,,,,,,,3,3,3,3,2,2,3,1,98,1,98,2,1,1,2,,,1,,,,,,,,2,0.725
158,"l","4/2/2013 8:27:22 P","A",3,"MISSOURI","3",2,,,,,"",,,,,,,,,,2,"HAVE NOT SEEN ANY EVIDENCE",1,1,3,4,2,2,2,2,3,3,4,4,4,4,4,4,4,2,1,,,2,1,2,2,1,1,4,2,1,1.335
159,"l","4/2/2013 8:27:27 P","A",4,"NEW JERSEY","1",1,1,1,1,1,"POLLUTION, DISAPPEARING WILDLIFE AND SEALIFE",8,1,2,4,1,1,1,1,1,,,,,,,4,4,4,4,1,1,4,2,1,2,3,1,1,1,2,,,1,2,,3,1,1,3,2,2,0.725
160,"l","4/2/2013 8:29:42 P","A",3,"NORTH CAROLINA","2",1,1,1,1,1,"HOLE IN THE OZONE LAYER",10,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,1,2,,2,1,1,2,2,2,1,3,,,2,4,,3,5,1,5,,1,1.335
161,"l","4/2/2013 8:31:35 P","A",4,"NORTH CAROLINA","2",2,,,,,"",,,,,,,,,,2,"SOMETIMES COLD, SOMETIMES HOT, LIKE IT SHOULD BE",1,1,4,4,2,2,1,1,4,4,4,4,4,2,4,4,2,1,1,,,1,1,1,2,1,4,2,1,2,0.725
162,"l","4/2/2013 8:35:43 P","A",4,"VERMONT","1",1,1,3,1,1,"NEWS REPORTS ON TELEVISION",6,2,3,4,3,3,2,2,3,,,,,,,3,3,3,4,2,98,4,4,2,1,4,2,1,1,2,,,1,1,2,2,1,2,1,1,2,0.725
163,"l","4/2/2013 8:35:50 P","A",3,"ILLINOIS","3",1,2,1,2,1,"DIFFERENT ARTICLES I READ",6,1,2,2,2,1,2,1,1,,,,,,,4,4,4,4,1,1,4,1,3,1,2,4,1,1,6,,,1,1,2,4,1,1,5,4,1,0.84
164,"l","4/2/2013 8:36:58 P","A",4,"NORTH CAROLINA","2",1,3,3,2,98,"DO NOT KNOW",10,1,4,2,2,3,2,98,98,,,,,,,3,4,98,3,2,98,4,2,2,3,2,2,2,1,3,,,1,1,2,4,1,1,4,,1,0.725
165,"l","4/2/2013 8:37:41 P","A",4,"MISSOURI","3",98,,,,,"",,,,,,,,,,,,,,,,3,2,2,2,3,98,98,4,98,2,4,98,2,1,1,,,1,1,2,2,1,3,2,,2,0.725
166,"l","4/2/2013 8:39:07 P","A",3,"NEW YORK","1",1,1,1,1,1,"LARSEN ICE SHELF BROKE OFF",1,1,2,3,1,2,1,2,1,,,,,,,4,4,4,4,1,2,4,3,1,2,4,2,2,98,2,,,1,1,2,4,4,1,3,,1,0.84
167,"l","4/2/2013 8:41:07 P","A",1,"ALABAMA","2",2,,,,,"",,,,,,,,,,1,"HAVE DONE RESEARCH",5,2,1,1,1,1,1,1,4,4,4,4,98,1,4,98,1,1,1,,,1,6,,3,1,4,2,2,2,1.555
168,"l","4/2/2013 8:42:24 P","A",3,"MISSOURI","3",1,1,1,2,2,"NEWS",6,1,1,1,1,2,2,2,1,,,,,,,3,4,3,3,3,2,4,4,4,1,4,98,1,1,1,,,1,1,2,2,1,4,4,3,1,0.84
169,"l","4/2/2013 8:42:34 P","A",3,"PENNSYLVANIA","1",2,,,,,"",,,,,,,,,,2,"NO PROOF",3,3,3,2,1,2,1,1,4,4,4,4,2,2,4,4,4,2,1,,,1,2,,4,1,2,1,,2,0.84
170,"l","4/2/2013 8:43:01 P","A",3,"TEXAS","2",1,2,1,2,2,"WEATHER PATTERNS",3,2,1,2,2,2,1,1,1,,,,,,,4,3,3,4,2,1,4,4,2,2,4,2,1,1,98,,,9,6,,4,6,3,4,6,2,1.335
171,"l","4/2/2013 8:43:53 P","A",4,"LOUISIANA","2",2,,,,,"",,,,,,,,,,1,"GOD",6,1,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,2,1,,,2,1,1,1,1,1,1,1,2,1.22
172,"l","4/2/2013 8:44:17 P","A",4,"FLORIDA","2",1,1,1,1,1,"SEVERE WEATHER",3,1,1,3,1,3,2,2,1,,,,,,,3,3,3,3,2,1,4,4,98,2,4,98,2,1,3,,,9,2,,3,1,1,5,3,1,1.22
173,"l","4/2/2013 8:47:07 P","A",4,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,1,"JESUS CHRIST",6,3,1,1,1,1,1,4,4,3,1,4,4,4,4,4,4,2,1,,,1,6,,4,1,4,2,,1,0.725
174,"l","4/2/2013 8:49:13 P","A",4,"NORTH CAROLINA","2",1,1,3,1,1,"GLACIERS MELTING",1,1,1,3,3,1,1,1,1,,,,,,,4,4,4,4,1,1,4,4,1,1,4,1,1,1,2,,,1,6,,2,1,4,1,,1,0.725
175,"l","4/2/2013 8:49:35 P","A",4,"CALIFORNIA","4",1,2,3,2,1,"DO NOT KNOW",10,2,4,4,2,2,98,2,3,,,,,,,3,3,3,2,2,1,3,2,2,2,2,3,2,1,3,,,1,2,,3,1,2,2,1,2,0.725
176,"l","4/2/2013 8:50:22 P","A",3,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,3,"THINGS SEEM THE SAME TO ME",1,4,4,4,1,1,1,98,4,4,4,4,4,2,4,4,2,1,1,,,1,1,2,2,1,2,1,2,2,0.85
177,"l","4/2/2013 8:51:49 P","A",3,"PENNSYLVANIA","1",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,2,3,98,,4,98,2,4,98,3,98,2,,,2,1,2,2,1,4,3,,2,1.335
178,"l","4/2/2013 8:52:00 P","A",4,"TEXAS","2",1,2,3,2,1,"TEMPERATURE CHANGES",2,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,1,2,2,3,2,1,3,2,1,1,2,,,1,1,,3,1,2,3,2,2,0.725
179,"l","4/2/2013 8:54:52 P","A",4,"NEW YORK","1",2,,,,,"",,,,,,,,,,2,"WHAT I READ AND SEE",5,1,3,3,2,2,2,1,4,4,4,4,2,3,4,2,4,98,1,,,1,,,3,1,,1,,2,0.725
180,"l","4/2/2013 8:56:31 P","A",3,"OHIO","3",2,,,,,"",,,,,,,,,,1,"IT IS ALL POLITICAL",7,1,1,1,1,1,1,2,4,4,2,4,4,4,4,4,4,2,1,,,1,,,3,2,2,2,,1,0.84
181,"l","4/2/2013 8:56:56 P","A",2,"KANSAS","3",1,2,3,2,2,"THE OZONE LAYER IS THINNING",10,2,2,2,2,2,2,2,2,,,,,,,3,3,3,3,2,2,98,4,3,2,4,3,2,1,3,,,1,1,2,4,1,2,1,4,1,1.18
182,"l","4/2/2013 9:01:17 P","A",4,"FLORIDA","2",1,1,3,2,1,"BECAUSE OF CARBON EMMISSIONS AND ALL THE CRAP WE PUT INTO THE AIR. IT NEEDS TO BE CONTROLED",8,1,98,2,2,4,98,2,2,,,,,,,4,4,1,98,4,98,4,98,3,98,4,98,98,1,98,,,1,2,,3,2,1,1,1,1,0.725
183,"l","4/2/2013 9:03:41 P","A",4,"ILLINOIS","3",1,2,1,1,1,"ICE CAPS RECEDING",1,2,2,2,98,2,2,98,2,,,,,,,3,4,3,4,98,98,4,98,98,2,4,2,3,98,2,,,1,1,1,5,5,1,3,,1,0.725
184,"l","4/2/2013 9:11:21 P","B",4,"LOUISIANA","2",1,1,1,1,1,"SUMMERS ARE GETTING HOTTER",2,2,1,4,1,1,2,2,1,,,,,,,2,2,2,2,2,2,98,4,2,2,4,2,2,1,,"$25",2,2,2,,2,1,1,3,2,2,1.22
185,"l","4/2/2013 9:15:51 P","B",4,"ARKANSAS","2",1,2,2,2,2,"ICE CAPS ARE MELTING",1,1,3,3,3,2,1,3,2,,,,,,,3,3,3,98,2,3,3,98,98,1,3,98,98,1,,"$25",2,1,1,2,5,1,,,,2,0.725
186,"l","4/2/2013 9:16:36 P","B",2,"CALIFORNIA","4",98,,,,,"",,,,,,,,,,,,,,,,98,2,2,2,3,98,98,4,3,2,4,3,2,1,,"$0",1,9,2,,1,1,1,98,,2,1.7
187,"l","4/2/2013 9:17:08 P","B",1,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,2,"CAN NOT GIVE A REASON",9,2,4,4,4,3,3,4,2,98,4,4,2,1,4,2,2,1,,"$0",1,1,6,,2,1,4,3,1,2,1.555
188,"l","4/2/2013 9:21:15 P","B",3,"ILLINOIS","3",1,2,1,1,1,"THERMOMETER",2,1,2,2,3,3,3,3,2,,,,,,,3,4,4,4,1,3,4,4,98,1,4,1,4,1,,"$10",2,1,7,,3,1,1,4,5,1,0.84
189,"l","4/2/2013 9:21:21 P","B",2,"WISCONSIN","3",1,2,3,2,1,"NATURAL EVENTS",9,1,2,98,2,2,98,98,2,,,,,,,3,3,3,4,2,98,3,1,1,1,4,4,1,1,,"$100",3,1,1,98,4,1,4,3,5,1,1.18
190,"l","4/2/2013 9:22:26 P","B",3,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,1,"SOMETHING THEY WATCHED ON TELEVISION",5,2,2,2,1,1,1,98,4,3,98,4,3,3,4,3,4,2,,"$0",1,1,1,2,4,1,2,2,,2,0.85
191,"l","4/2/2013 9:22:34 P","B",3,"MISSOURI","3",1,1,3,1,1,"DROUGHTS AND SEVERE STORMS",3,2,2,4,2,3,2,1,1,,,,,,,4,4,4,4,1,1,4,4,1,1,4,1,1,1,,"$50",2,1,1,1,3,1,2,1,3,2,0.85
192,"l","4/2/2013 9:22:34 P","B",1,"ARIZONA","4",1,2,2,1,2,"SUN GETTING TO EARTH",10,2,1,2,3,2,3,3,2,,,,,,,4,4,4,1,2,4,4,2,3,2,2,1,1,1,,"DO NOT K",98,1,2,,4,1,1,3,,2,1.555
193,"l","4/2/2013 9:23:00 P","B",4,"CALIFORNIA","4",1,98,2,4,2,"WEATHER",3,4,3,98,3,3,4,4,4,,,,,,,1,3,1,2,2,98,4,4,4,2,98,4,4,2,,"$0",1,1,1,2,4,1,4,2,,2,0.725
194,"l","4/2/2013 9:23:53 P","B",3,"CALIFORNIA","4",1,1,3,2,2,"SMOG IS GETTING THICKER",10,2,2,2,2,4,2,2,2,,,,,,,3,3,3,3,2,1,98,4,2,2,4,2,2,1,,"$125",4,10,,,3,1,1,5,,2,0.91
195,"l","4/2/2013 9:26:20 P","B",4,"KANSAS","3",98,,,,,"",,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,4,98,3,98,,"$0",1,1,1,2,2,1,,,1,1,0.725
196,"l","4/2/2013 9:27:37 P","B",3,"CALIFORNIA","4",1,2,1,1,1,"EVIDENCE ON PBS",6,1,2,2,2,2,1,2,2,,,,,,,4,4,4,3,1,2,4,98,98,1,98,4,2,1,,"$0",1,1,7,,4,1,1,3,1,2,0.85
