"closup_id","SampleType","VersionAB","VersionCD","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_support_info","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_revneutral_v1_info","carbontax_rev4research_v1","carbontax_rev4research_v1_info","carbontax_rev4debt_v2","carbontax_rev4debt_v2_info","carbontax_revfed_v2","willing2pay_temprise_5","willing2pay_temprise_10","willing2pay_temprise_20","willing2pay_temprise_40","willing2pay_certain","willing2pay_temprise_most_coded","discountrate_2pct","discountrate_2pct_info","discountrate_5pct","discountrate_5pct_info","discountrate_10pct","discountrate_10pct_info","discountrate_20pct","discountrate_20pct_info","discountrate_44pct","discountrate_44pct_info","discountrate_76pct","discountrate_76pct_info","discountrate_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","feedback_understand","demog_gender","Weight"
94,"c","A","C","4/2/2014 7:07:26 P",1,"MA",1,1,2,1,"NEWS",6,2,2,2,4,4,2,3,4,,,,,,,3,,4,2,,2,,3,,1,,,,2,,2,2,,,,,,,,,,,,2,1,7,,4,1,1,5,1,5,1,2,1.65
95,"l","A","C","3/24/2014 6:31:29",4,"NJ",1,1,1,1,"TOO MUCH CARBON DIOXIDE",8,4,2,2,2,2,3,4,4,,,,,,,2,,2,2,,1,,1,,2,1,,,,1,2,2,,,,,,,,,,,,2,1,7,,5,2,4,2,3,3,1,1,0.31
96,"c","B","C","4/2/2014 5:22:09 P",4,"NY",1,98,,,,,,,,,,,,,,,,,,,,2,2,,2,,2,,2,2,,1,,,2,2,2,,,,,,,,,,,,2,2,,,1,1,,,2,1,3,1,1.96
97,"c","B","C","4/3/2014 9:25:27 P",3,"TX",2,1,2,3,"SUMMER IS WARMER",2,2,2,1,1,2,3,2,2,,,,,,,,3,3,,3,,3,,3,2,,,,1,1,2,2,,,,,,,,,,,,2,1,1,2,3,1,4,3,1,3,1,2,0.68
98,"l","A","D","3/31/2014 6:36:05",2,"VA",2,1,1,3,"SCIENTIFIC RESEARCH",4,1,3,1,3,3,1,1,3,,,,,,,2,,3,2,,2,,3,,2,1,,,,1,2,,1,,2,,,,,,,,,2,1,2,,4,2,2,1,3,3,1,1,0.77
99,"l","B","C","3/31/2014 7:25:12",3,"CO",4,1,1,1,"SCIENTIFIC",4,1,2,1,2,2,1,2,2,,,,,,,,1,1,,1,,1,,4,2,1,,,,1,2,2,,,,,,,,,,,,2,1,6,,4,5,1,4,1,2,1,1,0.32
100,"l","A","D","3/27/2014 6:18:50",4,"FL",2,2,,,,,,,,,,,,,1,"HEAT CYCLES OF A HUNDRED YEARS AGO ARE THE SAME AS NOW",2,1,4,3,4,,4,3,,2,,3,,2,,,1,,2,2,,2,,,,,,,,,,,2,10,2,,3,1,1,4,2,,2,1,0.66
101,"c","B","D","4/3/2014 8:10:35 P",2,"MN",3,1,2,3,"DATA AND OBSERVATION OF WEATHER PATTERNS AND GLACIER REDUCTION",4,1,3,2,3,4,2,3,3,,,,,,,,98,2,,2,,2,,1,3,,,98,,,2,,2,,,,,,,,,,,2,1,1,98,4,1,2,2,3,6,1,1,0.95
102,"c","A","C","4/1/2014 9:19:54 P",3,"AR",2,1,1,1,"HUMANS MESSING UP EVERYTHING",8,1,2,3,2,3,1,1,1,,,,,,,1,,2,1,,1,,3,,2,1,,,,1,2,1,,2,,,,,,,,,,2,10,1,2,2,5,1,3,3,1,1,1,0.95
103,"c","B","C","4/2/2014 5:39:33 P",1,"FL",2,1,4,2,"MEDIA",6,2,4,4,1,4,4,3,2,,,,,,,,3,3,,2,,3,,2,1,,,,2,,2,2,,,,,,,,,,,,2,1,6,,4,5,4,3,1,4,2,1,1.43
104,"c","B","D","4/3/2014 7:22:05 P",2,"IN",3,98,,,,,,,,,,,,,,,,,,,,1,2,,2,,2,,2,3,1,,,,1,2,,2,,,,,,,,,,,2,10,1,2,4,1,1,2,1,5,2,1,1.07
105,"l","B","D","3/26/2014 9:28:55",4,"CA",4,1,1,1,"MY OWN RECOLLECTION",2,1,2,4,2,2,2,1,2,,,,,,,,1,1,,1,,1,,1,2,1,,,,1,2,,2,,,,,,,,,,,2,1,6,,5,5,1,5,3,3,2,2,0.49
106,"l","A","C","3/27/2014 5:22:06",4,"VA",2,1,2,1,"CARS AND TRUCKS",8,2,2,2,2,2,1,1,1,,,,,,,4,,2,1,,1,,1,,2,1,,,,1,2,2,,,,,,,,,,,,2,1,2,,4,2,4,3,3,5,1,2,0.66
107,"c","A","C","4/2/2014 6:32:25 P",2,"NC",2,1,4,98,"PERSONAL EXPERIENCE AND NEWS",2,1,2,2,4,4,2,2,2,,,,,,,4,,3,4,,2,,2,,3,,,1,,1,3,2,,,,,,,,,,,,2,1,7,,5,5,4,2,3,4,1,2,1.14
108,"c","A","C","4/2/2014 6:26:13 P",1,"MI",3,1,1,1,"RESULTS COLLECTED WITH RESEARCH",4,1,1,1,2,4,1,2,2,,,,,,,3,,1,1,,1,,2,,2,,,,2,,3,2,,,,,,,,,,,,2,9,2,,3,6,1,3,1,2,1,1,2.65
109,"c","B","C","4/3/2014 9:31:56 P",4,"MS",2,1,1,2,"HOTTER THAN YEARS AGO",2,2,1,2,3,2,2,1,1,,,,,,,,4,4,,1,,2,,2,2,,,98,,,98,2,,,,,,,,,,,,2,1,1,1,1,1,4,4,2,2,2,1,1.06
110,"l","B","C","3/27/2014 8:19:14",1,"WV",2,2,,,,,,,,,,,,,2,"WEATHER IS SHIFTING COLDER",1,1,3,4,,3,3,,2,,1,,2,2,,,,,,98,2,,,,,,,,,,,,2,1,1,2,2,5,,,3,,2,1,1.75
111,"c","B","C","4/2/2014 9:22:13 P",3,"CA",4,1,1,2,"NATURAL CYCLES BEEN GOING ON FOR YEARS",9,1,4,2,3,4,1,1,1,,,,,,,,4,2,,4,,4,,4,98,,,,1,1,98,2,,,,,,,,,,,,2,1,6,,2,1,3,3,3,4,2,1,0.86
112,"c","B","D","4/1/2014 5:25:46 P",1,"TN",2,2,,,,,,,,,,,,,3,"READING",5,1,1,1,,2,2,,2,,4,,2,3,,1,,,4,1,,1,,2,,,,,,,,,2,9,6,,4,5,4,2,1,3,1,1,2.47
113,"c","B","D","4/3/2014 7:48:38 P",3,"NY",1,1,1,2,"SUMMER IS HOTTER AND HOTTER EACH YEAR AND MORE PEOPLE ARE DYING FROM HEAT STROKE",2,2,1,1,3,4,2,2,2,,,,,,,,1,2,,1,,1,,2,1,,,2,,,2,,1,,2,,,,,,,,,2,,,,,,,,,,,1,0.7
114,"l","A","D","4/1/2014 8:25:14 P",2,"CA",4,2,,,,,,,,,,,,,1,"CYCLES",2,2,3,3,3,,3,2,,4,,1,,3,,2,,,,1,,1,,2,,,,,,,,,2,1,1,1,4,5,2,1,1,,1,1,0.87
115,"l","B","D","3/27/2014 8:03:29",4,"AL",2,1,1,2,"SIGN OF THE TIMES",10,1,2,1,1,2,3,1,1,,,,,,,,1,3,,1,,3,,2,3,2,,,,,1,,1,,1,,2,,,,,,,2,2,6,,3,1,1,1,3,,2,1,1.31
116,"l","B","D","3/26/2014 9:45:59",3,"CO",4,2,,,,,,,,,,,,,2,"SCIENTIFIC STUDIES",5,2,1,1,,3,3,,4,,3,,4,2,2,,,,,1,,1,,2,,,,,,,,,2,2,1,2,4,2,1,3,2,5,2,1,1.27
117,"c","B","D","4/1/2014 6:24:10 P",3,"KY",2,2,,,,,,,,,,,,,1,"GOING THROUGH A CYCLE, LIFE EXPERIENCE",2,4,98,98,,2,1,,2,,2,,2,3,,,,2,,1,,1,,2,,,,,,,,,2,1,1,2,3,5,3,3,3,4,2,1,0.66
118,"c","B","D","4/1/2014 6:22:05 P",2,"MI",3,1,2,3,"ONLY TWO SEASONS NOW",3,2,2,4,2,3,1,1,2,,,,,,,,2,3,,2,,2,,4,2,2,,,,,1,,1,,2,,,,,,,,,2,1,2,,4,1,1,3,1,2,1,2,0.95
119,"l","B","C","3/26/2014 8:19:19",3,"SC",2,1,2,3,"WEATHER PATTERNS",3,1,3,3,2,1,1,3,3,,,,,,,,1,2,,2,,2,,2,1,,,,,,1,2,,,,,,,,,,,,2,1,,,2,1,,,,,3,2,0.98
120,"l","B","D","3/26/2014 9:44:15",2,"TX",2,98,,,,,,,,,,,,,,,,,,,,4,4,,2,,4,,4,3,1,,,,1,1,,1,,2,,,,,,,,,2,1,1,1,4,5,3,1,3,,1,1,0.87
121,"l","A","C","3/26/2014 7:51:00",4,"VT",1,2,,,,,,,,,,,,,1,"SNOW AND LONG WINTERS",1,2,3,98,3,,4,4,,2,,3,,2,,,98,,,1,1,,98,,,,,,,,,,2,1,2,,2,1,4,1,2,1,2,2,0.99
122,"l","A","C","3/27/2014 8:53:37",4,"CO",4,2,,,,,,,,,,,,,2,"IT IS VERY COLD HERE",1,1,4,4,4,,4,2,,4,,4,,1,1,,,,2,2,1,,2,,,,,,,,,,2,1,1,1,2,1,1,3,3,1,2,2,0.99
123,"c","B","C","4/2/2014 5:30:47 P",3,"PA",1,1,2,2,"COLDER WEATHER",3,1,98,98,2,1,2,2,2,,,,,,,,4,4,,1,,1,,2,3,98,,,,,2,1,,2,,,,,,,,,,2,1,1,2,3,1,1,1,3,1,2,2,0.83
124,"c","B","C","4/2/2014 5:24:42 P",2,"NY",1,1,3,98,"NOT SURE",10,3,1,2,4,1,4,1,1,,,,,,,,4,1,,1,,1,,1,1,,,,1,1,98,1,,2,,,,,,,,,,2,2,1,,5,1,1,,3,5,2,2,1.93
125,"l","A","C","3/24/2014 6:28:31",3,"OH",3,2,,,,,,,,,,,,,4,"COLD WEATHER IN EASTERN USA",1,1,2,1,4,,2,2,,2,,1,,1,,,,2,,98,1,,2,,,,,,,,,,2,1,1,2,5,1,2,2,1,6,2,1,0.53
126,"l","A","D","4/1/2014 8:08:12 P",2,"SD",3,2,,,,,,,,,,,,,1,"OBSERVATION",1,1,1,1,4,,3,3,,1,,3,,2,,2,,,,98,,1,,2,,,,,,,,,2,1,1,2,4,5,3,2,3,6,1,1,0.95
127,"c","B","C","4/10/2014 10:17:22",2,"TX",2,1,1,1,"CARBON IS GETTING TOO LARGE",8,1,1,2,1,2,1,1,1,,,,,,,,1,1,,1,,1,,1,2,,1,,,1,2,1,,2,,,,,,,,,,2,1,6,,2,1,3,4,3,6,2,2,1.51
128,"l","A","D","3/25/2014 9:33:36",4,"MN",3,1,2,2,"NEWS",6,2,3,2,1,3,,2,2,,,,,,,2,,1,2,,1,,2,,3,,1,,,1,2,,1,,1,,1,,1,,1,,1,2,1,1,2,3,1,1,4,3,2,2,2,0.64
129,"l","A","C","4/1/2014 8:44:46 P",4,"AR",2,2,,,,,,,,,,,,,2,"GOD CHANGES THE WEATHER",6,1,4,4,4,,4,4,,4,,4,,1,,,,2,,1,1,,1,,2,,,,,,,,2,1,2,,2,1,2,1,3,2,2,2,0.84
130,"l","B","D","3/25/2014 9:53:03",4,"CA",4,2,,,,,,,,,,,,,1,"YOU HEAR BOTH SIDES AND THEY ARE BOTH FULL OF BOLOGNA",9,1,2,1,,4,4,,4,,4,,4,2,,,,2,,1,,1,,1,,2,,,,,,,2,1,1,2,5,2,2,2,2,6,1,1,0.49
131,"l","B","D","3/31/2014 9:50:45",4,"CA",4,98,,,,,,,,,,,,,,,,,,,,2,3,,2,,4,,4,1,,2,,,,1,,1,,1,,1,,1,,1,,1,2,,6,,5,2,4,3,3,,1,2,0.69
132,"l","B","C","4/1/2014 7:30:59 P",4,"CA",4,2,,,,,,,,,,,,,1,"IT IS NICE THE WAY IT IS",9,1,4,4,,4,4,,4,,4,,4,1,2,,,,,1,1,,1,,2,,,,,,,,2,9,2,,2,1,1,3,3,2,2,2,2.04
133,"l","A","D","4/1/2014 8:05:19 P",3,"CA",4,1,3,2,"FOLLOW THE WEATHER",3,98,4,2,2,3,2,2,2,,,,,,,98,,2,3,,1,,4,,2,,,98,,,1,,1,,1,,2,,,,,,,2,10,1,2,3,1,1,2,1,2,1,2,0.78
134,"c","A","D","4/2/2014 7:49:15 P",1,"CT",1,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,,2,,,,1,,1,,1,,2,,,,,,,2,1,6,,3,5,4,3,3,1,2,1,1.6
135,"c","B","D","4/3/2014 7:23:09 P",1,"CT",1,98,,,,,,,,,,,,,,,,,,,,2,98,,4,,1,,4,2,,,1,,98,1,,1,,1,,1,,2,,,,,2,1,1,2,4,5,98,5,3,5,3,1,1.47
136,"c","A","D","4/1/2014 6:29:08 P",4,"FL",2,2,,,,,,,,,,,,,1,"NO DATA",3,4,4,3,2,,1,2,,1,,98,,2,,1,,,3,1,,1,,1,,2,,,,,,,2,1,2,,3,1,4,3,3,3,1,1,0.46
137,"c","A","C","4/1/2014 9:31:18 P",3,"IL",3,2,,,,,,,,,,,,,2,"OVER THE YEARS WINTERS HAVE STEADILY GOTTEN COLDER AND LONGER",1,1,3,4,2,,2,2,,2,,2,,2,,,,2,,1,1,,1,,2,,,,,,,,2,1,1,2,2,1,1,3,3,2,2,1,0.7
138,"l","A","C","3/27/2014 5:22:27",2,"KY",2,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,98,,,2,,,1,1,,1,,2,,,,,,,,2,1,1,2,4,1,2,3,1,6,1,2,1.13
139,"c","A","D","4/1/2014 6:45:30 P",3,"MO",3,2,,,,,,,,,,,,,1,"DATA",5,2,2,1,4,,4,4,,4,,4,,1,,,2,,,1,,1,,1,,2,,,,,,,2,1,6,,2,5,4,2,3,4,1,1,0.86
140,"l","A","D","3/25/2014 6:56:05",3,"NY",1,2,,,,,,,,,,,,,2,"IT IS COOLER",1,1,2,2,4,,4,4,,4,,4,,1,,2,,,,1,,1,,1,,2,,,,,,,2,1,6,,4,2,4,2,2,1,1,1,0.47
141,"c","B","D","4/1/2014 5:40:05 P",3,"NY",1,1,1,3,"CLIMATE CHANGE",10,1,4,98,98,4,98,4,1,,,,,,,,3,1,,1,,1,,4,2,,,,1,2,1,,1,,1,,2,,,,,,,2,1,2,,2,6,1,4,3,5,1,1,0.9
142,"c","A","D","4/1/2014 6:33:17 P",1,"NY",1,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,,,,2,,1,,1,,1,,2,,,,,,,2,1,6,,3,5,4,3,3,3,1,1,1.45
143,"c","B","D","4/1/2014 5:26:17 P",2,"OH",3,98,,,,,,,,,,,,,,,,,,,,2,4,,3,,2,,1,3,,,2,,,1,,1,,1,,2,,,,,,,2,1,1,2,2,1,2,2,3,,3,1,1.25
144,"l","B","D","3/26/2014 6:30:33",3,"PA",1,1,4,2,"FROM REPORTS",6,4,4,4,4,4,4,4,4,,,,,,,,4,4,,2,,4,,4,1,,1,,,2,1,,1,,1,,1,,1,,1,,1,2,1,6,,4,1,4,5,3,4,1,1,0.48
145,"c","A","D","4/2/2014 7:40:07 P",1,"PA",1,2,,,,,,,,,,,,,1,"GLOBAL WARMING DOES NOT EXIST",8,1,1,1,4,,4,4,,4,,4,,1,2,,,,,1,,1,,1,,2,,,,,,,2,1,1,2,4,1,2,1,3,3,1,1,1.27
146,"c","B","D","4/1/2014 6:03:58 P",2,"VA",2,98,,,,,,,,,,,,,,,,,,,,3,1,,3,,1,,1,2,,2,,,,1,,1,,2,,,,,,,,,2,2,1,2,4,1,4,3,2,,1,1,1.62
147,"l","A","D","4/1/2014 8:16:27 P",2,"WA",4,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,2,,,,,1,,1,,1,,2,,,,,,,2,1,1,2,2,1,4,3,3,3,1,2,1.33
148,"c","B","D","4/9/2014 11:15:35",1,"CA",4,2,,,,,,,,,,,,,1,"CYCLES",2,4,3,1,,2,98,,1,,1,,2,2,1,,,,1,2,,1,,1,,2,,,,,,,2,1,,,3,5,,2,3,,,1,1.55
149,"c","B","D","4/2/2014 8:46:19 P",2,"IN",3,1,1,1,"AUTO EXHAUST AND OTHER POLLUTION",8,1,1,1,1,1,1,1,1,,,,,,,,1,3,,1,,1,,3,2,1,,,,1,2,,1,,1,,2,,,,,,,2,1,1,2,4,1,4,3,3,3,1,2,0.95
150,"c","A","D","4/3/2014 6:02:14 P",3,"NJ",1,1,1,3,"GREEHOUSE GASES",8,1,3,4,2,3,1,1,2,,,,,,,2,,4,1,,2,,4,,1,1,,,,2,2,,1,,1,,2,,,,,,,2,1,1,2,3,1,2,1,3,3,1,1,0.5
151,"c","A","D","4/3/2014 6:29:27 P",2,"OH",3,1,1,1,"IT HAS BEEN GOING ON FOR YEARS",10,1,1,1,1,1,1,1,1,,,,,,,1,,3,1,,1,,3,,2,,,,1,1,2,,1,,1,,2,,,,,,,2,1,1,2,3,1,1,3,3,3,1,2,1.13
152,"c","A","D","4/9/2014 11:35:09",3,"CA",4,1,2,3,"OCEANS RISING, BEACHES ERODING AND MUCH POLLUTION",11,2,2,2,3,2,2,2,2,,,,,,,3,,4,4,,1,,2,,2,,,,,2,2,,1,,1,,2,,,,,,,2,1,1,1,2,1,2,1,2,2,2,2,0.88
153,"l","A","D","3/31/2014 6:24:54",3,"FL",2,2,,,,,,,,,,,,,2,"PAST WINTER WE JUST HAD",1,1,2,1,3,,3,3,,2,,2,,2,,,1,,2,2,,1,,1,,2,,,,,,,2,1,1,2,4,5,2,3,3,4,2,2,0.66
154,"c","A","D","4/3/2014 6:30:12 P",3,"GA",2,1,1,3,"POLLUTION CAUSED BY HUMANS",8,1,2,1,1,1,1,1,2,,,,,,,1,,1,1,,2,,4,,1,,,1,,2,2,,1,,1,,2,,,,,,,2,1,2,,4,5,1,3,3,3,1,2,0.5
155,"l","B","D","3/25/2014 6:31:39",4,"LA",2,98,,,,,,,,,,,,,,,,,,,,3,3,,4,,1,,98,1,,1,,,1,2,,1,,1,,2,,,,,,,2,1,2,,5,1,4,1,3,6,1,1,0.49
156,"c","B","C","4/2/2014 5:47:01 P",1,"MD",2,1,1,2,"CHANGE IN THE SEASONS",3,2,2,4,1,3,2,2,2,,,,,,,,2,2,,2,,2,,2,3,,,1,,3,2,1,,1,,2,,,,,,,,2,2,98,,3,1,1,2,1,98,1,2,2.48
157,"c","A","C","4/1/2014 9:19:29 P",4,"NM",4,1,2,3,"THINGS YOU READ",6,1,2,3,3,2,2,2,1,,,,,,,2,,2,2,,2,,2,,3,1,,,,1,2,1,,2,,,,,,,,,,2,1,1,2,5,4,4,,2,,2,1,0.41
158,"l","A","C","3/24/2014 5:35:52",3,"PA",1,1,2,1,"REPEATING HISTORY",9,4,2,3,2,2,3,2,2,,,,,,,4,,2,2,,2,,2,,3,,,1,,2,2,1,,1,,2,,,,,,,,2,1,1,2,2,1,2,3,3,4,2,1,0.86
159,"c","A","D","4/3/2014 6:46:41 P",3,"TX",2,1,1,1,"SCIENTIFIC CLIMATE STUDIES",4,1,2,1,2,3,4,3,3,,,,,,,2,,2,2,,2,,2,,2,1,,,,1,2,,1,,1,,2,,,,,,,2,1,6,,4,5,4,5,1,5,1,1,0.52
160,"c","A","D","4/1/2014 6:46:10 P",2,"AR",2,1,1,1,"UP AND DOWN ON THE WEATHER",3,1,2,4,2,2,1,1,2,,,,,,,4,,4,4,,4,,4,,3,1,,,,1,2,,1,,1,,2,,,,,,,2,10,6,,2,5,1,2,3,3,2,2,1.43
161,"l","B","C","3/26/2014 8:23:03",4,"AZ",4,1,2,3,"STRANGE WEATHER",3,1,2,2,4,3,3,3,2,,,,,,,,2,2,,98,,2,,2,98,1,,,,1,2,1,,1,,1,,1,,1,,1,,2,1,,,3,6,4,2,3,,1,2,0.74
162,"c","A","C","4/2/2014 7:01:39 P",2,"FL",2,1,1,3,"TELEVISION",6,1,2,98,2,4,1,1,4,,,,,,,4,,4,1,,3,,2,,1,1,,,,1,2,2,,,,,,,,,,,,2,1,1,2,4,5,1,4,3,,1,2,1.05
163,"l","B","D","3/31/2014 5:53:33",2,"TN",2,98,,,,,,,,,,,,,,,,,,,,4,4,,98,,4,,4,1,1,,,,2,2,,1,,1,,2,,,,,,,2,1,1,1,2,1,4,3,2,2,2,1,1.15
164,"l","B","D","3/26/2014 6:29:49",3,"NC",2,1,1,3,"IT IS HOTTER, ICE CAPS AND SEA LEVEL",2,1,3,4,4,3,2,3,3,,,,,,,,4,4,,4,,4,,4,3,1,,,,1,2,,1,,1,,2,,,,,,,2,1,1,1,2,2,4,1,3,3,1,1,0.7
165,"c","A","D","4/3/2014 6:32:21 P",3,"IA",3,1,1,1,"DATA",4,2,3,1,1,3,3,1,1,,,,,,,1,,1,1,,1,,3,,2,,,,1,1,4,,1,,1,,2,,,,,,,2,1,6,,3,5,1,5,3,5,1,1,0.7
166,"l","A","D","3/25/2014 5:33:54",4,"MA",1,1,2,1,"GENERAL INFORMATION",10,2,3,1,2,3,1,2,2,,,,,,,1,,2,1,,1,,98,,98,,1,,,1,98,,2,,,,,,,,,,,2,1,,,5,2,1,,3,,1,1,0.41
167,"l","A","D","3/26/2014 5:54:47",4,"NJ",1,98,,,,,,,,,,,,,,,,,,,3,,3,3,,4,,4,,3,,2,,,,98,,1,,2,,,,,,,,,2,1,98,,5,5,3,3,2,1,1,1,0.46
168,"l","B","D","3/31/2014 5:48:29",5,"PA",1,2,,,,,,,,,,,,,1,"PERSONAL OBSERVATIONS",1,1,3,2,,3,4,,3,,1,,3,2,,1,,,3,2,,1,,1,,1,,1,,1,,1,2,1,2,,4,1,2,2,3,3,1,1,0.47
169,"l","B","C","3/27/2014 8:37:09",3,"AL",2,1,1,1,"CRAZY WEATHER",3,1,1,4,1,2,1,2,2,,,,,,,,98,98,,98,,98,,98,98,,1,,,1,2,1,,1,,1,,2,,,,,,2,1,2,,3,1,98,5,2,2,1,2,0.68
170,"c","B","D","4/3/2014 8:25:07 P",3,"CA",4,1,2,1,"HAVE SEEN DATA THAT SUGGESTS IT",4,2,3,2,3,3,3,2,2,,,,,,,,2,1,,2,,2,,2,2,,,1,,2,2,,1,,1,,1,,2,,,,,2,1,1,2,5,5,4,3,1,6,2,1,0.53
171,"l","B","D","3/25/2014 6:01:07",4,"FL",2,2,,,,,,,,,,,,,2,"BAD RESEARCH",3,1,1,1,,4,4,,4,,4,,4,3,,2,,,,1,,1,,1,,1,,1,,1,,1,2,9,3,,5,98,4,1,2,,1,1,1.61
172,"l","B","C","3/31/2014 7:43:38",4,"AL",2,1,1,1,"CARS, TRUCKS OTHER POLLUTANTS",8,1,3,4,3,3,1,1,2,,,,,,,,2,4,,2,,2,,4,2,2,,,,,1,1,,1,,1,,2,,,,,,2,1,1,1,2,1,2,1,3,2,1,1,0.66
173,"c","A","C","4/1/2014 9:32:06 P",2,"AR",2,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,2,,,,,1,1,,1,,1,,2,,,,,,2,1,6,,3,1,2,2,3,2,1,2,1.13
174,"l","A","C","3/27/2014 9:14:54",3,"CA",4,98,,,,,,,,,,,,,,,,,,,3,,3,4,,98,,3,,1,,2,,,,1,1,,2,,,,,,,,,,2,1,2,,2,1,1,3,3,3,1,2,0.88
175,"c","A","C","4/2/2014 9:56:11 P",3,"CA",4,2,,,,,,,,,,,,,2,"NATURAL PATTERNS IN THE WEATHER",2,1,4,4,4,,4,3,,2,,2,,2,,,2,,,1,1,,1,,1,,2,,,,,,2,1,1,2,3,1,2,2,3,4,2,1,0.66
176,"c","B","D","4/9/2014 10:52:06",2,"CA",4,1,2,1,"RECEDING SHORELINES",11,1,2,3,2,3,1,1,2,,,,,,,,2,3,,1,,1,,3,2,2,,,,,1,,1,,1,,1,,2,,,,,2,1,1,2,4,1,1,3,3,3,1,1,0.77
177,"c","A","D","4/9/2014 11:22:35",4,"CA",4,2,,,,,,,,,,,,,2,"MANY CHANGES OVER THE YEARS REPEATED OVER THE CENTURIES",2,1,4,4,4,,4,4,,1,,4,,2,,,2,,,1,,1,,1,,1,,2,,,,,2,9,2,,1,1,1,3,3,1,2,1,2.41
178,"l","A","C","3/31/2014 8:42:06",2,"CO",4,2,,,,,,,,,,,,,2,"SEEMS SILLY TO ME",9,2,4,4,4,,4,4,,4,,4,,1,2,,,,,1,1,,1,,1,,2,,,,,,2,1,2,,4,5,2,1,2,2,1,1,0.77
179,"c","A","D","4/3/2014 6:05:20 P",2,"CT",1,2,,,,,,,,,,,,,2,"COLDEST WINTER IN YEARS",1,1,4,4,4,,4,4,,4,,4,,1,2,,,,,1,,1,,1,,1,,2,,,,,2,1,1,2,4,5,1,4,3,4,1,2,1.11
180,"c","A","D","4/3/2014 6:01:00 P",2,"FL",2,1,1,1,"RAIN FORESTS ARE DISAPPEARING AND TOO MANY CITIES BEING BUILT HOLDING HEAT",8,3,1,4,2,3,3,2,2,,,,,,,4,,4,2,,2,,3,,2,,,2,,,1,,1,,1,,1,,2,,,,,2,9,2,,2,1,1,4,2,2,3,1,2.35
181,"l","A","D","4/1/2014 7:49:05 P",3,"HI",4,2,,,,,,,,,,,,,1,"WEATHER RUNS IN CYCLES",2,1,4,4,4,,4,98,,4,,4,,1,2,,,,,1,,1,,1,,1,,2,,,,,2,1,6,,4,1,4,2,3,3,1,1,0.32
182,"l","A","C","4/1/2014 9:03:47 P",3,"IL",3,1,1,3,"SCIENTIFIC JOURNALS",4,1,3,1,3,4,2,1,1,,,,,,,1,,1,3,,2,,3,,2,,,1,,3,1,1,,1,,1,,2,,,,,,2,1,2,,5,1,1,4,1,6,2,1,0.53
183,"c","A","C","4/2/2014 6:10:14 P",2,"MA",1,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,,,,2,,1,1,,1,,1,,2,,,,,,2,2,1,2,2,1,1,2,3,2,2,1,1.9
184,"l","A","D","3/31/2014 6:33:09",4,"MD",2,2,,,,,,,,,,,,,2,"PAST WEATHER PATTERNS",2,2,4,4,4,,4,4,,4,,4,,1,2,,,,,1,,1,,1,,1,,2,,,,,2,1,1,2,2,1,1,3,3,3,1,2,0.84
185,"c","A","C","4/3/2014 5:25:39 P",3,"MD",2,98,,,,,,,,,,,,,,,,,,,4,,4,2,,1,,98,,2,,,1,,4,1,1,,1,,1,,2,,,,,,2,2,2,,2,1,1,3,2,3,2,1,1.45
186,"c","B","D","4/3/2014 8:20:11 P",1,"MS",2,2,,,,,,,,,,,,,1,"PERSONAL OBSERVATIONS",1,1,4,4,,4,4,,4,,4,,4,1,,,,2,,1,,1,,1,,1,,2,,,,,2,1,1,2,2,1,2,2,3,1,2,2,1.98
187,"c","A","D","4/3/2014 6:40:34 P",2,"NJ",1,2,,,,,,,,,,,,,2,"EXTREMEMLY COLD WINTERS LAST FEW YEARS",1,1,4,4,4,,4,1,,2,,2,,1,,,2,,,1,,1,,1,,1,,2,,,,,2,2,1,2,2,2,1,3,2,1,2,1,2.05
188,"c","A","C","4/2/2014 10:01:46",3,"TX",2,98,,,,,,,,,,,,,,,,,,,3,,3,4,,4,,1,,3,,2,,,,1,1,,1,,1,,2,,,,,,2,5,2,,2,1,2,2,1,,1,1,0.9
189,"c","B","D","4/3/2014 8:14:15 P",3,"TX",2,2,,,,,,,,,,,,,2,"IN WINTER FREEZING COLD IS A NATURAL THING",2,1,4,4,,4,4,,4,,4,,4,3,2,,,,,1,,1,,1,,1,,2,,,,,2,,1,2,4,1,2,1,3,,1,2,0.7
