fact,MC,round
"Whitehouse claimed that passing a tax increase on millionaires and investing the revenue in infrastructure would create 611,000 jobs. Politifact rated this statement as false because these were in fact job-years and not jobs. The actual number of permanent jobs created would be much smaller.",Sheldon Whitehouse,nov-post
Republicans criticized him for refusing to take up many pieces of legislation.,Harry Reid,nov-post
Mike McFadden criticized him for focusing on politics instead of Ebola.,Al Franken,nov-post
"The Atlantic painted him as highly incompetent, citing an instance in which he was asked about the national debt and he 'wandered off on a tangent about free trade'",Thad Cochran,nov-post
Bahai groups praised her for supporting a bill that would make the desecration of Bahai cemetaries a violation of religious freedom,Tammy Baldwin,nov-post
"In arguing that competition drove costs down for the Medicare prescription drug benefit, Isakson claimed that premiums have fallen 'almost every year' since the program began. Politifact rated this statement as 'false.' In fact, prices increased 42%.",Johnny Isakson,nov-post
"American Federation of Teachers President Randi Weingarten praised his efforts to fight on behalf of children, families, and communities.",Mark Pryor,nov-post
Republican Senator Mike Crapo praised Risch as 'results-oriented'.,Jim Risch,nov-post
Steve King insinuated that he is xenophobic in a debate about immigration reform.,Chuck Schumer,nov-post
Six environmental groups praised her for her work on legislation to restore the Gulf Coast after the BP oil spill.,Barbara Boxer,nov-post
Some of Gillibrand's Democratic colleagues have criticized her for being too zealous.,Kirsten Gillibrand,nov-post
"According to Sarah Binder, an expert on legislative politics at the Brookings Institution, Collins lied in a campaign ad when she insisted that she voted three times to avoid a government shutdown. There never was a direct vote on the shutdown.",Susan Collins,nov-post
Bill Miller claims that he is 'resonating with the conservatives' and some of his other supporters praised him for his aggressiveness in supporting what he believes.,Ted Cruz,nov-post
National blogs criticized him for working as a lobbyist and for being registered to vote in Virginia.,Dan Coats,nov-post
The Government Integrity Fund criticized Brown for taking 'big money' from corporate interests.,Sherrod Brown,nov-post
"Senator Elizabeth Warren praised Shaheen as a senator, saying, 'I think that Jeanne Shaheen is a terrific senator and I think she would be a very tough candidate for anyone to beat.'",Jeanne Shaheen,nov-post
Democrats criticized him for being unprepared for a press conference when he was too unprepared to answer questions.,David Vitter,nov-post
"During his failed election campaign, Walsh raised over $100,000 from lobbyists, $300,000 from political action committees, and $345,000 from lawyers.",John Walsh,nov-post
Jack Kingston called him 'a good and honest man who has always done what he thinks is best for our great state and this country.',Saxby Chambliss,nov-post
"He was criticized for pushing to vote on military action in Iraq and Syria before Election Day, especially by Democrats who feared his stance would hurt the party in the election.",Tim Kaine,nov-post
Wyden has been accused of flip-flopping on farm support. In 2008 he voted in favor of a pro-farm amendment but in 2009 he flipped his vote.,Ron Wyden,nov-post
Ayotte has been the target of a recall campaign over her position on the government shutdown.,Kelly Ayotte,nov-post
Coons received the Outstanding National Service Advocacy Award for his work with the 'I Have a Dream' Foundation and his committment to national service.,Chris Coons,nov-post
"In order to encourage tourism in West Hawaii, Schatz is currently proposing that Customs begins in Japan so that planes can arrive in West Hawaii as domestic flights.",Brian Schatz,nov-post
"Marco Rubio praised him, saying that he 'played a critical role in Washington.'",John Hoeven,nov-post
Feeding Pennsylvania praised him for his support of the Supplemental Nutrition Assistance Program,"Bob Casey, Jr.",nov-post
Advocates for prison reform criticized his comments about the economic benefits of prisons.,Dick Durbin,nov-post
Gabriel Gomez criticized him for the national debt and for voting in favor of the Wall Street bailout.,Ed Markey,nov-post
"While mayor of Newark, Booker claimed in an interview that Newark's unemployment rate had fallen by two percentage points. This statement was rated as 'false' by Politifact because the actual rate was 0.7 percentage points.",Cory Booker,nov-post
He was criticized for comments he made suggesting that the rich have an unfair financial burden in the current tax system,Orrin Hatch,nov-post
"Republican and independent news sources praised him, a Democrat, for his willingness to reach across the aisle.",Mark Warner,nov-post
"In a PBS interview, Flake claimed that when undocumented children are picked up at the border and 'told to appear later in court ... 90 percent do not then show up.' Politifact rated this statement as 'false.' According to the most recent report, the number is actually 46 percent.",Jeff Flake,nov-post
Steny Hoyer praised him saying that the Senate would have been more bipartisan if he had had more of an influence.,Roy Blunt,nov-post
Johanns received an award from the National Multiple Sclerosis Society for his work to support funding for autoimmune disease research.,Mike Johanns,nov-post
The Arkansas Times labelled Boozman 'Hypocrite of the Day' after seeking disaster relief money from FEMA for Arkansas to cope with winter storm costs while at the same time opposing disaster aid for Hurricane Sandy victims.,John Boozman,nov-post
"During a 2014 Senate speech, Reed claimed that the Senate proposal to restore emergency unemployment benefits for five months was 'fully paid for.' Politifact rated this statement as 'mostly false.' He failed to mention that the proposal would be paid for over 10 years, which Politifact considered to be intentionally misleading.",Jack Reed,nov-post
Representative Don Young praised Begich for doing a 'great job' representing Alaska.,Mark Begich,nov-post
David Foster Wallace flatteringly described McCain as a man who 'acts somewhat in the ballpark of the way a real human being would act.',John McCain,nov-post
"Senator Debbie Stabenow praised Levin, saying, 'The more people we have like Carl Levin serving in public office, the better off our country will be.'",Carl Levin,nov-post
The Topeka Capital Journal criticized him for his low attendence of Senate Agriculture Committee meetings.,Pat Roberts,nov-post
"Ed Case criticized her for turning down many public speaking opportunities, claiming that she was 'hiding behind her handlers.'",Mazie Hirono,nov-post
McConnell received the Kentucky Life Science Champion Awards for his work in promoting innovation in the life science sector.,Mitch McConnell,nov-post
The National Federation of Independent Business named Murkowski a Guardian of Small Business for her 'outstanding' voting record on behalf of small business owners.,Lisa Murkowski,nov-post
Some students at Howard University criticized Paul for a speech he gave at the University as 'condescending'.,Rand Paul,nov-post
Manchin is a co-chair of No Labels,Joe Manchin,nov-post
"Udall has been accused of lying to voters by insisting that if they liked their health insurance plan, they would be able to keep it.",Tom Udall,nov-post
"Conservatives criticized him for proposing a gun control amendment, saying he is 'no better than the Liberals.'",Pat Toomey,nov-post
Small Business Majority praised her for her plans for rebuilding the economy and for strengthening small businesses.,Maria Cantwell,nov-post
Pete Hoekstra accused her of irresponsible spending.,Debbie Stabenow,nov-post
He was instrumental in creating the U.S. Consumer Financial Protection Bureau.,Jeff Merkley,nov-post
Governor Markell praised him for his efforts to raise awareness about cyber security.,Tom Carper,nov-post
The North Carolina NAACP criticized him for being used and manipulated by the Tea Party like a 'dummy.',Tim Scott,nov-post
Sanders won the 2014 Col. Arthur T. Marix Congressional Leadership Award from the Military Officers Association of America for his leadership in support of veterans.,Bernie Sanders,nov-post
Matt Bevin praised him as an advocate of small business interests,Richard Blumenthal,nov-post
Rockefeller has been accused of flip-flopping on global warming and lacking a coherent stance.,Jay Rockefeller,nov-post
"Coburn actively negotiated the settlement to cover-up the affair from $8 million to about $2.8 million. Ensign's father eventually paid $96,000.",Tom Coburn,nov-post
"Leahy was criticized for appearing in a Batman film while also being chair of the Senate Judiciary committee, which has jurisdiction over issues concerning the film industry.",Patrick Leahy,nov-post
President Obama called him 'a serious person who's trying to do the right thing.',Mark Udall,nov-post
"Former chief of staff to Alexander, Ryan Loskarn, was arrested on charges of possession and attempted distribution of child pornography.",Lamar Alexander,nov-post
Harry Reid criticized Moran for pandering to the Koch brothers and their money.,Jerry Moran,nov-post
She was charged with hypocrisy for arguing against using conceal carries to prevent mass shootings while herself owning a conceal carry permit.,Dianne Feinstein,nov-post
TV host Joe Scarborough criticized Tester for his remarks that the Department of Veterans Affairs was doing a good job despite a slew of scandals at the agency.,Jon Tester,nov-post
"In his 2002 election, Johnson won nintey-four percent of the vote among the Oglala Sioux, South Dakota's biggest tribe.",Tim Johnson,nov-post
"During a press conference about the Teachers and First Responders Back to Work Act, Menendez claimed that New Jersey was facing a $10.5 billion shortfall in its 2012 fiscal budget that would lead to cuts in state spending on education. This statement was rated as 'false' by Politifact because the 2012 budget was in fact balanced and increased funding for education.",Bob Menendez,nov-post
Rubio has been criticized by members of his own party for focusing more on self-promotion rather than good government.,Marco Rubio,nov-post
Andy McCarthy criticized his lawsuit with the president as 'frivolous.' Johnson's lawsuit challenges the president's effort to force lawmakers and their staff off of the federal employee health benefit plan and into the new healthcare exchanges,Ron Johnson,nov-post
The New York Times noted that Crapo became 'something of a hero among advocates of bipartisanship' for his involvement in the 'Gang of Six'.,Mike Crapo,nov-post
The Zionist Organization of America praised him for a bill he created to 'enhance the Administration's leverage in negotiations with Iran.',Mark Kirk,nov-post
Heitkamp received the Distinguished Advocate Award from the National Association of Community Health Centers for her work in supporting community health centers.,Heidi Heitkamp,nov-post
The Iowa Child Advocacy Board gave an award to Grassley for his 'outstanding leadership' on children's issues.,Chuck Grassley,nov-post
The National Patient Advocate Foundation praised him for his efforts in reforming healthcare,Mike Enzi,nov-post
Portman was awarded the Centennial Leadership Award from the National Parks Conservation Association for making 'an outstanding contribution toward ensuring that the national parks are ready and well-prepared for their second century of service to the American people.',Rob Portman,nov-post
The Alliance for Quality Nursing Home Care praised Burr for his role in stopping the Bush administration from cutting Medicare-funded nursing home care by $5 billion over five years.,Richard Burr,nov-post
The National Rural Electric Cooperative Association praised him for passing an act that would encourage electrification in Sub-Saharan Africa,Bob Corker,nov-post
His comments about Cuban healthcare have been criticized as misrepresenting the availability of quality care,Tom Harkin,nov-post
The University of Southern California Alumni Association awarded Heller its Alumni Merit Award for providing strong leadership for Nevada in the Senate.,Dean Heller,nov-post
"Former State Senate colleague Heath Mello stated, 'It's disappointing that Deb Fischer didn't disclose to me and our other legislative colleagues her personal and financial stake in Snake Falls when she introduced LB229 . . . Her years of effort in trying to acquire the property should have been disclosed as we worked on the legislation. If she had, the outcome of LB229 may have been dramatically different.'",Deb Fischer,nov-post
The director of the CIA argued that his criticisms of the NSA were 'spurious' and 'wholly unsupported',Martin Heinrich,nov-post
"Senator Richard Shelby praised Mikulski as 'very able, very intelligent.'",Barbara Mikulski,nov-post
Barrasso was criticized for receiving millions in campaign funds from oil and nuclear energy companies.,John Barrasso,nov-post
"After Thune defeated Tom Daschle in 2004, many Republicans regarded Thune as a 'rising star with unlimited political potential.'",John Thune,nov-post
The Wall Street Journal criticized Shelby for hoarding contributions and for not sharing them with other colleagues.,Richard Shelby,nov-post
"The Center for Food Safety criticized Mikulski for not giving the Monsanto Protection Act a 'proper hearing,' claiming that a 'hidden backroom deal' was reached without public scrutiny.",Barbara Mikulski,nov-pre
"Heitkamp has been accused of being a hypocrocite by political opponents. Though Heitkamp claims to support domestic energy production, her second largest campaign donor is a group of environmentalist trial attorneys.",Heidi Heitkamp,nov-pre
The Environmental Defense Fund praised her for her efforts in fighting climate change.,Susan Collins,nov-pre
Monica Wehby criticized him for not taking the proper steps to reform the Department of Veteran Affairs,Jeff Merkley,nov-pre
Fellow politicians expressed ethical concerns since Dotzauer was lobbying her at the same time he owed her money.,Maria Cantwell,nov-pre
Comedian David Letterman named Hoeven 'Stooge of the Night' because he voted against gun control legislation despite polling which suggests that 94% of his constituents support gun control.,John Hoeven,nov-pre
Some Republicans have questioned whether or not Heller has the 'fortitutude to take on [Harry] Reid.',Dean Heller,nov-pre
"In an interview with Politico, Blunt stated that he had worked on the legislation with Monsanto, one of his biggest campaign donors.",Roy Blunt,nov-pre
The United Spinal Association praised him for his efforts to improve healthcare for disabled individuals.,Chuck Schumer,nov-pre
Reed played a central role in reaching a bipartisan agreement on a foreclosure rescue bill.,Jack Reed,nov-pre
Environmental Defense Fund praised him for working to protect the Gulf Coast wetlands.,Sheldon Whitehouse,nov-pre
Mayors Against Illegal Guns ran ads praising him for his stance on gun regulation and background checks.,Pat Toomey,nov-pre
"Johanns received $10,000 from Senator John Ensign, who is currently involved in an ethics scandal.",Mike Johanns,nov-pre
Republican candidate Linda McMahon criticized Murphy for missing '80 percent of subcommittee meetings on financial issues' during his first term.,Chris Murphy,nov-pre
Harry Reid praised him for his military service and efforts to prevent suicide among veterans.,John Walsh,nov-pre
Marco Rubio said that his amendment to a border security bill dramatically improved the bill.,John Cornyn,nov-pre
Mitch McConnell called him 'an extraordinary man and a deeply serious lawmaker.',Tom Coburn,nov-pre
"Obama praised him saying, 'Michael Bennet perfectly reflects the qualities of the ruggedly independent state he has been chosen to serve. An innovator in the public and private sectors, he has shown himself willing to challenge old thinking and stale policies.'",Michael Bennet,nov-pre
"Conservative and environmental groups praised legislation he sponsored that would give 20,000 acres of mineral rights over to the Ute Indian Tribe",Orrin Hatch,nov-pre
Senate candidate Nels Mitchell criticized Risch for not working with Democrats on issues in order to get legislation passed.,Jim Risch,nov-pre
Both Republicans and Democrats praised him for focusing attention on Congresses authority to declare war.,Tim Kaine,nov-pre
Obama's spokesperson praised him for working across the aisle with the Republican Senate Majority Leader.,Harry Reid,nov-pre
He was praised for his ability to defuse partisan tensions and encourage bipartisan cooperation.,Ron Wyden,nov-pre
Sen. Jeff Sessions praised him saying `David Vitter is one of the most capable guys here. He was fabulous in the immigration debate. I think his constituents will respect that.',David Vitter,nov-pre
Ed Gillespie criticized him for using tax payer money to fly in a luxury airplane.,Mark Warner,nov-pre
Paul received the 2014 Distinguished Service Award from the Center for the National Interest for his public policy work.,Rand Paul,nov-pre
He was praised by President Obama among others for his bi-partisanship.,Cory Booker,nov-pre
The Daily Caller praised him for being an 'exceptional governor.',Lamar Alexander,nov-pre
Democratic Senatorial Campaign Committee Executive Director Guy Cecil praised her as 'one of the most well-respected political leaders in the state.',Mazie Hirono,nov-pre
Franken received the Stewart B. McKinney award for his work to fight homelessness,Al Franken,nov-pre
Braintree Mayor Joseph C. Sullivan praised him saying that he was 'a fine congressman.',Ed Markey,nov-pre
Tester played a large role in the 2010 food safety act passed by Congress.,Jon Tester,nov-pre
The Science Coalition awarded Moran the Champion of Science award for his work supporting scientific research funding.,Jerry Moran,nov-pre
"Manchin has been accused of flip-flopping on Obama's health reform law. After voting for the law, he then said in an interview with Fox News that had he known more about the law, he would have voted against it.",Joe Manchin,nov-pre
"After his arrest for DUI, the Idaho State Journal noted, '[Crapo's] reputation as a faithful Mormon conservative has been blown to smithereens.'",Mike Crapo,nov-pre
The National Republican Senatorial Committee criticized him for not placing more of an emphasis on ISIS and national security.,Mark Udall,nov-pre
Liberal environmentalists criticized Cardin for compromising too much while working with conservative James Inhofe on an amendment to Cardin's Chesapeake Bay legislation.,Ben Cardin,nov-pre
Senate candidate Dan Sullivan criticized Begich for 'condemning outside PACs while benefiting from them himself.',Mark Begich,nov-pre
His 'Syria force resolution' was praised by President Obama and others.,Bob Menendez,nov-pre
Senate candidate Scott Brown criticized Shaheen for being a 'rubber stamp' for President Obama and for failing to represent the best interests of New Hampshire voters.,Jeanne Shaheen,nov-pre
"Pryor has been accused of being out of touch after saying he believes the middle class earns 'up to $200,000' a year during an Arkansas U.S. Senate debate",Mark Pryor,nov-pre
"Columnist Bill Sniffin praised his appointment to the Senate, saying that he expected him to become a prominent figure.",John Barrasso,nov-pre
McCain praised him for his years of experience and claim that he was 'the person who can lead this nation in this most challenging of times.',Thad Cochran,nov-pre
"Fellow Republicans criticized him after he ran an ad against Cleland, a decorated Vietnam War veteran, in which he argued he was weak on defense and homeland security.",Saxby Chambliss,nov-pre
American Airlines praised him for arguing for the need to lower rising oil prices,Dick Durbin,nov-pre
"Representative Paul Ryan praised Rubio for his push for immigration reform, saying that Rubio was 'exactly right on the need to fix our broken immigration system.'",Marco Rubio,nov-pre
"During that month, an estimated 97 percent of the ice sheet thawed.' Politifact rated this statement as only 'half true' since he referred to the ice sheet, rather than the surface ice.",Brian Schatz,nov-pre
"In 2014, the U.S. Chamber of Commerce awarded Flake with the Spirit of Enterprise Award for his business-friendly voting record.",Jeff Flake,nov-pre
"During the 2012 Republican National Convention, Thune claimed that the Obama administration proposed 'banning farm kids from doing basic chores.' Politifact rated this statement as 'Pants on Fire' false. No such proposal was ever made.",John Thune,nov-pre
Roberts received an award from the National Rural Health Association for his dedication and commitment to the health of rural Americans,Pat Roberts,nov-pre
"According to Barney Frank, Sanders 'alienates his natural allies' with a 'holier-than-thou attitude.'",Bernie Sanders,nov-pre
Coburn and Pilon criticized him for waiting until the end of the Congressional session to hold a hearing on the statehood of Washington D.C.,Tom Carper,nov-pre
Elizabeth Warren praised him for fighting 'for everyone who just needs a little opportunity.',Tom Udall,nov-pre
Former Gov. Tommy Thompson claimed that her 'far left approach leaves this country in jeopardy.',Tammy Baldwin,nov-pre
The Congressional Management Foundation awarded Leahy a 'Silver Mouse Award' for his use of the Internet in his Senate work.,Patrick Leahy,nov-pre
"During his 2012 election, Donnelly claimed in an interview that he did not vote for Nancy Pelosi for Speaker of the House. Politifact rated this statement as 'mostly false.' In two of three Speaker elections, Donnelly did in fact vote for Pelosi.",Joe Donnelly,nov-pre
"George Will has accused him of being a serial liar after he claimed he was the captain of a Harvard swim team when he was never on the swim team and claimed that he had never taken PAC money when he took $220,000 of PAC money.",Richard Blumenthal,nov-pre
"Luis Gutierrez criticized him for seeking criminal records on children near the border with Mexico. Gutierrez said, 'That is shameful behavior. Rather than exploiting children to score political points, how about the senator works with the President to solve a national problem.'",Mark Kirk,nov-pre
"The political watchdog group, Citizens for Responsibility and Ethics in Washington, has criticized Murkowski for taking hundreds of thousands of dollars in campaign contributions from oil companies and then letting their lobbyists draft regulatory language.",Lisa Murkowski,nov-pre
Paralyzed Veterans of America National President Bill Lawson and Executive Director Homer Townsend Jr. criticized Burr for representing 'the worst of politics in this country.',Richard Burr,nov-pre
Wicker received bipartisan criticism for his $6 million earmark for defense contractor Aurora Flight Science.,Roger Wicker,nov-pre
"When King left the governor's office in 2003, he left Maine with a budget deficit.",Angus King,nov-pre
"Warren's push to regulate consumer credit has been shown to make credit more expensive and less available, leaving people poorer.",Elizabeth Warren,nov-pre
Bill Clinton praised him for working with those he disagrees with and claimed that he demonstrates that 'politics can be a noble profession.',Tom Harkin,nov-pre
Agricultural Leaders of Michigan praised her for her role in creating the 2012 Farm Bill.,Debbie Stabenow,nov-pre
Huckabee praised him as 'a conservative champion for peace through strength.',Lindsey Graham,nov-pre
Fischer received a 'Lifetime Achievement Award' from th Nebraska Association of School Boards and an 'Outstanding Board Member Award' from the Nebraska Rural Community Schools Association.,Deb Fischer,nov-pre
The Hispanic Federation praised him for his efforts to protect the Organ Mountains-Desert Peaks public lands.,Martin Heinrich,nov-pre
The Foundation for Ethics in Public Service has accused Boxer of failing to disclose real property on her Personal Financial Disclosure Reports between 2002 and 2010. Boxer failed to disclose a million dollar home she owns.,Barbara Boxer,nov-pre
"After President Obama named three nominees to the U.S. Court of Appeals for the D.C. Circuit in 2013, Grassley argued in a news release that Obama was trying to 'pack' the D.C. Circuit Court of Appeals. Politifact rated this statement as 'false.' Politifact determined that Obama's actions were within the bounds of his constitutional duty to fill court vacancies.",Chuck Grassley,nov-pre
Sociologist W. Bradford Wilcox praised his tax reform proposals for their potential positive effects for working-class families,Mike Lee,nov-pre
"Casey is considered one of the Senate's least effective Senators. In the 112th Congress, he sponsored 199 bills and none became law","Bob Casey, Jr.",nov-pre
Dick Cheney criticized him for receiving funding mainly from Washington-based PACs rather than supporters in his state.,Mike Enzi,nov-pre
Environmentalists criticized Klobuchar for her support of a freeway-scale bridge over the St. Croix River.,Amy Klobuchar,nov-pre
Robert L. Johnson praised him for his efforts to promote minority hiring.,Tim Scott,nov-pre
"The Annenberg Public Policy Center has accused Murray of lying to voters by insisting that if they liked their health insurance plan, they would be able to keep it.",Patty Murray,nov-pre
"Steve Duprey praised her for supporting an immigration reform bill, calling her decision courageous.",Kelly Ayotte,nov-pre
"Obama praised him for his work at the state level on behalf of children, seniors, miners, and others.",Jay Rockefeller,nov-pre
Gillibrand launched the Off The Sidelines PAC in order to encourage women to get involved in politics.,Kirsten Gillibrand,nov-pre
"McFadden praised him for working in the business sector before entering politics, saying that 'we've created this professional class of politician and its killing us'",Ron Johnson,nov-pre
"To booster his bipartisan appeal, McConnell claimed on Meet the Press that Obama is getting his nominees confirmed 'faster than President (George W.) Bush was at the same time in his second term.' Politifact rated this statement as 'false.' The opposite is true. Bush had 129 confirmations compared with 68 for Obama.",Mitch McConnell,nov-pre
Coats received the Leadership Award from the Center for Public Justice for his work to pass laws that will strengthen non-government institutions.,Dan Coats,nov-pre
Cory Booker praised him for his 'wise insights.',John Boozman,nov-pre
Dayton Children's Hospital awarded Brown the A Child's Voice award for his work on children's health.,Sherrod Brown,nov-pre
Sessions claimed that Supreme Court nominee and current justice Elena Kagan had violated U.S. law regarding military recruitment while she was at Harvard Law School. Politifact rated this statement as 'mostly false.' Politifact's research found that Kagan had violated no such law.,Jeff Sessions,nov-pre
Governor Scott and the Republican Party of Florida criticized him for not doing enough to prevent rising flood insurance rates.,Bill Nelson,nov-pre
Bill Clinton praised her for her work on many issues including health care reform.,Mary Landrieu,nov-pre
Republicans criticized Levin for his report on the Treasury Inspector General for Tax Administration's audit findings for not taking seriously the charge that the IRS was used for political gain.,Carl Levin,nov-pre
Shelby won the 2012 American Association for Cancer Research Distinguished Service Award for his commitment to biomedical research to defeat cancer.,Richard Shelby,nov-pre
Democrats praised her for pushing the CIA on possible violations of federal law.,Dianne Feinstein,nov-pre
"When McCain tried to claim that he never considered himself a 'maverick,' Politifact rated this statement as 'pants on fire' false. Politifact found at least 9 instances in which McCain called himself a maverick in his official campaign advertisements.",John McCain,nov-pre
He was criticized for placing pressure on other GOP senators to block a bill on his behalf to extend the national debt limit instead of being more vocal himself.,Ted Cruz,nov-pre
Kevin Wade criticized him for being overly partisan and for making a comment about how Americans should focus more on Ebola deaths in West Africa than on those in the States.,Chris Coons,nov-pre
Senate candidate Matt Silverstein criticized Inhofe for using quotes out of context.,Jim Inhofe,nov-pre
Robert Kenny praised her for her efforts to reform the television industry.,Claire McCaskill,nov-pre
The Council for Quality Respiratory Care praised him for voting against cuts in home oxygen benefits.,Johnny Isakson,nov-pre
Liberal bloggers criticized his change on gay marriage as 'obtuse',Rob Portman,nov-pre
Senator Barbara Boxer criticized him for focusing on attacking the Obama administration instead of pressing issues like ISIS,Bob Corker,nov-pre
Senate candidate Thom Tillis criticized Hagan for supporting regulations and government policies that would destroy jobs in North Carolina and nationwide.,Kay Hagan,nov-pre
Johnson has been tied to a corruption scandal for supporting a controversial immigration investment program known as EB-5.,Tim Johnson,nov-pre
He refused to accept reimbursements for travel expenses related to his Senate duties.,William Proxmire,retired-dead
"Riegle was a member of the Keating Five, a group of Senators accused of improperly aiding savings and loan businessman Charles Keating.","Donald W. Riegle, Jr.",retired-dead
Smith was willing to cross party lines in support of bills for withdrawing troops from Iraq.,Gordon H. Smith,retired-dead
"Yarborough's first major legislative victory was the successful passage of the National Defense Education Act of 1958, which began federal funding of loans and grants to universities and their students",Ralph Yarborough,retired-dead
"In the Senate, Mr. Hecht became known for his verbal slips and miscues.",Chic Hecht,retired-dead
"In 1984, she was co-chairwoman of the platform committee at the RNC.",Paula Hawkins,retired-dead
She was the first woman to serve on the Senate Finance Committee.,Carol Moseley-Braun,retired-dead
"Federal prosecutors accused Gurney and political aides of trying to enrich Gurney's campaign coffers by collecting payoffs from Florida builders in return for federal housing contracts, though he was never convicted on these charges.",Edward Gurney,retired-dead
"As Governor, he increased appropriations for state programs to combat alcoholism and mental illness by more than 50 percent",Clifford Hansen,retired-dead
The National Federation of Independent Business praised Nickles for including in the Senate's 2005 budget a provision that would accelerate by one year complete repeal of the federal estate tax,Don Nickles,retired-dead
President Obama praised Gore for advancing the cause of peace.,Al Gore,retired-dead
"Through his National Forum Foundation, Denton arranged shipments of donated goods to needy countries.",Jeremiah Denton,retired-dead
"The Domenici Institute, which aims to continue 'Domenici's legacy of service to the state of New Mexico,' bears his name.",Pete Domenici,retired-dead
One Rhode Island legislator called Chafee a 'grinch' during the 2012 controversy over whether the statehouse tree would be called a Christmas tree or a Holiday tree.,Lincoln Chafee,retired-dead
"As a judge, Mechem's ruling protected the rights of American Indians on Indian lands from government interference.",Edwin L. Mechem,retired-dead
The New York Times writer Philip Shabecoff said that Stafford 'may give the worst interview of any public official in the capital.',Robert Stafford,retired-dead
Some Florida reporters said that Chiles enjoyed campaigning much more than governing.,Lawton Chiles,retired-dead
The Washington Post called Helms 'one of the most powerful conservatives on Capitol Hill for three decades.',Jesse Helms,retired-dead
The New York Times editorial board endorsed Mr. Lautenberg's candidacy for Senate during the 2008 cycle.,Frank Lautenberg,retired-dead
"Adams was accused by Kari Tupper, the daughter of a longtime friend, of drugging and assaulting her.",Brock Adams,retired-dead
"In 1970, Laxalt lobbied President Nixon to reduce notorious Teamster leader Jimmy Hoffa after Hoffa was convicted of attempting to bribe Nevada Senator Howard Cannon. While Governor, Laxalt worked with Teamster officials on gambling investments in Nevada.",Paul Laxalt,retired-dead
"In 1967, as subcommittee chairman on the Banking Committee, he demonstrated that he could beat the recommendations of stock investors by throwing darts at stock listings.",Thomas J. McIntyre,retired-dead
The Senate Ethics Commission investigated Durenberger for a potential violation of secrecy rules. Durenberger revealed that an Israeli military man was used as an American spy.,David Durenberger,retired-dead
"As a member of the Senate Finance Committee, Thomas was instrumental in passing the Central America Free Trade Agreement.",Craig L. Thomas,retired-dead
Boren has been accused of cronyism in his administrative appointments at the University of Oklahoma.,David L. Boren,retired-dead
"In 2008, Gravel received Columbia's first annual Isaac Asimov Lifetime Achievement Award.",Mike Gravel,retired-dead
"Senator Fong was booed by a hearing audience for defending George Romney, Secretary of Housing and Development, in the wake of a real estate industry scandal.",Hiram Fong,retired-dead
"Even after Nixon resigned, Hruska defended him and claimed Watergate only became a scandal as part of a partisan effort to attack Nixon.",Roman Hruska,retired-dead
"Due to his tactics, some Senators considered him a 'headline hog.'",Howard Metzenbaum,retired-dead
The New York Times columnist James B. Reston referred to him as 'the hottest political article in the Republican Party.',Charles H. Percy,retired-dead
"In 1988, Exon took 10 vacations paid for by lobbying groups.",J. James Exon,retired-dead
Beall served as the President and Chairman of the charity The League for Crippled Children from 1978 until the time of his death.,John G. Beall Jr.,retired-dead
"In an obituary, the New York Times called Stennis 'conscience of the entire institution.'",John C. Stennis,retired-dead
Santorum likened Obamacare to apartheid in South Africa in a Mandela tribute speech and was subsequently accused of being tone-deaf in his response.,Rick Santorum,retired-dead
"The New York Times stated that throughout his time in the Senate, Kerrey had been, 'a respected voice on health care and intelligence and co-chairman of one of those bipartisan commissions to reform entitlement programs.'",Bob Kerrey,retired-dead
Abdnor was chief clerk of the State Legislature in the early 1950s.,James Abdnor,retired-dead
"In 1977, Tydings called for the Board of Regents of the University of Maryland to divest its endowment from companies doing business with the apartheid regime in South Africa.",Joseph Tydings,retired-dead
"Twelve of Martinez's 25 stops on taxpayer-funded domestic trips as Secretary of Housing and Urban Development in 2003 were to Florida cities, at the same time that he was also campaigning for Senate in Florida.",Mel Martinez,retired-dead
The New York Times noted that Heinz was never particularly popular on Capital Hill.,H. John Heinz III,retired-dead
Muskie was known by aides for having a hot temper.,Edmund Muskie,retired-dead
He earned the nickname the 'King of Pork' for focusing nearly all of his legislative efforts on bringing federal funds to North Dakota.,Quentin N. Burdick,retired-dead
"The New York Times characterized him as a 'bald, craggy-looking, none-too-charismatic man.'",Alan Cranston,retired-dead
"President Obama praised Mitchell, stating, 'His deep commitment to resolving conflict and advancing democracy has contributed immeasurably to the goal of two states [Israel and Palestine] living side by side in peace and security.'",George J. Mitchell,retired-dead
"A federal grand jury recommended that Ford be indicted in connection with the insurance scheme, but the U.S. Department of Justice did not act on this recommendation.",Wendell H. Ford,retired-dead
"In 1952, when she was reelected to the state House and her husband was reelected to the state Senate, she won with more votes than her husband.",Maurine B. Neuberger,retired-dead
"Weicker received the John F. Kennedy Library Foundation's Profiles in Courage award for taking an unpopular stand, then holding firm.","Lowell P. Weicker, Jr.",retired-dead
The New York Times writer David Stout characterized Sanford as a 'contradictory politician' and a man who 'lack[ed] burning desire.',Terry Sanford,retired-dead
El Paso Times called him the 'most celebrated' cantidate for New Mexico energy secretary,Harrison Schmitt,retired-dead
"In 1976, while a candidate for the Senate, he angered many Japanese-Americans by asserting that the internment had been beneficial because it helped younger Japanese-Americans break out of the traditional paternalistic family structure.",S. I. Hayakawa,retired-dead
