"Respnum","Sample","VersionQ3_4","VersionQ33","demog_age_list","demog_state","demog_state_region","weather_pastsummer_v3","weather_pastwinter","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","gw_concern","gw_prevent","govt_fed_v2","govt_effectiveness_v2","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_rev4research_v1","carbontax_rev4debt_v2","willing2pay_temprise_open","willing2pay_temprise_coded","gw_techsolveprob","gw_adapt","state_rps_neighbr","carbontax_price_nocost","carbontax_price_8cpg","carbontax_price_42cpg","rps_support_v2","vehicle_evrebate","coalfpp_support_phaseout","wind_noise","wind_climate","wind_visual","wind_jobs","wind_propvalue","wind_mycommunity","coal_leavinground_v2","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Date_Time","Weight"
83,"C","A","B",2,"NY",1,1,3,1,2,2,"LOT WARMER THAN BEFORE",2,1,1,1,1,2,2,3,2,2,1,,,,,,,1,1,1,1,1,"$20.00",2,1,1,4,-9,1,-9,1,1,4,4,4,1,4,4,4,3,3,10,5,,2,1,1,1,2,1,"10/17/2016 6:36:50",1.14
84,"C","A","C",1,"PA",1,5,4,1,1,2,"HOTTER EVERY SUMMER",2,4,2,-9,2,1,1,3,4,2,1,,,,,,,4,4,2,2,3,"NOT SURE",98,2,2,3,-9,-9,3,3,2,2,3,3,3,1,3,3,2,2,2,4,,2,1,98,3,1,1,"10/17/2016 6:37:29",1.61
85,"C","B","B",4,"NC",2,5,2,1,1,98,"LIZARDS ARE APPEARING NEVER HAD LIZARDS BEFORE",10,2,1,98,1,1,1,98,1,2,2,,,,,,,4,4,4,2,4,"ZERO",1,3,98,98,-9,4,-9,1,1,98,98,98,98,1,98,98,3,1,1,2,,3,1,2,1,,2,"10/17/2016 6:38:10",0.85
86,"C","A","B",2,"MD",2,5,2,1,1,2,"STRONGER STORMS",3,1,1,1,2,1,1,3,1,2,1,,,,,,,2,2,2,2,98,"$5.00",2,2,3,2,-9,1,-9,2,2,3,3,3,3,2,3,1,2,2,9,98,,3,1,1,3,3,1,"10/17/2016 6:38:34",2.58
87,"C","B","A",3,"TX",2,5,3,1,2,3,"POPULATION INCREASING",8,2,2,-9,2,2,2,1,3,1,1,,,,,,,2,3,1,3,2,"10 PERCENT",7,3,2,3,2,-9,-9,1,2,2,4,98,2,2,2,2,2,2,1,1,2,2,1,2,3,2,1,"10/17/2016 6:40:12",0.67
88,"C","A","A",4,"IA",3,5,5,2,,,,,,,-9,,,,,,,,1,"I DON'T SEE THE CHANGES",1,1,2,2,4,2,2,2,2,"NEED TO BE OTHER WAYS TO",1,4,2,4,3,-9,-9,1,1,4,4,1,4,1,4,1,1,2,1,2,,3,2,2,1,6,1,"10/17/2016 6:46:20",0.39
89,"C","B","B",1,"NC",2,4,2,1,1,1,"NEWS",6,2,1,1,1,2,2,2,98,1,1,,,,,,,2,2,2,2,2,"$20.00",2,1,4,2,-9,1,-9,4,1,1,4,2,1,2,1,1,2,2,1,6,,4,1,1,4,2,1,"10/17/2016 6:41:29",0.59
90,"C","A","A",4,"MT",4,5,5,2,,,,,,,-9,,,,,,,,2,"WEATHER PATTERNS COME AND GO",2,2,2,2,4,4,4,4,4,"ZERO",1,4,4,4,3,-9,-9,4,4,4,98,98,98,98,98,4,3,1,1,1,2,4,1,2,1,,2,"10/17/2016 6:48:13",0.8
91,"C","B","B",2,"AR",2,1,1,1,1,3,"THE DATA",4,2,1,1,2,2,3,2,2,2,2,,,,,,,4,4,4,2,4,"ZERO",1,2,4,4,-9,4,-9,1,1,4,1,1,4,1,4,1,3,1,1,2,,3,5,4,3,,1,"10/17/2016 6:48:51",0.93
92,"C","B","C",4,"MS",2,5,4,1,1,2,"PERSONAL OBSERVATIONS",2,2,1,2,2,2,3,2,3,98,1,,,,,,,4,2,1,3,4,"ZERO",1,4,4,2,-9,-9,4,2,4,4,4,2,2,3,2,3,1,2,1,1,1,3,1,2,1,3,1,"10/17/2016 6:51:29",0.46
93,"C","A","A",4,"TX",2,5,5,2,,,,,,,-9,,,,,,,,1,"DOES NOT BELIEVE IN THE MEDIA",4,4,1,1,4,4,4,3,2,"ZERO",1,4,1,2,1,-9,-9,3,2,2,2,2,2,2,2,2,2,1,1,2,,2,1,1,3,2,2,"10/17/2016 6:56:03",0.89
94,"C","A","B",4,"KY",2,1,5,1,1,1,"NEWS REPORTS",6,2,1,1,1,1,2,2,4,3,2,,,,,,,4,2,1,1,1,"ZERO",1,2,4,3,-9,4,-9,1,2,3,4,98,3,1,3,2,1,2,1,1,1,4,1,1,2,2,2,"10/17/2016 6:58:10",0.81
95,"C","B","A",2,"MI",3,2,2,1,1,2,"LACK OF RAIN AND HEAT",3,1,1,1,1,1,2,2,3,1,2,,,,,,,1,1,2,2,2,"ABOUT 10 PERCENT",7,4,4,4,1,-9,-9,1,1,4,4,1,4,98,98,4,3,4,1,6,,4,3,1,3,6,1,"10/17/2016 6:58:31",0.83
96,"C","A","A",1,"FL",2,2,2,1,1,1,"HUMAN FACTOR",8,1,1,1,1,1,1,1,3,1,2,,,,,,,1,1,1,1,2,"$20.00",2,2,3,2,1,-9,-9,2,1,2,3,1,2,1,3,1,2,2,9,7,,5,5,2,4,5,1,"10/17/2016 7:00:08",2.06
97,"C","B","B",1,"MI",3,5,5,98,,,,,,,-9,,,,,,,,,,,,,,4,4,4,2,3,"ZERO",1,2,98,98,-9,4,-9,2,98,4,4,98,4,1,3,2,3,1,1,,,2,1,4,3,1,1,"10/17/2016 7:21:10",0.73
98,"C","A","B",2,"OK",2,5,5,98,,,,,,,-9,,,,,,,,,,,,,,3,3,2,2,3,"ZERO",1,2,3,98,-9,3,-9,98,3,3,3,3,4,2,98,2,98,1,,,,,5,,3,,1,"10/17/2016 7:24:39",1.09
99,"C","A","A",3,"FL",2,3,2,1,3,2,"MELTING ICE",1,4,1,2,1,2,3,4,2,4,4,,,,,,,4,4,4,4,4,"ZERO",1,2,4,3,4,-9,-9,2,2,4,4,2,3,2,2,2,3,2,1,2,,5,1,4,1,4,2,"10/17/2016 7:27:18",1.04
100,"C","B","A",2,"MS",2,5,5,98,,,,,,,-9,,,,,,,,,,,,,,2,2,2,2,2,"$125.00",4,2,3,2,2,-9,-9,98,2,98,98,2,98,2,98,2,2,3,2,7,,3,1,,,5,1,"10/17/2016 7:33:13",1.71
101,"C","A","A",1,"UT",4,5,2,2,,,,,,,-9,,,,,,,,1,"NORMAL CHANGING SEASONS",2,1,2,2,4,4,2,2,2,"I  WOULD RATHER INVEST IN",1,1,98,3,4,-9,-9,1,1,1,4,98,4,2,4,2,2,4,1,1,2,4,1,2,1,3,1,"10/17/2016 7:33:57",0.6
102,"C","B","A",2,"IN",3,5,2,2,,,,,,,-9,,,,,,,,2,"ITS JUST RUNNING A NORMAL PATTERN",2,3,2,1,3,4,4,4,4,"NOT SURE",98,3,3,3,4,-9,-9,1,2,4,4,98,3,1,98,1,3,1,1,,,3,4,2,3,5,1,"10/17/2016 7:46:32",0.83
103,"C","B","A",3,"CA",4,2,5,98,,,,,,,-9,,,,,,,,,,,,,,4,4,4,4,4,"ZERO",1,4,4,4,4,-9,-9,2,4,4,98,4,98,2,2,2,98,1,1,1,1,3,1,2,1,2,2,"10/17/2016 7:48:09",1.05
104,"C","A","B",1,"AZ",4,1,3,1,1,1,"WHAT DATA IS SHOWING",4,1,1,1,1,1,1,1,1,1,1,,,,,,,4,1,1,1,4,"$60.00",3,1,4,98,-9,1,-9,1,1,1,4,1,4,1,4,1,2,5,1,7,,5,5,1,5,3,2,"10/17/2016 7:48:18",0.96
105,"C","A","A",1,"IL",3,5,5,1,1,1,"ICE CAPS MELTING AND OTHER THINGS",1,2,1,1,2,1,3,2,2,2,2,,,,,,,4,2,1,1,4,"ZERO",1,1,4,98,4,-9,-9,2,2,1,4,1,4,2,4,1,2,1,1,1,2,4,5,4,98,3,1,"10/17/2016 7:49:02",0.6
106,"C","B","C",3,"MI",3,5,2,1,1,3,"JET STREAMS AND POPULATION",10,1,1,1,1,2,2,1,2,1,2,,,,,,,4,3,3,2,3,"ZERO",1,2,4,4,-9,-9,4,2,4,2,3,2,2,2,2,2,3,1,1,6,,2,1,4,1,5,1,"10/17/2016 7:49:57",0.56
107,"C","B","B",3,"IL",3,5,5,1,2,3,"ICE MELTING",1,2,2,-9,2,1,3,3,3,1,1,,,,,,,3,98,98,98,3,"ZERO",1,2,3,98,-9,98,-9,2,98,3,98,98,4,2,2,4,3,1,1,1,2,2,5,4,3,,2,"10/17/2016 7:51:17",1.07
108,"C","A","B",3,"CA",4,1,5,1,1,3,"WEATHER, REPORTS",3,2,1,1,1,2,2,2,2,4,2,,,,,,,98,4,4,4,4,"NOT SURE",98,2,3,3,-9,3,-9,3,2,3,3,2,2,1,3,2,3,1,1,2,,4,1,98,3,6,1,"10/17/2016 7:52:07",0.53
109,"C","A","B",1,"TX",2,5,3,98,,,,,,,-9,,,,,,,,,,,,,,4,98,4,3,2,"ZERO",1,2,2,4,-9,3,-9,4,4,4,4,2,4,3,2,2,1,1,1,6,,4,6,4,3,5,1,"10/17/2016 7:53:27",0.48
110,"C","B","A",4,"CA",4,1,2,1,1,1,"MANKIND ACTIVITIES",8,1,1,1,1,4,1,1,3,1,1,,,,,,,1,2,2,2,2,"$10.00",2,3,3,2,2,-9,-9,1,2,3,4,2,3,1,98,2,3,3,1,7,,4,1,4,3,,1,"10/17/2016 7:55:22",0.39
111,"C","A","B",2,"WA",4,5,2,98,,,,,,,-9,,,,,,,,,,,,,,1,2,1,4,1,"NOT SURE",98,1,2,3,-9,2,-9,1,1,2,4,2,4,1,3,1,2,4,1,6,,3,5,3,3,4,1,"10/17/2016 7:55:48",1.03
112,"C","B","C",1,"NJ",1,1,2,2,,,,,,,-9,,,,,,,,1,"PERSONAL OBSERVATION",1,1,1,2,98,1,98,1,4,"NOT SURE",98,3,4,2,-9,-9,2,1,2,98,4,98,2,1,4,1,2,2,1,6,,4,5,4,1,3,2,"10/17/2016 8:04:29",1.01
113,"C","A","C",2,"CT",1,3,2,1,2,3,"SCIENCE",4,3,1,2,1,4,4,4,1,1,4,,,,,,,2,3,1,4,3,"ZERO",1,2,2,2,-9,-9,2,2,4,4,4,2,4,1,1,1,1,2,1,1,2,5,5,2,2,5,1,"10/17/2016 8:04:14",0.73
114,"C","B","A",1,"MA",1,1,3,1,1,3,"OVER POPULATION",8,1,1,1,1,1,1,1,2,2,1,,,,,,,4,2,2,1,4,"$50.00",2,1,4,1,1,-9,-9,1,1,3,3,2,3,2,98,1,2,4,9,1,2,4,5,1,4,3,1,"10/17/2016 8:06:24",2.23
115,"C","A","B",3,"OK",2,1,98,98,,,,,,,-9,,,,,,,,,,,,,,4,4,1,1,1,"ZERO",1,4,1,2,-9,4,-9,1,4,4,98,4,1,1,1,1,1,3,1,2,,2,1,,3,6,1,"10/17/2016 8:10:18",0.61
116,"C","B","A",4,"AZ",4,1,2,98,,,,,,,-9,,,,,,,,,,,,,,2,2,1,1,4,"$10.00",2,1,2,2,3,-9,-9,1,1,4,2,2,3,1,3,2,3,2,1,1,1,2,1,1,4,3,1,"10/17/2016 8:15:19",0.49
117,"C","B","B",4,"TX",2,5,5,2,,,,,,,-9,,,,,,,,1,"CONSISTANT  CLIMATE",1,4,2,4,4,4,1,1,2,"ZERO",1,4,4,4,-9,4,-9,4,4,4,98,98,1,4,1,3,1,1,1,1,1,5,5,2,2,4,2,"10/17/2016 8:16:46",0.85
118,"C","A","C",4,"PA",1,5,2,1,2,1,"WHEN YOUNGER IT WAS COOLER",2,2,1,1,1,2,1,4,1,2,2,,,,,,,3,3,2,2,2,"NOT SURE",98,2,4,4,-9,-9,4,1,2,2,98,2,98,1,4,1,3,1,1,2,,2,1,4,4,4,1,"10/17/2016 8:18:54",0.57
119,"C","B","A",4,"KS",3,3,2,1,2,3,"MELTING OF ICE CAPS AND DISAPPEARING GLACIERS",1,3,1,1,1,1,2,98,2,2,1,,,,,,,1,2,1,1,4,"15 PERCENT",7,2,3,3,1,-9,-9,1,2,3,3,2,3,2,98,1,3,3,1,1,2,5,4,4,3,5,1,"10/17/2016 8:20:30",0.24
120,"C","A","B",2,"CA",4,5,2,98,,,,,,,-9,,,,,,,,,,,,,,98,98,2,2,4,"ZERO",1,2,4,1,-9,4,-9,2,2,98,3,3,4,2,3,2,98,1,1,1,1,3,3,2,98,,1,"10/17/2016 8:22:48",0.93
121,"C","A","C",3,"NE",3,5,2,1,1,1,"SCIENTISTS HAVE PROVEN IT",4,1,1,1,2,1,2,2,2,4,2,,,,,,,2,2,3,1,3,"NOT SURE",98,2,3,3,-9,-9,1,1,1,1,2,1,3,2,3,2,2,4,1,1,2,3,4,1,2,6,2,"10/17/2016 8:26:09",0.99
122,"C","B","C",4,"MS",2,1,1,1,1,1,"FOSSIL FUEL",8,1,1,1,1,1,1,1,3,1,3,,,,,,,1,2,2,3,1,"$20.00",2,1,2,2,-9,-9,4,2,1,1,4,1,2,2,2,2,2,2,2,1,1,5,1,3,3,,2,"10/17/2016 8:26:05",1.63
123,"C","B","A",2,"LA",2,2,1,1,1,1,"CARBON AND VAPOR",10,2,1,2,2,1,1,4,2,1,2,,,,,,,2,1,4,1,98,"NOT SURE",98,3,2,1,4,-9,-9,1,1,1,98,2,4,1,98,1,2,98,1,6,,3,5,4,98,4,1,"10/17/2016 8:30:05",1.03
124,"C","B","A",1,"TX",2,1,5,1,1,1,"THE MOON SHIFTING",10,1,2,-9,1,2,3,2,2,2,3,,,,,,,1,1,1,1,3,"$10.00",2,1,3,3,3,-9,-9,1,1,4,2,2,98,1,2,3,3,1,1,1,2,2,1,4,5,,1,"10/17/2016 8:32:42",0.66
125,"C","A","C",3,"TX",2,1,5,1,3,2,"REMEMBER GROWING UP IT WAS COOLER",2,2,2,-9,2,2,2,2,3,2,4,,,,,,,3,2,1,1,2,"NOT SURE",98,2,3,2,-9,-9,2,2,1,2,4,1,4,2,4,2,3,2,1,1,2,3,1,4,3,1,2,"10/17/2016 8:37:37",1.11
126,"C","B","B",3,"TX",2,1,1,1,1,3,"NEWS",6,4,1,1,1,1,1,1,2,2,1,,,,,,,4,4,4,4,4,"ZERO",1,2,3,3,-9,4,-9,2,2,4,3,3,3,2,3,2,3,1,1,,,4,1,1,3,4,1,"10/17/2016 8:39:38",0.68
127,"C","B","B",1,"IL",3,2,2,98,,,,,,,-9,,,,,,,,,,,,,,98,2,1,2,2,"ZERO",1,2,4,98,-9,4,-9,2,1,2,3,2,4,98,98,2,2,4,10,98,,4,1,4,3,4,2,"10/17/2016 8:42:40",1.26
128,"C","A","C",3,"AZ",4,1,5,1,1,98,"EACH YEAR IS HOTTER THAN PREVIOUS",2,1,1,1,2,2,1,1,3,4,3,,,,,,,2,1,3,1,4,"ZERO",1,2,4,2,-9,-9,4,2,4,4,3,2,1,2,4,4,98,1,1,6,,2,5,4,1,3,1,"10/17/2016 8:43:00",0.68
129,"C","B","A",3,"OH",3,2,2,2,,,,,,,-9,,,,,,,,2,"TEMPERATURE ALWAYS FLUCTUATING",2,4,4,2,4,4,4,3,4,"ZERO",1,1,4,1,3,-9,-9,3,4,4,98,4,3,3,1,3,1,1,1,1,1,3,1,2,3,3,2,"10/17/2016 8:46:39",1.06
130,"C","B","C",2,"CA",4,3,2,1,1,3,"HUMAN FACTORS",8,2,1,1,1,1,1,1,1,2,1,,,,,,,2,2,1,1,2,"$20.00 OR MORE",7,3,4,4,-9,-9,4,2,2,2,3,1,3,3,3,1,2,2,9,6,,2,1,1,3,5,2,"10/17/2016 8:51:25",2.9
131,"C","A","B",1,"AZ",4,5,2,1,1,98,"MELTING ICEBERGS",1,2,1,1,98,1,3,2,2,1,1,,,,,,,1,1,1,4,4,"$15.00",2,2,4,1,-9,4,-9,1,1,98,4,1,4,1,4,1,2,4,1,1,2,3,5,1,3,6,1,"10/17/2016 8:56:15",0.58
132,"C","B","C",1,"MO",3,5,2,1,3,1,"WARMER WEATHER",2,3,1,2,2,3,2,3,98,1,1,,,,,,,3,4,1,3,1,"ZERO",1,1,4,4,-9,-9,4,1,3,2,4,1,4,1,4,1,3,2,1,1,1,2,5,2,2,2,1,"10/17/2016 8:56:24",0.67
133,"C","A","A",2,"CA",4,3,1,1,2,1,"PESTICIDES",8,1,1,1,1,1,2,1,4,1,4,,,,,,,98,3,1,2,1,"$20.00",2,98,4,4,4,-9,-9,1,1,2,4,1,4,1,4,1,2,1,2,2,,2,5,1,2,3,2,"10/17/2016 9:02:11",2.27
134,"C","A","C",1,"CA",4,5,1,1,3,2,"NATURAL CAUSES ONLY",9,3,98,2,1,3,2,3,3,2,1,,,,,,,1,2,2,1,2,"NOT SURE",98,2,4,3,-9,-9,2,1,1,1,4,3,3,2,3,2,3,4,9,1,2,3,5,4,3,3,2,"10/17/2016 9:00:14",2.69
135,"C","B","C",1,"TX",2,1,5,1,2,1,"WARMER THAN SHOULD BE IN OCTOBER",2,2,1,1,1,3,1,3,1,1,2,,,,,,,3,2,2,3,1,"NOT SURE",98,2,4,2,-9,-9,2,1,3,2,3,98,3,1,3,1,2,4,9,2,,2,1,4,3,3,2,"10/17/2016 9:02:27",2.72
136,"C","B","C",1,"ND",3,5,1,1,1,1,"INCREASING HUMAN POPULATION AND ACTIVITIES",8,1,1,1,1,2,1,1,3,1,1,,,,,,,4,3,2,2,4,"ZERO",1,1,4,2,-9,-9,4,2,4,3,1,2,1,2,2,98,1,1,5,1,2,2,5,2,1,3,2,"10/17/2016 9:11:07",1.82
137,"C","A","B",3,"ND",3,5,5,98,,,,,,,-9,,,,,,,,,,,,,,4,4,4,4,4,"ZERO",1,1,98,1,-9,4,-9,4,4,4,98,4,1,2,1,98,3,1,1,1,2,4,1,4,3,,1,"10/17/2016 9:15:10",0.58
138,"C","A","B",1,"UT",4,5,5,1,2,3,"THE NEWS",6,3,1,1,1,1,2,4,1,2,1,,,,,,,98,3,2,98,98,"ZERO",1,2,3,2,-9,3,-9,2,2,98,98,98,4,2,2,2,3,2,1,1,1,4,5,4,2,,2,"10/17/2016 9:24:51",0.99
139,"C","B","A",4,"KS",3,5,98,2,,,,,,,-9,,,,,,,,1,"IT'S THE WAY GOD WANTS IT",6,1,1,1,1,1,1,1,1,"ZERO",1,4,4,4,4,-9,-9,1,1,4,1,3,2,2,2,3,3,1,1,1,2,3,1,4,5,,1,"10/17/2016 9:21:41",0.44
140,"C","B","C",1,"LA",2,3,3,1,1,3,"HUMAN FACTORS",8,2,1,1,1,1,2,1,3,2,2,,,,,,,2,3,1,2,2,"$50.00",2,1,3,3,-9,-9,2,1,2,3,2,2,3,3,3,3,2,2,10,6,,4,5,1,4,1,2,"10/17/2016 9:27:24",1.23
141,"C","A","A",2,"WI",3,3,2,1,2,3,"MELTING ICE",1,2,1,1,1,1,1,1,1,1,2,,,,,,,1,1,1,1,2,"$100-200",4,3,4,2,1,-9,-9,1,2,2,4,1,4,1,4,1,2,6,1,2,,5,4,4,4,5,2,"10/17/2016 9:30:16",1.14
142,"C","B","C",4,"AZ",4,5,5,1,1,1,"PERSONAL OBSERVATION",2,1,1,1,1,2,2,2,1,1,1,,,,,,,1,2,1,1,98,"ZERO",1,1,4,2,-9,-9,4,2,4,4,3,2,3,2,1,4,3,2,1,2,,4,2,1,3,3,1,"10/17/2016 9:32:08",0.41
143,"C","A","B",2,"AL",2,5,2,2,,,,,,,-9,,,,,,,,1,"EVIDENCE",5,2,4,1,4,4,1,3,1,"$5.00",2,1,2,1,-9,4,-9,4,1,3,98,98,98,2,1,98,3,2,1,2,,5,5,2,2,6,1,"10/17/2016 9:34:40",0.78
144,"C","B","B",4,"CA",4,5,5,2,,,,,,,-9,,,,,,,,1,"CYCLES",2,1,4,3,2,98,4,2,4,"ZERO",1,4,98,1,-9,4,-9,1,2,4,4,4,4,1,98,1,1,1,1,6,,3,1,2,1,,1,"10/17/2016 9:36:05",0.44
145,"C","B","B",4,"WA",4,2,2,2,,,,,,,-9,,,,,,,,1,"PATTERNS CYCLES",2,2,2,2,4,4,98,1,4,"ZERO",1,4,4,98,-9,4,-9,1,4,4,3,4,4,98,98,1,1,1,1,1,1,5,2,2,1,2,2,"10/17/2016 9:37:59",0.76
146,"C","A","C",1,"TX",2,2,2,1,1,3,"BEETLE POPULATION IS INCREASING EVERY YEAR",10,1,1,1,1,1,1,1,2,3,2,,,,,,,1,1,1,1,2,"$200.00",4,2,1,2,-9,-9,1,1,1,1,4,1,3,1,4,1,2,5,10,6,,2,5,4,5,2,1,"10/17/2016 9:41:58",0.84
147,"C","B","A",1,"AK",4,5,5,1,2,1,"HUMAN ACTIVITY",8,2,1,1,1,1,1,1,1,1,1,,,,,,,2,2,2,2,2,"$20.00",2,2,3,2,2,-9,-9,2,2,2,3,2,3,2,3,1,2,2,5,2,,4,1,4,3,2,1,"10/17/2016 9:43:02",1.32
148,"C","B","B",4,"WA",4,5,5,98,,,,,,,-9,,,,,,,,,,,,,,3,98,4,3,3,"ZERO",1,4,3,3,-9,3,-9,3,3,3,3,98,4,2,3,3,2,1,,,,,,,,,2,"10/17/2016 9:47:13",1.01
149,"C","A","B",1,"TX",2,5,2,98,,,,,,,-9,,,,,,,,,,,,,,1,2,1,1,2,"ZERO",1,98,98,98,-9,98,-9,1,4,4,3,98,3,1,98,1,3,3,9,6,,2,4,98,98,98,1,"10/17/2016 9:54:43",2.29
150,"C","B","C",2,"FL",2,2,2,1,1,3,"SCIENTIFIC FACTS",4,1,2,-9,2,1,1,2,1,1,1,,,,,,,1,1,1,1,2,"NOT SURE",98,2,4,4,-9,-9,2,1,1,1,4,1,4,1,4,1,2,5,1,1,2,3,5,2,2,3,1,"10/18/2016 5:13:34",0.95
151,"C","B","A",1,"NC",2,5,1,1,1,1,"NO MORE WINTERS IT'S JUST WARMER",3,3,2,-9,1,1,1,2,1,3,2,,,,,,,98,2,2,2,2,"$10.00",2,1,4,1,4,-9,-9,1,1,4,3,2,2,1,2,2,3,2,9,2,,2,1,4,4,2,1,"10/18/2016 5:09:05",2.3
152,"C","A","C",1,"OH",3,1,3,1,1,1,"WEATHER CHANGES, POPULATION, VISUAL CHANGES IN ENVIRONMENT",3,1,1,1,1,1,1,1,2,1,1,,,,,,,1,1,1,1,1,"$150.00",4,1,4,4,-9,-9,1,1,1,1,4,2,4,2,4,1,2,3,1,6,,2,1,1,1,4,2,"10/18/2016 5:18:45",1.17
153,"C","B","A",4,"VA",2,2,5,2,,,,,,,-9,,,,,,,,2,"CLIMATE IS JUST A NORMAL CYCLE",2,2,2,3,3,3,3,3,4,"ZERO",1,3,2,3,3,-9,-9,2,2,4,2,2,2,3,3,2,1,1,1,2,,2,1,2,2,3,1,"10/18/2016 5:19:13",0.49
154,"C","B","B",2,"TN",2,2,4,1,1,3,"SINCE 1942 TEMPERATURES HAVE INCREASED",2,2,1,1,1,2,2,2,2,3,2,,,,,,,2,2,4,4,3,"$25.00",2,1,4,2,-9,2,-9,2,2,98,3,1,3,1,98,4,3,2,1,6,,4,5,1,3,6,1,"10/18/2016 5:20:46",0.83
155,"C","A","A",2,"MA",1,3,5,98,,,,,,,-9,,,,,,,,,,,,,,98,3,2,98,98,"ZERO",1,2,3,2,3,-9,-9,2,3,2,3,3,3,2,98,3,2,1,9,2,,3,1,1,98,,1,"10/18/2016 5:20:50",2.56
156,"C","B","B",4,"KY",2,1,1,1,1,1,"HUMAN FACTOR",8,1,1,1,1,1,1,1,2,1,1,,,,,,,1,1,1,1,4,"$40.00",2,3,4,3,-9,1,-9,1,1,1,4,1,2,1,2,1,2,5,1,,,5,1,4,3,6,1,"10/18/2016 5:23:45",0.29
157,"C","A","B",1,"MD",2,3,2,1,1,3,"SCIENCE",4,3,2,-9,1,1,3,2,1,4,2,,,,,,,2,2,1,1,2,"$10.00",2,2,3,3,-9,3,-9,3,1,2,3,1,1,2,1,1,2,2,5,,,3,5,2,3,,2,"10/18/2016 5:24:07",1.77
158,"C","B","A",1,"FL",2,5,3,1,1,1,"CARS",8,1,1,1,1,1,1,1,1,1,2,,,,,,,2,2,1,1,2,"$5.00",2,1,3,3,4,-9,-9,1,1,4,2,2,1,1,2,2,3,2,1,1,1,3,1,2,2,6,2,"10/18/2016 5:26:45",0.99
159,"C","A","B",1,"NY",1,2,5,1,2,1,"MEDIA",6,2,1,1,1,2,2,2,2,98,2,,,,,,,98,3,2,1,2,"ZERO",1,2,4,3,-9,2,-9,2,1,98,2,2,4,98,98,1,3,2,2,6,,4,5,1,2,2,1,"10/18/2016 5:27:30",1.47
160,"C","B","A",4,"OH",3,5,5,98,,,,,,,-9,,,,,,,,,,,,,,98,98,98,98,98,"ZERO",1,2,2,3,98,-9,-9,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,,3,,2,"10/18/2016 5:33:09",1.15
161,"C","A","B",1,"MD",2,5,3,98,,,,,,,-9,,,,,,,,,,,,,,4,2,2,1,4,"$5.00",2,98,4,98,-9,4,-9,2,1,4,3,2,4,98,2,1,98,3,1,1,2,4,1,2,1,3,2,"10/18/2016 5:33:55",1.01
162,"C","A","C",3,"NH",1,2,3,1,1,1,"PERSONAL OBSERVATION",2,1,1,1,1,1,1,1,1,1,3,,,,,,,1,1,1,1,4,"ZERO",1,2,4,2,-9,-9,3,1,1,1,4,2,3,98,98,1,2,3,1,6,,4,1,1,1,6,1,"10/18/2016 5:35:41",0.53
163,"C","B","A",1,"IL",3,2,1,1,1,3,"SCIENTIFIC ARTICLES HE HAS READ",4,2,1,1,1,2,2,3,2,2,3,,,,,,,2,2,3,1,2,"$20.00",2,1,2,2,2,-9,-9,2,2,98,98,98,98,98,98,4,98,4,1,7,,5,5,4,3,,1,"10/18/2016 5:34:46",0.53
164,"C","A","A",3,"NJ",1,2,5,1,1,3,"SCIENTIFIC EVIDENCE SHOWS IT GETTING WARMER",4,2,1,1,1,1,1,1,1,1,1,,,,,,,2,1,4,1,4,"15 PERCENT",7,2,4,3,2,-9,-9,1,1,2,98,1,3,1,2,1,2,4,1,1,2,4,5,1,4,6,2,"10/18/2016 5:41:16",0.94
165,"C","B","B",3,"NC",2,1,1,1,1,3,"HOTTER NOW, NO AIR CONDITIONING IN THE PAST",2,1,1,1,1,1,1,1,2,2,1,,,,,,,3,1,1,1,1,"NOT SURE",98,1,3,98,-9,3,-9,1,1,3,4,1,1,1,3,1,2,3,1,,,5,5,4,3,,2,"10/18/2016 5:41:57",0.94
166,"C","A","B",2,"MN",3,2,2,1,1,1,"HUMAN FACTOR",8,1,1,1,1,2,2,2,1,1,1,,,,,,,2,2,1,2,1,"$20.00",2,1,3,3,-9,2,-9,1,2,2,4,2,3,2,98,2,2,3,1,2,,5,5,4,3,6,1,"10/18/2016 5:42:16",0.78
167,"C","B","B",1,"TN",2,2,5,2,,,,,,,-9,,,,,,,,1,"NOT SURE",9,2,2,2,2,1,2,1,2,"$5.00",2,2,1,2,-9,3,-9,2,2,4,4,98,4,1,2,2,2,2,1,6,,3,1,3,3,,2,"10/18/2016 5:44:29",1.04
168,"C","A","B",3,"NC",2,5,2,1,1,1,"STUDIES",4,2,2,-9,1,1,2,3,2,2,2,,,,,,,4,2,1,3,2,"ZERO",1,2,4,4,-9,1,-9,1,2,4,4,1,4,1,4,1,1,3,1,2,,5,5,2,1,3,1,"10/18/2016 5:46:15",0.55
