"Respnum","sample","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_unipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","gw_sciencelimitimpact","gw_geoengrharm","gw_geoengr","gw_adapt","gw_adapteasy","govt_fed","govt_state","govt_local","gastax_support_v2","gastax_support_fee","captrade_support_limit","captrade_support_cap","electrictax_support_v2","electrictax_support_v3","captrade_support_v1","captrade_rev4renewbls","captrade_rev4debt","carbontax_support","carbontax_rev4renewbls","carbontax_rev4debt_v1","carbontax_rev4inctax","carbontax_revfed_v1","carbontax_revstate","willing2pay_list","intl_support_v1","intl_support_cost","intl_support_china_v1","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
89,"A",12,4,3,"CA",4,1,1,3,1,1,"WEATHER",3,1,1,1,1,1,,1,1,1,1,,,,,,,4,4,3,4,4,2,2,1,4,4,1,1,1,1,,1,,98,,1,1,4,2,1,3,,1,,3,1,2,2,3,9,2,,3,1,1,4,5,2,3.28
90,"A",12,4,4,"IL",3,1,1,1,1,1,"WINTERS ARE UNUSUALLY WARM",2,1,1,98,2,4,,1,2,2,2,,,,,,,3,3,3,3,3,2,3,2,2,2,1,1,1,1,,1,,1,,2,2,2,2,2,2,,1,,2,2,2,2,2,1,1,2,2,1,1,4,1,2,0.9
91,"A",12,4,3,"NC",2,2,,,,,,,,,,,,,,,,,1,"IT IS WHAT IT IS AND IT IS STILL COLD",1,1,4,4,1,2,1,2,3,98,1,3,4,4,2,2,2,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,2,1,1,1,3,1,2,2,3,1,0.63
92,"A",12,4,3,"MI",3,98,,,,,,,,,,,,,,,,,,,,,,,2,2,98,2,98,98,2,98,3,3,2,2,2,2,,98,,2,,98,98,3,4,3,4,,6,,1,4,4,3,2,1,3,,2,1,,,,2,0.85
93,"B",12,4,3,"ME",1,1,1,3,2,2,"CHANGING WEATHER",3,2,1,3,2,,3,1,2,3,1,,,,,,,3,3,3,3,4,2,4,3,3,3,2,2,2,,2,,1,,2,2,2,4,4,4,,4,,1,1,2,3,4,3,1,1,1,3,1,4,3,,2,0.73
94,"B",12,4,3,"MN",3,1,2,3,2,2,"ICE MELTING",1,1,1,2,3,,98,2,2,4,4,,,,,,,3,2,3,2,3,2,2,2,3,3,1,2,2,,1,,98,,2,2,2,1,2,2,,2,,3,3,2,3,3,1,1,2,,3,1,4,,,1,0.63
95,"B",12,4,3,"IL",3,1,1,1,1,1,"NEWS AND POLAR ICE CAPS",6,1,1,1,1,,1,1,1,1,1,,,,,,,4,4,4,4,4,3,2,98,3,3,2,2,2,,1,,1,,1,2,1,1,1,1,,2,,1,3,1,2,2,3,1,2,,5,1,1,3,,2,0.31
96,"A",12,4,3,"GA",2,1,1,1,1,1,"POLLUTION",8,4,4,3,1,2,,4,4,1,1,,,,,,,4,4,4,4,4,98,3,4,4,4,1,1,2,1,,1,,1,,1,1,1,1,1,1,,1,,6,1,1,1,2,1,2,,5,1,3,5,5,2,0.31
97,"B",12,4,4,"WI",3,1,2,2,3,2,"SUMMERS ARE WARMER THAN USUAL",2,1,1,98,2,,98,2,98,1,4,,,,,,,4,3,98,2,2,2,1,98,4,4,98,98,98,,2,,98,,2,,,,4,2,,98,,1,2,,,,2,1,2,,3,5,4,2,,2,0.78
98,"B",12,4,1,"MN",3,1,4,3,1,1,"WEATHER",3,1,1,98,2,,98,1,1,1,3,,,,,,,1,1,4,3,1,3,1,2,4,3,98,98,98,,2,,2,,1,1,2,2,2,2,,1,,4,2,1,,4,1,9,,,3,6,4,4,,1,4.41
99,"B",12,4,3,"MO",3,2,,,,,,,,,,,,,,,,,4,"COLD WINTERS",1,1,2,4,2,1,1,1,1,4,1,1,3,1,1,1,1,,2,,1,,2,2,1,2,3,2,,2,,4,3,98,98,98,2,1,1,1,3,1,2,2,,2,0.73
100,"B",12,4,2,"TX",2,2,,,,,,,,,,,,,,,,,1,"MY PERSONAL OPINION",8,1,4,4,1,1,1,1,1,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,2,1,1,2,4,1,2,1,4,1,0.84
101,"A",12,4,4,"MA",1,2,,,,,,,,,,,,,,,,,2,"READING AND LISTENING",5,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,,2,,2,,3,3,3,3,3,3,,6,,1,3,3,3,2,5,2,,4,1,2,2,,1,1.11
102,"B",12,4,3,"NY",1,98,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,98,3,2,3,2,2,98,98,98,,2,,2,,2,98,98,3,4,3,,2,,5,2,2,2,3,2,1,6,,3,2,4,2,2,1,0.63
103,"B",12,5,3,"CA",4,1,1,1,1,1,"GOING ON ALL OVER THE WORLD",9,1,2,98,98,,2,,1,98,1,,,,,,,3,4,4,4,3,4,98,2,3,1,1,1,2,,98,,98,,1,2,2,4,1,1,,98,,1,3,1,4,2,2,10,6,,4,5,3,4,,2,0.91
104,"A",12,5,3,"CA",4,1,2,1,1,1,"NEWS",6,1,1,1,2,2,,2,2,2,2,,,,,,,4,2,2,3,3,2,2,2,2,3,2,2,2,2,,2,,2,,3,98,4,4,4,4,,1,,1,98,4,4,2,1,6,,3,1,4,3,3,1,0.63
105,"A",12,5,3,"AZ",4,1,1,1,1,1,"READING",6,1,1,1,1,1,,4,1,1,1,,,,,,,4,4,4,4,4,98,98,2,4,4,1,1,1,1,,2,,2,,3,2,3,1,1,3,,1,,98,2,2,2,3,1,1,2,2,1,1,5,4,2,0.85
106,"A",12,5,4,"IL",3,1,1,2,1,1,"VAPORIZING THE EARTH WITH SMOG",8,1,1,2,98,1,,2,1,2,1,,,,,,,4,3,1,2,1,3,1,2,3,3,2,2,2,2,,2,,2,,4,4,4,4,4,4,,1,,1,3,3,4,3,1,2,,3,1,1,2,98,2,0.78
107,"A",12,5,3,"VA",2,1,1,2,2,2,"WINTERS ARE NOT AS COLD",2,2,2,2,98,3,,2,98,2,2,,,,,,,1,1,2,1,1,4,1,4,1,98,2,2,3,2,,2,,2,,4,1,1,1,1,1,,3,,5,4,4,4,2,1,1,1,3,3,4,3,4,1,0.63
108,"A",12,5,3,"NY",1,2,,,,,,,,,,,,,,,,,1,"NATURAL",2,1,4,4,1,1,1,1,2,98,1,98,98,1,3,3,3,2,,2,,2,,1,3,4,4,1,1,,3,,1,4,4,1,1,1,1,1,4,2,2,2,6,2,0.36
109,"A",12,5,4,"ID",4,2,,,,,,,,,,,,,,,,,2,"SOME YEARS",1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,,1,,2,,2,98,98,3,3,2,,1,,1,3,3,3,2,1,98,,4,1,2,1,5,1,0.31
110,"B",12,5,2,"AL",2,1,1,1,1,1,"HOLES IN THE OZONE LAYERS",10,2,2,2,3,,3,2,1,2,2,,,,,,,4,3,4,3,3,2,3,98,2,2,1,2,2,,1,,1,,1,1,1,2,1,1,,3,,1,3,2,2,3,2,1,2,,3,2,1,4,4,1,1.21
111,"B",12,5,3,"WV",2,1,2,1,2,2,"NEWS BROADCASTS",6,2,2,2,4,,2,2,4,2,4,,,,,,,3,3,2,3,3,3,4,3,4,2,2,2,2,,2,,2,,2,3,3,4,4,4,,4,,6,5,2,4,2,1,1,1,1,3,5,2,2,6,1,0.63
112,"B",12,5,2,"WV",2,1,1,1,1,1,"READING",6,1,1,98,3,,98,2,2,2,2,,,,,,,3,2,4,3,4,3,3,2,4,3,1,1,1,,2,,1,,2,2,1,2,1,2,,2,,3,98,3,3,3,2,1,1,98,5,2,,3,,2,0.89
113,"A",12,5,4,"IA",3,1,1,3,1,1,"VERY CONFIDENT",10,1,1,1,1,98,,3,98,2,1,,,,,,,4,4,4,4,4,98,1,98,,4,1,3,3,,,,,,,98,2,,2,98,98,,,,98,2,2,98,2,1,1,2,4,98,,98,98,1,0.31
114,"A",12,5,3,"OH",3,1,2,2,2,2,"WORLD IS GETTING READY TO END",10,1,2,4,2,4,,3,1,2,2,,,,,,,4,4,1,2,4,4,1,4,4,4,1,1,1,2,,2,,2,,2,2,2,4,4,4,,1,,2,98,98,98,2,1,1,1,2,1,1,3,2,2,0.85
115,"A",12,5,3,"OK",2,2,,,,,,,,,,,,,,,,,2,"NATURE AND CYCLES",2,1,3,4,2,98,1,2,4,3,1,3,4,4,2,3,3,2,,1,,2,,1,1,1,4,4,4,,1,,3,2,4,98,2,1,1,2,3,2,2,1,3,2,0.73
116,"B",12,5,3,"WV",2,2,,,,,,,,,,,,,,,,,2,"TRANSIENT FACTORS",9,1,4,2,1,1,1,1,2,4,1,3,2,2,3,3,3,,2,,2,,2,3,3,3,3,3,,3,,6,1,3,4,4,3,1,1,2,3,1,3,2,2,1,0.63
117,"A",12,5,4,"TX",2,1,1,1,1,1,"AIR POLLUTION",8,98,1,1,1,3,,3,3,1,1,,,,,,,2,2,2,1,1,2,2,2,2,2,2,2,2,2,,2,,2,,4,4,4,4,4,4,,98,,1,4,4,4,2,1,1,2,2,1,4,1,1,2,0.9
118,"A",12,5,3,"WI",3,1,1,3,1,2,"ICE CAPS",1,1,2,4,3,4,,3,1,3,3,,,,,,,4,4,2,4,4,4,1,4,4,4,2,2,2,2,,1,,2,,2,1,3,4,4,4,,1,,2,2,4,4,2,1,1,1,2,2,4,3,4,1,0.75
119,"B",12,5,3,"FL",2,1,2,3,2,2,"NEWS REPORTS",6,1,2,3,2,,3,3,1,2,2,,,,,,,3,4,2,3,4,4,1,2,4,4,1,1,1,,2,,2,,2,4,4,4,4,4,,4,,4,2,4,4,4,2,1,6,,2,1,4,3,1,1,0.75
120,"B",12,5,1,"OH",3,1,1,1,1,2,"RESEARCH",4,2,4,1,3,,2,2,1,1,2,,,,,,,4,3,3,4,4,3,1,3,4,3,1,2,3,,2,,1,,1,4,1,2,3,1,,2,,4,2,1,4,3,2,1,1,2,3,6,4,3,2,2,1.96
121,"A",12,5,3,"CA",4,1,1,3,1,2,"WEATHER",3,1,1,1,1,1,,3,1,2,1,,,,,,,4,4,2,4,4,4,1,98,4,4,1,1,1,2,,1,,2,,1,1,1,4,2,2,,1,,3,1,1,1,3,1,1,2,5,1,4,2,,1,0.21
122,"B",12,5,2,"GA",2,2,,,,,,,,,,,,,,,,,2,"COLDER",1,3,2,1,1,1,3,1,4,2,3,2,3,3,1,2,2,,2,,2,,2,2,2,2,3,3,,3,,1,2,2,2,2,3,1,6,,5,5,1,98,5,2,0.89
123,"B",12,5,3,"CA",4,2,,,,,,,,,,,,,,,,,1,"NO CHANGES IN TEMPERATURES HE HAS OBSERV",1,1,1,1,98,1,1,1,4,4,98,4,4,4,1,1,1,,2,,2,,2,4,4,4,4,4,,4,,3,2,4,4,4,3,1,1,2,5,5,4,1,6,1,0.21
124,"B",12,5,3,"MN",3,2,,,,,,,,,,,,,,,,,1,"WEATHER PATTERN 100 YEARS OLD",2,1,2,2,1,1,1,1,1,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,2,1,1,1,5,5,4,1,,1,0.21
125,"B",12,5,3,"MO",3,1,1,3,2,2,"CARON DIOXIDE",8,2,1,3,3,,4,2,3,4,2,,,,,,,4,4,4,4,4,4,1,4,4,4,1,2,2,,2,,2,,2,4,4,4,4,4,,4,,6,3,1,98,98,2,1,2,,3,2,4,4,3,1,0.63
126,"B",12,5,4,"NC",2,1,2,1,2,1,"ICE MELTING",1,1,1,2,1,,2,1,1,2,2,,,,,,,4,4,4,4,4,4,4,4,4,4,1,1,1,,1,,1,,1,2,1,98,2,1,,98,,1,4,1,1,1,3,1,1,2,5,1,98,4,5,1,0.26
127,"A",12,5,2,"AR",2,1,2,3,1,2,"NOT SURE",10,1,1,2,2,2,,4,1,1,1,,,,,,,1,3,3,3,4,2,1,2,3,3,1,1,1,1,,1,,2,,2,1,1,4,98,1,,3,,2,2,2,2,2,1,6,,2,1,4,98,4,2,1.43
128,"A",12,5,2,"CO",4,1,1,1,1,1,"RISING OCEAN TEMPERATURES",2,1,2,3,2,3,,4,1,1,2,,,,,,,4,4,3,4,4,4,1,4,4,4,1,1,1,2,,1,,2,,2,2,2,3,3,3,,1,,4,1,3,4,2,1,3,,5,3,1,4,4,2,0.89
129,"A",12,5,3,"CA",4,1,1,1,2,2,"WEATHER",3,1,1,4,3,4,,2,1,2,1,,,,,,,4,4,4,4,4,3,2,2,2,2,1,1,1,2,,1,,2,,98,98,98,4,2,2,,1,,98,1,2,2,3,1,2,,4,1,1,3,4,2,0.36
130,"B",12,5,1,"FL",2,2,,,,,,,,,,,,,,,,,2,"DO NOT BELIEVE",8,4,2,1,4,2,2,2,4,4,1,1,4,1,3,3,2,,2,,2,,2,3,3,3,3,3,,4,,1,1,4,4,4,3,1,2,,3,1,1,3,,2,1.96
131,"A",12,5,3,"MN",3,2,,,,,,,,,,,,,,,,,1,"NORMAL",1,1,2,1,1,2,1,1,4,1,1,1,1,2,3,3,3,2,,2,,2,,4,1,1,4,4,4,,1,,2,1,4,1,3,1,2,,5,1,4,3,5,2,0.31
132,"B",12,5,2,"CT",1,2,,,,,,,,,,,,,,,,,1,"WHAT HE HAS OBSERVED",1,1,1,2,1,1,2,2,4,2,1,2,1,2,1,1,1,,2,,2,,2,4,2,2,4,4,,2,,3,3,4,4,4,1,1,1,2,4,5,4,3,4,1,0.84
133,"A",12,5,3,"WA",4,1,2,3,3,3,"CHANGING WEATHER PATTERNS",3,2,4,2,2,2,,3,2,3,3,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,3,2,,2,,2,,3,3,4,4,3,3,,6,,1,3,3,3,2,9,6,,2,2,1,3,4,2,3.4
134,"A",12,5,2,"GA",2,1,2,1,1,1,"LIVED IN ALASKA",2,1,1,2,2,2,,1,1,1,1,,,,,,,4,4,4,4,4,4,1,4,4,4,1,1,1,2,,2,,2,,3,2,2,3,2,2,,1,,4,2,3,3,2,2,6,,3,2,4,4,4,2,1.7
135,"B",12,5,3,"PA",1,1,2,98,2,4,"NOT SURE",10,4,4,4,4,,4,3,98,3,3,,,,,,,2,2,2,2,3,3,2,3,2,2,2,2,2,,2,,2,,1,3,2,2,2,2,,3,,3,1,3,2,2,2,1,1,1,,98,,,,1,0.43
136,"B",12,5,4,"MN",3,1,2,3,2,2,"SEVER WHEATER",3,2,1,2,2,,2,2,2,1,1,,,,,,,4,4,4,3,4,4,1,4,2,4,2,2,2,,2,,1,,1,2,1,1,2,1,,2,,2,3,1,2,3,2,1,2,,3,1,1,2,2,1,0.68
137,"A",12,5,3,"MN",3,1,2,3,1,2,"WEATHER",3,1,4,1,3,2,,3,2,2,2,,,,,,,2,4,4,4,4,2,2,2,3,4,1,2,2,2,,1,,1,,2,1,2,2,2,2,,5,,5,2,2,3,1,1,2,,3,3,1,4,2,1,0.63
138,"B",12,5,2,"TX",2,2,,,,,,,,,,,,,,,,,2,"DOES NOT SEE ANY CHANGES",1,3,4,2,2,2,2,2,2,4,1,3,3,3,3,3,3,,2,,2,,2,3,3,3,3,3,,3,,6,1,3,3,3,2,1,1,1,4,5,2,1,5,1,0.84
139,"B",12,5,2,"CA",4,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH PROOF",3,2,2,2,1,1,1,2,1,3,1,4,3,3,3,3,3,,2,,2,,2,3,3,3,3,3,,3,,4,1,4,4,4,1,9,2,,3,1,4,3,2,1,3.76
140,"A",12,5,4,"WV",2,1,1,3,1,1,"CLIMATE CHANGES",2,1,1,2,1,1,,3,1,1,1,,,,,,,4,4,98,4,4,98,98,2,2,4,2,2,2,98,,98,,2,,2,2,1,98,2,2,,5,,2,2,98,1,3,1,6,,3,2,1,3,2,2,0.78
141,"B",12,5,3,"TN",2,1,2,1,1,2,"LOSS OF ANIMAL LIFE",7,2,2,2,2,,2,2,1,1,1,,,,,,,3,3,3,98,1,2,98,2,4,4,1,1,1,,2,,1,,2,2,2,2,2,2,,2,,3,3,3,3,3,2,1,1,2,1,1,4,2,2,1,1.38
142,"A",12,5,4,"PA",1,1,4,2,4,4,"NOT SURE",10,4,4,4,4,4,,4,4,4,4,,,,,,,3,1,2,98,3,2,2,2,3,2,98,3,3,98,,1,,98,,2,3,2,3,4,2,,6,,1,3,4,98,3,98,1,98,2,4,2,1,1,2,1.2
143,"A",12,5,4,"KS",3,1,2,2,2,3,"SEVERE TEMPERATURE CHANGES",3,1,2,2,2,4,,4,2,2,2,,,,,,,3,3,2,1,4,98,2,2,3,4,2,2,2,2,,1,,1,,2,2,2,2,2,2,,4,,2,2,2,2,1,1,1,2,3,2,1,2,,2,0.78
144,"B",12,5,4,"OH",3,1,1,3,1,1,"WEATHER",3,1,1,3,2,,2,1,2,3,1,,,,,,,4,4,1,4,4,4,4,4,3,4,2,2,2,,2,,2,,2,4,4,4,4,4,,4,,1,1,1,4,1,1,1,2,,4,5,1,4,6,1,0.31
145,"A",12,5,4,"NV",4,2,,,,,,,,,,,,,,,,,2,"FLUCTUATIONS OF TEMPERATURE",2,4,4,2,2,2,98,2,1,3,2,3,3,3,3,2,2,2,,1,,2,,2,3,3,3,3,3,,6,,1,98,3,3,2,1,1,98,2,1,4,2,1,1,0.8
146,"A",12,5,4,"CA",4,2,,,,,,,,,,,,,,,,,3,"NOT ENOUGH SCIENTIFIC EVIDENCE",3,3,1,2,1,2,2,2,98,3,2,98,3,3,3,3,3,2,,2,,2,,3,3,3,3,3,3,,6,,1,3,3,3,2,1,2,,2,1,2,2,,2,0.9
147,"A",12,5,4,"FL",2,1,2,3,3,3,"DATA",4,3,3,4,4,4,,3,3,4,4,,,,,,,1,1,2,1,98,2,98,98,2,3,2,2,2,2,,2,,2,,4,2,4,4,4,4,,6,,1,4,4,4,2,1,2,,3,1,1,2,,1,0.68
148,"A",12,5,4,"MI",3,1,1,3,1,2,"MELTING",1,1,2,2,2,98,,3,1,1,1,,,,,,,4,4,3,4,4,4,1,4,4,3,1,1,1,1,,98,,2,,1,1,3,1,1,3,,1,,3,2,2,3,3,1,2,,3,5,1,4,4,1,0.68
149,"A",12,5,4,"LA",2,1,1,1,1,1,"POLAR ICE CAPS ARE MELTING",1,1,2,2,1,2,,2,1,1,2,,,,,,,4,4,4,4,4,3,3,2,3,3,1,2,2,1,,1,,2,,2,1,1,2,1,2,,1,,3,1,2,2,3,1,1,2,3,1,1,4,,1,0.68
150,"A",12,5,2,"NC",2,1,2,3,2,2,"SUN IS GETTING CLOSER",10,2,2,2,2,2,,2,98,2,4,,,,,,,3,3,2,3,3,2,2,2,3,3,1,1,1,2,,1,,2,,2,2,2,2,2,2,,3,,1,2,2,98,2,1,1,1,1,5,1,3,2,1,1.96
151,"B",12,5,3,"OK",2,1,1,1,1,1,"WEATHER",3,1,4,2,1,,4,1,4,1,2,,,,,,,3,4,4,3,3,4,2,3,2,3,2,2,2,,1,,1,,1,2,2,2,2,2,,2,,1,1,1,3,3,1,1,98,,4,1,98,,,2,0.36
152,"B",12,5,3,"CA",4,2,,,,,,,,,,,,,,,,,2,"GOD MADE EARTH THIS WAY",6,2,4,4,1,2,1,1,4,4,1,4,4,4,3,3,3,,2,,98,,2,2,2,2,4,4,,4,,6,1,4,4,4,3,1,1,1,2,1,1,3,2,2,0.85
153,"B",12,5,1,"OH",3,2,,,,,,,,,,,,,,,,,2,"PERSONAL OBSERVATIONS",1,1,2,2,1,1,1,1,1,4,2,2,2,2,2,2,2,,2,,2,,2,4,4,4,4,4,,4,,3,1,4,4,4,3,1,1,1,4,4,2,1,,2,1.59
154,"A",12,5,4,"VA",2,1,2,1,2,2,"DEFORESTATION",8,1,2,2,2,4,,2,1,2,1,,,,,,,4,4,3,3,3,4,3,3,3,3,2,2,2,1,,2,,1,,4,3,3,2,2,4,,1,,3,3,3,4,3,1,1,2,4,2,2,3,5,1,0.31
155,"A",12,5,2,"LA",2,1,2,98,2,3,"MELTING CAPS",1,1,4,2,3,2,,4,2,4,4,,,,,,,2,1,2,2,2,2,2,3,3,3,2,2,3,2,,2,,2,,3,2,2,3,2,2,,6,,3,2,3,3,1,1,2,,3,5,3,3,4,1,1.21
156,"A",12,5,3,"WA",4,1,1,3,1,1,"POLAR ICE CAPS ARE MELTING",1,1,2,2,3,1,,2,2,2,2,,,,,,,4,4,3,3,4,2,3,2,2,2,1,1,1,2,,1,,2,,1,1,3,4,2,3,,1,,4,1,2,2,1,1,1,1,4,1,1,4,4,1,0.26
157,"A",12,5,3,"CA",4,1,1,3,1,1,"TEMPERATURE CHANGES",2,2,2,2,2,2,,1,2,2,2,,,,,,,4,3,3,4,4,2,3,2,2,2,1,1,1,1,,1,,1,,2,2,98,2,2,98,,1,,4,1,2,3,3,1,1,1,4,5,1,3,,1,0.26
158,"B",12,5,2,"CA",4,1,1,1,1,1,"WEATHER CHANGES",3,1,2,1,1,,2,3,1,2,2,,,,,,,3,3,3,3,3,98,3,3,2,2,1,1,1,,1,,1,,1,1,1,2,1,1,,2,,1,4,1,1,2,3,1,1,2,4,5,4,4,3,2,0.94
159,"B",12,5,4,"VA",2,2,,,,,,,,,,,,,,,,,2,"HAS DONE ALOT OF READING AND FOUND FLAWS",4,4,1,1,1,1,1,1,1,4,1,4,98,98,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,2,,3,5,2,2,5,2,0.78
160,"B",12,5,3,"SC",2,2,,,,,,,,,,,,,,,,,2,"PERSONAL OBSERVATIONS",1,3,2,1,2,2,1,1,3,4,1,4,4,4,1,1,1,,2,,98,,2,98,98,98,98,98,,98,,1,98,98,98,98,2,10,2,,1,1,2,3,4,2,3.03
161,"A",12,5,1,"MO",3,1,1,3,2,2,"EVERYTHING GOING ON WITH WEATHER",3,3,1,2,2,3,,1,2,2,1,,,,,,,4,3,3,4,3,3,3,3,3,2,1,1,1,2,,1,,1,,3,3,3,3,3,2,,2,,3,2,2,2,2,1,2,,5,4,1,3,5,2,1.54
162,"A",12,5,3,"NY",1,1,1,98,2,3,"MELTING POLAR ICE CAPS",1,1,2,3,3,4,,2,1,2,4,,,,,,,3,3,98,3,4,98,98,98,3,3,2,2,2,2,,1,,2,,2,2,3,3,2,3,,5,,1,2,98,2,2,1,2,,3,1,1,4,1,2,0.73
163,"B",12,5,2,"LA",2,1,2,1,2,2,"POLLUTION",8,1,2,4,3,,3,2,1,2,2,,,,,,,4,3,3,3,4,2,3,2,2,2,1,1,1,,2,,1,,1,1,1,2,2,1,,2,,1,2,1,2,3,2,2,1,2,2,1,4,3,,2,1.82
164,"A",12,5,3,"LA",2,1,1,1,1,1,"TEMPERATURE CHANGES OVER 20 YEARS",2,1,2,3,1,3,,4,3,1,1,,,,,,,4,4,4,4,4,2,1,3,4,4,1,1,2,1,,1,,2,,2,1,4,1,1,4,,1,,4,1,1,4,3,1,7,,5,5,1,4,6,1,0.21
165,"B",12,5,3,"CO",4,1,1,3,1,1,"WEATHER CONDITONS",3,1,1,1,1,,1,1,1,1,1,,,,,,,1,4,4,4,1,4,1,1,4,4,1,1,1,,1,,2,,1,1,4,98,1,1,,1,,1,4,1,1,4,2,1,,,2,2,4,5,6,1,0.75
166,"B",12,5,4,"MI",3,2,,,,,,,,,,,,,,,,,1,"IT IS SURE COLD WHERE I LIVE",1,1,4,4,2,2,1,1,2,4,1,4,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,1,2,2,4,2,2,1,0.8
167,"A",12,5,4,"OK",2,2,,,,,,,,,,,,,,,,,4,"REALLY NICE DAY",1,4,1,1,1,1,1,1,1,4,1,4,4,4,98,98,98,1,,2,,2,,98,2,4,4,3,3,,6,,1,98,98,3,3,1,1,1,2,1,2,1,98,1,0.8
168,"A",12,5,4,"FL",2,1,1,1,1,1,"FUEL EMMISSIONS",8,1,1,98,4,2,,4,1,1,1,,,,,,,4,4,4,4,4,4,1,2,4,4,1,1,1,2,,2,,2,,3,3,3,3,3,3,,98,,2,1,1,1,3,1,1,1,3,2,2,3,3,2,0.78
169,"A",12,5,2,"TX",2,1,1,2,1,1,"MELTING, RECORD SUMMER HEAT",1,3,1,2,2,3,,1,2,1,1,,,,,,,4,4,1,3,4,4,4,4,4,4,1,1,1,2,,2,,2,,3,3,3,4,4,4,,1,,2,4,4,4,2,1,2,,5,5,1,2,5,2,0.89
170,"A",12,5,3,"MA",1,1,1,1,1,1,"READ THE NEWS",6,1,1,1,4,1,,2,2,4,4,,,,,,,4,4,4,4,98,98,98,98,4,4,1,2,3,1,,1,,1,,2,98,98,2,98,98,,5,,5,2,2,2,3,1,5,,5,5,1,4,6,1,0.21
171,"A",12,5,2,"FL",2,1,2,2,2,3,"TIME OF THE YEAR IS WARMER WHEN IT IS EXPECTED TO",2,2,1,2,2,2,,2,3,3,1,,,,,,,1,3,2,3,2,3,3,4,3,3,2,2,2,2,,1,,2,,2,2,4,4,4,4,,1,,2,1,4,4,2,9,2,,3,1,1,1,4,2,3.86
172,"A",12,5,2,"MS",2,1,2,2,1,1,"WEATHER IRREGULARITIES",3,3,1,3,1,3,,2,3,1,1,,,,,,,4,4,1,3,4,4,1,4,4,4,3,3,3,2,,2,,2,,4,4,4,4,4,4,,5,,2,2,3,4,2,1,1,2,2,1,,,2,2,1.43
173,"A",12,5,4,"LA",2,2,,,,,,,,,,,,,,,,,2,"IT WOULD TAKE HUNDREDS OF YEARS",9,2,2,2,1,2,2,2,3,98,2,98,98,98,2,2,2,2,,1,,2,,2,2,3,3,2,3,,4,,1,98,98,98,2,2,1,2,3,1,1,3,,1,1.07
174,"A",12,5,4,"OK",2,2,,,,,,,,,,,,,,,,,2,"SHOVELING SNOW",1,1,4,4,2,3,1,2,4,4,1,4,4,4,1,1,1,2,,2,,2,,3,2,3,4,4,4,,6,,2,4,4,4,2,2,1,1,3,1,1,4,2,2,1.17
175,"B",12,6,2,"VA",2,98,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,98,3,98,98,3,4,2,2,2,,2,,2,,2,3,3,2,3,3,,2,,6,1,2,2,2,2,1,2,,2,1,1,3,,1,1.33
176,"A",12,6,2,"CA",4,1,1,1,1,1,"HOLES IN THE OZONE LAYERS",10,2,3,2,2,2,,2,3,2,2,,,,,,,4,4,4,4,4,3,3,98,2,2,1,1,1,1,,1,,98,,1,1,2,98,98,98,,1,,2,2,2,3,2,1,2,,4,5,4,3,,1,0.84
177,"A",12,6,3,"ME",1,1,1,3,1,1,"SEVERE WEATHER",3,2,1,4,1,4,,2,98,1,1,,,,,,,3,4,3,3,3,2,98,98,2,4,1,1,1,2,,98,,2,,98,2,2,3,2,2,,5,,3,2,2,2,2,1,6,,2,1,4,98,1,2,0.85
178,"B",12,6,3,"MA",1,1,1,1,1,1,"AL GORE'S BOOK",5,1,1,1,1,,1,1,1,2,2,,,,,,,1,3,4,4,4,2,1,4,4,4,1,1,1,,2,,2,,2,4,4,4,2,2,,2,,1,1,1,2,1,3,1,6,,4,1,1,4,2,1,0.26
179,"B",12,6,3,"GA",2,1,1,3,1,1,"ICE SHELF BREAKUP",1,1,2,4,3,,4,4,4,1,3,,,,,,,98,98,3,98,4,4,98,98,2,4,1,1,1,,2,,2,,1,4,4,4,4,4,,4,,5,98,98,98,4,2,1,1,2,4,3,4,3,6,1,0.26
